ax (m/s^2),ay (m/s^2),az (m/s^2)
0.1117,0.0005,-0.1192
0.1101,0.0529,-0.1379
0.1117,0.0597,-0.0978
0.2096,0.046,-0.141
0.2237,0.0403,-0.114
0.1835,0.0872,-0.1266
0.2424,0.0408,-0.0979
0.2299,0.0472,-0.13
0.168,0.101,-0.1592
0.1667,0.0281,-0.1249
0.0907,0.0096,-0.0341
0.1444,0.0813,-0.0979
0.1748,0.0226,-0.0961
0.2057,-0.0303,-0.13
0.1702,0.0098,-0.1047
0.1571,0.0414,-0.0929
0.1394,0.0656,-0.0872
0.1697,0.0631,-0.1544
0.1418,0.0092,-0.1745
0.1664,0.0167,-0.1754
0.1548,0.0566,-0.1029
0.1217,0.0503,-0.1065
0.1825,0.0238,-0.146
0.1764,0.0213,-0.1565
0.1507,0.043,-0.1199
0.1597,-0.0223,-0.0787
0.1428,0.0267,-0.1263
0.1647,0.0519,-0.1091
0.0846,0.0589,-0.1174
0.1346,0.0203,-0.1198
0.2086,0.0409,-0.1488
0.1754,0.0359,-0.0893
0.1315,0.0063,-0.0944
0.2111,0.0435,-0.119
0.2056,0.056,-0.11
0.194,0.0354,-0.1573
0.2012,0.0416,-0.0828
0.1393,0.0046,-0.1039
0.1713,-0.0502,-0.0651
0.1833,-0.0079,-0.1558
0.1938,0.0104,-0.1618
0.1642,0.0391,-0.0563
0.1742,0.0298,-0.1477
0.1933,-0.0063,-0.0857
0.1432,0.0282,-0.1455
0.2104,0.0535,-0.1694
0.1607,0.0247,-0.0522
0.1735,-0.0162,-0.1456
0.1669,0.0456,-0.1189
0.1748,0.0564,-0.1367
0.1481,0.0198,-0.1338
0.1156,0.0116,-0.1876
0.1489,-0.0198,-0.1028
0.181,0.0275,-0.1146
0.1522,0.0458,-0.1405
0.1714,0.0188,-0.1668
0.1693,0.0033,-0.1091
0.2048,0.0592,-0.1492
0.1869,0.0438,-0.1341
0.201,0.0762,-0.143
0.1753,0.0124,-0.1404
0.1425,0.037,-0.1123
0.1522,0.0321,-0.1507
0.1572,-0.0087,-0.0787
0.17,-0.0431,-0.169
0.1944,0.0181,-0.165
0.1465,0.1245,-0.0401
0.1213,0.0321,-0.1335
0.1557,0.0226,-0.1379
0.1677,0.0412,-0.2071
0.1573,0.0661,-0.1749
0.181,0.035,-0.0649
0.2004,-0.0045,-0.1171
0.2486,0.0217,-0.1506
0.1584,0.0207,-0.177
0.1308,0.0011,-0.0898
0.1375,-0.0152,-0.0845
0.1487,0.043,-0.1177
0.1488,0.0641,-0.1095
0.1059,0.0541,-0.0668
0.1942,0.0362,-0.1487
0.1827,0.0714,-0.1379
0.2116,0.0487,-0.1072
0.1972,0.0106,-0.115
0.192,0.0032,-0.1153
0.1249,0.0098,-0.0912
0.1457,0.0557,-0.1104
0.1561,0.1301,-0.1227
0.1379,0.0564,-0.0975
0.1408,-0.0139,-0.0936
0.1665,-0.0037,-0.1258
0.1327,0.0563,-0.1024
0.1524,0.0146,-0.0965
0.2129,0.0087,-0.0736
0.1986,-0.0213,-0.1302
0.1447,0.0268,-0.1501
0.1471,0.0519,-0.1348
0.1993,0.0089,-0.1287
0.1601,0.0065,-0.1518
0.1995,0.042,-0.1303
0.1521,0.0339,-0.1391
0.1729,-0.0052,-0.045
0.1873,0.0472,-0.0842
0.1991,0.0515,-0.1445
0.1964,0.0461,-0.0991
0.1706,0.0572,-0.0938
0.1496,0.0213,-0.1332
0.1672,0.0355,-0.1509
0.1672,-0.0061,-0.0978
0.1263,0.0088,-0.1142
0.1728,0.038,-0.1411
0.1614,0.0189,-0.14
0.2034,0.0519,-0.1143
0.1861,0.0253,-0.098
0.1661,-0.0085,-0.0801
0.2048,0.0,-0.1765
0.162,0.074,-0.1217
0.1666,0.0624,-0.1169
0.1623,0.0137,-0.1328
0.1851,-0.0032,-0.1524
0.191,0.041,-0.0943
0.1378,0.0466,-0.0982
0.228,0.0367,-0.1344
0.1685,-0.0204,-0.1452
0.1909,0.0051,-0.1684
0.1363,0.0366,-0.1076
0.1075,0.0135,-0.1257
0.0959,0.0182,-0.1231
0.1362,0.0201,-0.1127
0.1392,0.0483,-0.1178
0.1674,0.0378,-0.1317
0.1986,0.0501,-0.1316
0.2017,0.0255,-0.1382
