ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0543,-0.047,0.2754
0.0486,-0.0325,0.2015
0.007,-0.0429,0.3259
0.0573,-0.0859,0.1142
0.0619,-0.0947,0.1237
0.0356,-0.0155,0.4161
0.0198,0.0329,0.4433
-0.0266,-0.0103,0.3675
0.0054,-0.1187,0.094
-0.0057,-0.0673,0.1464
0.052,-0.0501,0.3188
0.1352,-0.0202,0.2692
0.0599,-0.0059,0.3077
0.0477,0.0047,0.3255
0.0214,-0.0674,0.1458
-0.0127,-0.0708,0.1617
0.0067,-0.0031,0.2627
0.0358,-0.0112,0.353
0.0499,-0.0929,0.3176
0.0793,-0.0063,0.1022
0.0835,-0.0067,0.2074
0.1222,-0.0377,0.3828
-0.0193,-0.0381,0.3559
-0.0376,-0.0096,0.2315
0.1108,-0.0138,0.3188
0.1287,-0.0661,0.3218
0.0565,-0.1058,0.2345
-0.0099,-0.0547,0.1239
0.013,-0.0329,0.266
-0.0065,-0.0854,0.3166
0.0244,-0.0477,0.249
0.0445,-0.006,0.2698
0.008,0.0181,0.3623
0.0908,-0.0191,0.2346
0.0531,-0.0695,0.0326
0.0227,-0.0681,0.2045
-0.0026,-0.0135,0.3431
0.0452,-0.0537,0.3017
0.0491,-0.0018,0.2746
0.0098,-0.0438,0.2239
0.0354,-0.0743,0.2316
0.1005,-0.0429,0.2753
0.0395,-0.0509,0.2826
-0.0073,0.0024,0.3282
0.0195,-0.0775,0.2721
0.1101,-0.0254,0.2074
0.0644,-0.037,0.1737
0.052,-0.0284,0.2131
0.009,-0.031,0.2379
0.0044,-0.049,0.3615
-0.004,-0.0506,0.274
-0.0059,-0.0546,0.1706
-0.0184,-0.0305,0.2445
0.1104,0.0143,0.2553
0.109,-0.0198,0.2323
0.118,-0.0582,0.2716
-0.0352,-0.0344,0.1844
0.0019,-0.0812,0.2136
0.0338,-0.0207,0.3366
0.0039,-0.042,0.2637
-0.047,-0.0604,0.2533
0.0348,-0.0372,0.254
0.0207,-0.0437,0.2215
0.0824,-0.0656,0.1446
0.0999,-0.0839,0.2486
0.1315,0.0245,0.2173
0.1132,-0.003,0.2163
-0.0063,-0.0372,0.385
-0.095,0.0161,0.3781
0.0795,-0.0056,0.1257
0.1237,-0.0079,0.1343
0.0671,-0.0103,0.3241
0.0366,0.0062,0.2478
0.0223,-0.0655,0.2921
-0.0219,-0.0096,0.2868
-0.019,-0.0283,0.2475
0.0205,-0.0604,0.2309
0.0235,-0.0141,0.3227
0.0661,-0.0615,0.1797
0.0708,-0.0422,0.1197
0.0988,-0.0986,0.3121
0.0189,-0.0198,0.4388
0.0334,-0.0238,0.175
0.0619,-0.0529,0.2047
-0.0215,-0.0448,0.3347
-0.0363,-0.0019,0.2706
-0.0103,-0.0703,0.2557
