ax (m/s^2),ay (m/s^2),az (m/s^2)
0.1232,-0.2263,-0.1683
0.1114,-0.3962,-0.1212
0.1132,-0.388,-0.1521
-0.0756,-0.2662,-0.0525
-0.1468,-0.2473,-0.0753
-0.1336,-0.2479,0.0212
-0.198,-0.2637,0.0633
-0.1873,-0.3453,0.1197
-0.202,-0.3725,0.1923
-0.1552,-0.4256,0.2423
-0.1294,-0.4117,0.1943
-0.1962,-0.3807,0.2347
-0.1611,-0.2776,0.229
-0.1725,-0.3328,0.0171
-0.148,-0.3229,-0.092
-0.0628,-0.2825,-0.1524
0.0656,-0.2517,-0.1155
0.0515,-0.3289,-0.1663
0.0968,-0.336,-0.1669
0.1553,-0.2591,-0.1563
0.0208,-0.2671,-0.1512
-0.0346,-0.3194,-0.0248
-0.0415,-0.2886,0.0464
-0.0488,-0.3057,0.0539
0.0275,-0.3105,0.0586
-0.0216,-0.3073,0.0173
-0.0626,-0.2882,-0.0144
-0.2242,-0.3106,-0.0098
-0.2387,-0.2598,-0.0063
-0.2188,-0.2634,0.0173
-0.1535,-0.3019,-0.0072
-0.0255,-0.3263,0.0065
0.0236,-0.2695,-0.0656
0.0154,-0.3046,-0.0108
-0.0663,-0.3555,0.0917
-0.1183,-0.3047,0.0757
-0.0264,-0.2497,-0.0034
-0.0401,-0.2956,-0.068
-0.0837,-0.3676,-0.047
-0.0609,-0.3646,-0.0058
-0.1137,-0.2119,-0.0106
-0.0778,-0.2891,-0.0756
-0.0266,-0.2628,-0.1149
-0.0148,-0.3228,-0.064
-0.0007,-0.3299,-0.0065
0.0259,-0.3089,0.0332
-0.0731,-0.2707,-0.0092
-0.0565,-0.2851,-0.0566
-0.0733,-0.2972,-0.0009
-0.0398,-0.3713,0.0236
-0.0534,-0.2712,0.0616
-0.024,-0.2991,0.0096
-0.0655,-0.2542,-0.092
-0.0309,-0.2633,-0.1458
-0.0522,-0.2595,-0.1427
-0.1181,-0.3149,-0.0246
-0.0635,-0.3192,0.0202
0.0614,-0.3048,0.0406
0.0712,-0.2737,0.0099
-0.0332,-0.3353,-0.0537
-0.0958,-0.2923,-0.0001
-0.142,-0.2785,-0.0178
-0.1171,-0.2908,-0.041
-0.0978,-0.341,-0.0178
-0.0489,-0.2642,0.0066
0.0224,-0.2602,0.0207
-0.001,-0.3152,0.0394
-0.0957,-0.3314,0.0699
-0.0489,-0.2694,0.0314
-0.0414,-0.3246,0.0013
0.0167,-0.2866,-0.09
-0.0105,-0.2647,-0.123
-0.0986,-0.3112,-0.0549
-0.0946,-0.2924,-0.0602
-0.0129,-0.3167,-0.1051
0.0765,-0.3528,-0.0613
0.1472,-0.3115,-0.082
0.0472,-0.3156,0.0272
-0.0643,-0.3395,0.0371
-0.1382,-0.3365,0.0231
-0.1029,-0.2606,0.0314
-0.0393,-0.2628,-0.0256
-0.0112,-0.28,-0.1512
-0.0186,-0.354,-0.0987
-0.0291,-0.3522,0.0076
-0.0048,-0.3353,-0.0136
-0.0534,-0.2802,-0.0734
-0.01,-0.3404,-0.0294
-0.0027,-0.3474,0.0116
-0.0329,-0.3205,0.0559
-0.0664,-0.3184,0.0273
-0.0455,-0.2974,-0.0505
-0.1387,-0.2998,-0.0713
-0.1433,-0.293,-0.1157
-0.0745,-0.2934,-0.1066
0.0083,-0.2646,-0.0332
-0.0008,-0.2786,-0.0226
-0.0082,-0.3917,-0.0068
0.0297,-0.3338,-0.0586
0.0174,-0.2747,-0.0822
