ax (m/s^2),ay (m/s^2),az (m/s^2)
2.7321,1.9614,2.1012
3.806,2.7868,0.9133
4.8588,3.6611,2.4027
6.281,4.5335,5.2468
3.5202,2.1261,2.8663
-0.7745,-1.3482,2.3089
-1.9287,-1.52,0.3954
-2.5266,-0.1661,-1.2757
-3.2062,1.938,-3.1957
-3.9123,4.0075,-2.3177
-2.0481,3.2044,-0.5299
-2.1034,2.029,-0.0638
-2.2213,-1.1539,0.4867
-1.0403,-2.3193,0.5965
0.1213,-1.6299,0.9576
-0.7479,-0.0693,-0.9742
-1.4903,0.0231,-1.1473
-2.8303,-0.149,-0.8994
-4.6072,-0.7589,-0.8328
-6.1476,-1.63,-1.0124
-6.1198,-2.8451,-1.083
-4.99,-3.0475,-0.7085
-3.4162,-2.5353,0.0505
-2.4326,-2.4504,0.0831
-2.3142,-2.4091,1.2339
0.8555,-0.1952,3.0309
2.6946,1.2152,2.839
5.0196,3.3842,1.2235
6.7272,4.1837,0.4173
7.5342,3.0555,3.1929
0.8704,2.1878,2.8792
-0.9286,4.3451,0.3928
-2.4562,8.0295,-2.5641
-6.825,6.5344,1.8694
-3.9785,-1.0912,0.7207
-2.634,-4.5547,-2.0608
-2.831,-5.4483,-1.5755
-2.875,-4.7753,-2.0546
-1.9121,-0.2846,-3.9993
-0.7211,1.9461,-4.0333
-0.8727,-0.3966,-0.2955
-0.4247,-1.0554,0.0568
0.756,-1.8647,3.4497
0.1154,-1.3843,-0.736
0.3917,-0.9549,-2.149
1.56,-0.5147,0.2219
1.8201,-0.4464,1.5493
1.2625,-0.7886,0.9235
0.6249,-1.2748,1.1786
0.2961,-1.1272,1.3055
0.7669,-0.3804,0.7985
0.4146,-0.272,0.5818
0.0573,-0.4999,0.0682
-0.1972,-0.5233,0.2983
-0.4295,-0.0634,0.5675
-0.6036,1.3409,1.1972
-0.4467,2.1056,3.3012
1.0143,1.7796,2.4737
2.5327,1.4524,2.0524
3.4198,1.2019,2.7286
4.1642,0.5535,2.6443
4.6622,1.5831,2.7224
6.0148,3.6288,4.357
4.7375,0.8683,2.0659
0.7639,-1.3476,1.2824
-0.7224,0.8961,-1.7774
-1.1087,3.8848,-5.9731
-3.0577,6.0215,-7.2511
-5.6566,6.3571,-0.1337
-3.6247,3.8515,0.2356
-2.3226,0.3355,0.3054
-1.2771,0.2323,1.0251
0.0939,-0.588,2.2263
-1.4975,-1.6859,-0.1849
-1.3492,-1.4354,-2.265
-2.2603,0.121,-0.2518
-3.7728,0.2293,0.1687
-6.4108,-0.4019,-0.6531
-7.6023,-2.1067,-1.6296
-6.5235,-4.0182,-0.8168
-3.5387,-3.8276,0.4348
-2.9974,-3.3189,0.0124
-2.6431,-2.5888,-0.6437
-3.0997,-2.0042,-0.2337
-2.2033,-1.0961,1.2094
3.7446,3.695,2.4424
5.765,5.2145,1.1842
8.1097,7.2871,-0.9477
7.9576,4.6826,0.5938
5.9385,-0.5942,2.7662
0.7772,-2.6856,2.4034
-2.0228,2.9792,-2.3206
-3.3634,8.2812,-0.626
-3.9941,7.1351,0.9709
-2.6523,-1.6096,-2.4624
-2.7033,-5.8591,-1.695
-3.1556,-6.7643,-0.9645
-3.8766,-4.246,-2.1719
-2.3563,0.1625,-4.4518
-1.3792,2.217,-4.234
-1.6391,-0.3183,-0.6853
-1.0127,-1.6447,-0.0281
-0.1646,-2.1105,-0.2213
0.3906,-1.1517,-0.6291
1.0943,-0.1144,-0.7617
1.6402,-0.2039,-0.1842
1.5392,-0.8318,0.6921
1.217,-1.2006,1.1534
0.8023,-0.9924,0.9123
1.0279,-0.3416,0.2912
0.1485,-0.3255,-0.4428
-0.2444,-0.2699,-0.2224
-0.4515,0.0515,0.19
-0.5304,1.0471,0.8378
-0.2787,1.9286,5.8195
2.0628,1.7112,2.9996
3.1524,1.6491,1.8162
3.6065,0.7286,0.9579
4.3145,0.4852,3.6623
5.1975,2.0006,1.9205
5.8982,3.531,3.7496
5.884,1.8233,2.5461
2.3819,-2.2041,1.1069
-0.2749,-3.2871,2.55
-1.4385,5.2556,-6.8909
-1.6518,7.0536,-7.9492
-3.2508,8.9811,-3.9112
-5.5636,7.272,-0.3308
-3.5765,2.1638,2.2204
-0.5286,0.1925,3.1952
-0.8881,-0.3403,2.7995
-1.5449,-0.829,1.1428
-1.7999,-2.0314,-3.4203
-0.6525,-1.1677,-2.5411
-3.8016,-0.3654,0.0648
-6.1805,-0.5772,0.1348
-8.1263,-1.4669,-1.9814
-8.11,-3.2966,-2.4997
-6.1969,-4.247,-1.3813
-4.2451,-4.0516,-0.537
-3.9926,-3.8771,-0.2311
-4.328,-2.9835,0.7498
-0.8808,-0.6737,2.2074
4.6951,3.5355,1.1405
8.951,7.2667,-0.4166
8.1212,6.2048,0.7269
5.7543,1.6514,2.3232
2.878,-1.0284,3.24
-1.719,3.5103,0.1538
-3.6296,10.8174,0.0819
-5.1193,8.7794,2.2811
-2.0363,-0.3805,-1.589
-2.9878,-3.834,-2.5749
-3.1466,-6.6164,-1.6216
-3.5925,-5.9387,-2.1769
-2.5372,-1.6245,-4.6484
-1.8975,1.8652,-5.3604
-1.6211,1.4486,-2.9298
-1.1621,-0.9374,-0.4875
0.3175,-2.2285,-0.907
0.4531,-1.7669,-1.7359
0.7689,-0.8294,-1.8944
1.3948,-0.4447,-0.975
2.0628,-0.3751,0.5103
1.3726,-0.8035,1.3484
0.7921,-0.9517,0.57
0.2097,-0.954,0.458
0.369,-0.4151,0.6318
0.0073,-0.1106,0.185
-0.1898,-0.1984,-0.0108
-0.0776,-0.0782,0.28
-0.2838,0.5532,1.1064
-0.5471,1.5724,2.4913
0.8712,2.1141,3.359
2.1382,1.684,2.3524
3.3652,1.098,1.7244
3.9694,0.4178,2.0334
4.3233,0.501,2.7382
5.6638,2.7862,3.4881
7.1168,2.9555,3.204
2.9835,-0.7136,1.0981
-0.5502,-2.4238,2.6058
-1.0279,-0.6026,-0.4847
-1.3092,4.6302,-8.1855
-3.7793,8.1103,-4.715
-4.9095,8.3251,-1.6542
-4.0071,3.8265,-2.8842
-2.8474,-0.9632,2.4792
-0.9557,-0.8796,3.0973
-0.1358,-0.4493,2.8676
-1.7787,-0.6692,-1.2679
-2.2825,-0.9047,-3.9318
-2.996,-0.3568,-1.2614
-5.4806,-0.3343,0.5939
-7.648,-1.4091,-1.2603
-7.8368,-2.7268,-2.2012
-6.3045,-3.9418,-1.2404
-4.2561,-3.5332,-0.3568
-3.5027,-3.2786,-0.2815
-3.8309,-2.234,1.4606
-1.2916,-0.6713,2.2928
4.5994,3.8665,1.4682
7.9868,7.8557,-1.5886
8.3388,6.4817,-0.9265
4.6206,-0.3651,0.5389
3.8212,-2.6212,1.181
0.0813,-4.6743,0.924
-3.7652,0.6016,-3.3809
-3.3138,8.3595,-3.7545
-1.5164,10.3948,1.267
-2.7828,1.8324,-1.0442
-5.2074,-3.7712,-1.8822
-4.5486,-6.6746,-1.7581
-4.3663,-6.8506,-1.9919
-2.583,-0.655,-5.3832
-1.7738,1.3993,-5.2944
-1.8031,1.5277,-2.6424
-1.744,0.1511,0.4862
-0.3325,-1.032,0.8222
0.7487,-1.3092,-0.3626
0.7163,-0.9731,-1.5648
1.2261,-0.7137,-0.8371
1.5912,-0.8603,0.6451
1.7814,-0.9572,0.9055
1.4196,-0.8177,0.6891
0.8062,-0.6524,0.623
0.5981,-0.5109,0.4478
0.0825,-0.6228,0.1444
-0.412,-0.3927,-0.1055
-0.6403,0.3704,0.4752
-0.8718,1.226,2.3129
0.1434,1.6311,2.8192
1.6387,1.5403,1.2023
2.9606,1.08,2.1766
4.0303,0.6658,2.4553
4.635,0.3749,2.7201
4.9049,1.7778,3.1566
6.1564,2.4435,2.7616
1.5544,-2.0152,2.1502
-0.072,-1.5449,3.1952
-0.8822,1.1215,-1.6565
-0.7963,6.9907,-9.5112
-3.7189,9.7558,-4.7473
-4.2722,3.5498,-1.4499
-3.1983,0.5982,1.5852
-3.2398,-0.8963,1.5699
-1.9058,-0.3133,2.4508
-2.5865,-0.3482,1.144
-2.5566,-2.0159,-2.9179
-1.4331,-1.2177,-1.8807
-2.8809,-0.3593,-0.2937
-4.999,-0.2432,0.373
-7.1315,-0.8333,-1.1846
-7.1314,-2.1645,-2.1109
-5.3249,-3.3197,-0.7024
-3.3368,-3.3712,0.3452
-2.7497,-3.0701,-0.0059
-3.3603,-2.4247,0.2382
-0.9347,0.1713,1.3102
2.1649,2.964,1.3572
5.688,5.8939,0.011
7.4943,5.107,-0.3389
5.393,2.2961,0.8309
3.1089,-0.6901,1.8403
0.3422,0.366,0.8591
-1.3635,5.3976,-2.3441
-2.8957,11.0313,1.5232
-1.7633,4.6691,-0.2618
-3.3467,-3.6951,-2.4806
-3.5451,-5.9437,-1.6984
-3.8477,-6.8682,-1.0616
-4.0353,-3.8351,-2.5149
-2.9678,0.6195,-4.7663
-2.8869,1.9655,-3.5595
-2.6787,-0.2359,-0.9975
-1.6229,-1.1901,-0.5023
-0.4267,-1.7094,-0.7808
-0.1806,-1.0136,-0.7415
1.308,-0.1134,-0.1525
2.0223,-0.4073,0.802
1.9071,-0.6736,0.7282
1.3665,-0.9553,0.0455
1.8414,-1.2938,0.7287
0.9149,-1.1291,0.4184
1.0618,-0.7926,0.2527
0.887,-0.6065,-0.0307
0.2183,-0.5937,-0.5954
-0.218,-0.0759,-0.29
-0.2728,0.9692,0.839
-0.2104,1.5619,2.2733
1.6643,1.617,1.7881
2.8878,1.1594,1.3715
3.2035,1.6358,1.8368
4.19,3.5218,1.3754
5.863,3.8638,2.9767
5.802,1.5496,2.5303
1.9691,-1.3761,2.0856
-1.0749,-2.6066,0.941
-1.9707,0.6961,-2.4557
-2.3463,4.2138,-5.1367
-3.1078,6.0601,-3.1583
-4.7719,5.4006,-1.2819
-4.571,2.366,-1.6817
-3.1557,-1.5019,2.4482
-2.9288,-1.661,1.7242
-1.293,-0.6372,2.123
-1.4487,0.2829,0.6472
-1.4046,0.387,-1.2896
-2.2307,-0.1973,-0.3484
-3.8562,-0.5001,0.7368
-5.3744,-1.2549,-0.3629
-6.5817,-2.5739,-1.1614
-6.0825,-3.476,-0.5407
-4.3344,-3.1246,0.146
-3.6697,-2.7862,0.0319
-3.8479,-2.3182,0.6828
-1.2138,-0.6053,1.7182
3.4797,2.4037,1.1085
7.6125,4.8506,-0.1194
8.0031,4.5449,-0.0415
6.4395,1.9984,1.6646
5.0058,-1.1068,4.1794
0.6198,-0.8256,1.8665
-2.082,6.5885,-3.3491
-3.6679,8.8276,-0.9049
-4.5333,5.0528,1.0831
-3.014,-1.6253,-1.1884
-3.1817,-5.2067,-1.7302
-3.8783,-5.4793,-1.5467
-3.2465,-2.0865,-3.2027
-2.3906,0.8703,-4.1521
-2.1252,1.6824,-2.6839
-1.8651,-0.3568,-0.2514
-0.6067,-1.2087,-0.3041
-0.4266,-1.2363,-0.5804
-0.1724,-0.8142,-1.087
0.4611,-0.6086,-1.0674
0.8766,-0.5468,-0.2816
1.413,-0.6122,0.9541
1.35,-0.6648,1.1657
1.2386,-0.7716,0.5732
1.0114,-0.7787,-0.1032
0.858,-0.5867,0.122
0.7791,-0.5941,0.5707
0.4198,-0.6276,0.879
0.4516,0.0792,0.7626
0.4321,1.0932,0.9896
0.5457,1.4921,2.5068
0.895,1.231,2.4248
1.7954,0.5668,2.0051
3.1755,0.1842,1.4106
4.0017,0.2088,2.1579
4.2638,0.7311,1.5994
5.0735,2.1,2.3446
6.2984,2.6596,2.4817
4.6377,0.2548,0.5364
0.6761,-2.0763,2.3644
-0.8022,0.6876,-2.6353
-0.5096,6.2838,-7.5965
-1.4735,8.2819,-6.1574
-3.6686,7.1586,-3.0807
-5.0697,3.2096,-3.0185
-4.9934,-1.3282,0.9764
-3.9895,-1.9141,3.8586
-2.7437,-1.1534,3.0395
-1.5525,-0.0882,1.9806
-2.0331,0.1097,-0.71
-2.3084,-0.5532,-1.609
-3.899,0.0611,0.3079
-4.3372,-0.0562,0.124
-4.623,-0.7028,-1.1319
-4.6409,-1.8058,-0.6797
-3.2369,-2.1022,0.7012
-2.9031,-1.9169,0.5218
-3.1471,-1.9991,0.127
-3.1353,-2.0774,1.0903
-0.86,-1.3697,1.1974
1.6981,0.5583,0.3505
3.4424,2.5603,0.256
4.836,3.5911,-0.0734
6.1399,2.8628,0.9526
6.3729,0.5928,2.2511
0.1778,3.8543,0.1966
-0.7227,7.0719,-1.8938
-4.4137,7.6781,1.3172
-2.975,1.4629,1.5653
-2.9325,-3.448,-0.1479
-2.9301,-5.7474,-1.4138
-2.8732,-4.9633,-1.6454
-2.2253,-1.498,-2.8014
-1.5812,1.652,-3.5628
-1.6198,0.8755,-2.1038
-0.8145,-1.4741,-0.7154
-0.3258,-1.9122,-0.6107
-0.4049,-1.5464,-1.2199
-0.2338,-0.7974,-1.7698
0.504,-0.6726,-1.1111
1.0678,-0.9465,0.2055
1.0908,-0.8947,0.5381
1.1559,-0.8682,0.5508
0.8308,-1.0697,0.4135
0.9091,-0.6471,-0.0067
0.5332,-0.3289,-0.3393
0.2872,-0.5217,-0.0058
0.1651,-0.7014,0.4122
-0.0039,-0.336,1.2848
0.0487,0.8792,1.6068
0.1382,1.8611,1.7807
0.6263,1.8569,2.4771
1.7679,1.4468,2.2529
2.9028,1.1498,1.8683
3.4973,0.8038,2.7427
3.7623,0.5137,3.8266
4.7446,0.3455,2.5398
5.4965,1.8411,2.7262
6.3228,0.9793,2.3187
3.5873,-1.2399,1.5207
-0.0569,-1.0154,1.4532
-0.0265,3.2433,-6.5591
-0.6273,7.0705,-9.3108
-3.6537,8.2874,-3.8015
-6.3283,4.5039,-1.071
-5.0133,-0.0197,0.4117
-3.4479,-1.25,3.249
-2.2382,-0.4288,2.5205
-2.6811,-0.0582,1.0468
-3.2357,-0.9062,-2.1586
-0.9741,-1.2131,-1.9722
-2.2321,-0.3194,-0.0974
-4.0693,-0.1694,0.5682
-4.6786,-1.3851,-1.3886
-4.8179,-2.7064,-0.7714
-3.4439,-2.9237,0.1887
-2.6567,-2.5714,0.0869
-2.4009,-1.9965,0.1823
-1.9047,-1.3306,1.0303
1.2473,-0.1543,0.9586
3.3272,1.4121,0.0996
3.1125,2.0389,0.2852
1.9577,2.1182,-0.2867
2.2251,1.9649,0.1532
4.5038,0.9054,2.2942
1.5985,0.2728,0.7853
-1.833,2.8403,-1.7077
-2.718,7.0422,-3.0028
-3.5386,8.292,2.8859
-1.5811,0.0298,0.4279
-3.1485,-4.9384,-2.2274
-2.8869,-5.9164,-1.9412
-2.9027,-5.0112,-1.6242
-2.2376,-0.4306,-3.1712
-1.3065,2.636,-3.7495
-1.3248,0.4071,-0.6538
-0.0724,-1.0832,0.314
0.4501,-1.6882,0.3495
-0.0543,-1.7428,-1.2241
0.9546,-1.0194,-1.1626
1.5333,-0.6813,0.0223
1.5609,-0.5732,0.4823
1.4028,-0.6042,0.7007
0.9009,-0.6278,0.2349
0.7172,-0.6961,-0.2083
0.631,-0.7398,-0.14
0.3043,-0.6841,-0.276
0.1228,-0.7502,-0.3711
-0.3021,-0.3806,-0.1221
-0.2719,1.1049,0.8747
-0.0063,1.6317,2.7665
1.1196,1.6496,2.8871
1.8208,1.2774,1.5737
2.7618,1.0237,1.7678
3.6018,0.4248,2.2638
3.923,0.1587,1.9514
4.3018,0.7732,1.8319
6.1131,2.7851,2.6783
6.8041,1.3627,1.0616
0.7499,-2.1376,2.568
-0.2168,-1.4532,1.6199
-0.9424,2.4645,-3.6616
-1.0227,6.545,-7.7648
-3.6335,7.6931,-4.1747
-5.3523,2.2694,-2.0569
-3.8017,-0.6919,2.5977
-3.9256,-0.9195,2.3175
-2.5201,-0.6102,3.1682
-1.7348,-0.067,2.2842
-2.2459,-0.8369,-2.2234
-1.1332,-0.666,-1.3867
