ax (m/s^2),ay (m/s^2),az (m/s^2)
1.5186,-2.2894,0.1928
-2.1502,-3.0929,-2.8783
-3.5016,0.6387,-3.0118
-3.8351,1.4014,-2.5177
-4.4925,1.4588,-0.8768
-4.759,1.3085,0.6934
-2.5363,2.2675,1.3633
-1.0803,1.0659,1.0
-0.5891,0.2109,0.7128
0.3642,-1.5114,0.0163
0.9072,-1.1109,-0.1832
2.0417,-0.0143,0.2836
2.7617,0.1812,0.1474
3.1496,-0.1794,0.1291
2.959,-0.4527,0.4334
0.7152,-0.4241,0.7735
-1.8004,-1.1685,0.8216
-3.48,-1.5417,0.9273
-4.6712,-0.4853,1.206
-5.4134,0.0687,1.5173
-6.8454,-2.0612,1.5967
-5.6462,-2.4346,2.0058
-3.5538,-0.947,2.9122
-3.6632,-1.5955,3.774
-1.5793,-2.5413,7.0396
0.008,-2.1167,2.5411
1.2595,-2.1651,-0.4753
3.2595,-2.7025,-1.8713
4.9043,-3.157,-2.9034
5.2259,-2.2038,-4.0062
3.0848,0.2091,-4.1906
0.0972,0.7987,-3.7592
-7.4544,-0.9863,2.8072
-5.5883,-0.2477,2.6818
0.4277,0.3145,0.5176
2.2985,0.3854,-0.0395
4.4002,0.6581,-0.5209
5.1873,1.1808,-0.9018
5.1672,1.9125,-0.7837
5.088,2.271,-0.9104
4.8069,2.5283,-1.0987
4.5194,1.7582,0.0959
2.9956,-0.558,1.686
2.0962,-1.19,2.0614
-6.3888,-3.7728,3.8934
-12.1213,1.1756,2.9701
-4.0312,-0.4807,1.6145
-4.0312,-0.4807,1.6145
-1.7067,-3.0315,0.3151
0.3022,-5.3955,-2.2143
6.0205,-5.7047,-1.8792
6.6626,1.4057,1.0481
6.6626,1.4057,1.0481
5.1473,3.313,0.941
4.1493,2.28,2.4458
0.8839,-1.4704,-0.383
-0.2777,-2.3656,-3.3721
-0.7858,-1.6184,-3.8304
-1.9468,0.4459,-3.7561
-2.9037,1.2646,-1.7986
-3.9264,0.5986,-0.1164
-2.9852,1.4998,0.993
-2.9852,1.4998,0.993
-2.0838,1.3332,1.0845
-1.0262,0.0947,0.869
0.7359,-0.2509,0.9632
1.9471,-0.1475,0.8365
2.1002,-0.0345,0.816
2.4305,0.0005,0.521
1.5251,0.0061,0.6356
-1.3619,-0.6207,0.4678
-3.0685,-0.2942,0.7108
-3.1849,-0.2254,0.7322
-4.0385,0.2045,0.9703
-4.7578,0.0187,1.0692
-4.1824,-0.9264,0.6362
-4.7351,-2.2831,0.3864
-4.8793,-2.4461,0.3805
-4.0746,-2.6866,1.0955
-3.3662,-1.8523,2.7134
-1.5101,-2.9332,9.7573
-0.5021,-2.3373,4.3503
0.0037,-2.2463,0.165
1.3762,-2.7193,-1.9108
2.7679,-3.0794,-2.3987
5.1508,-3.9035,-3.9704
3.7964,-0.0703,-5.0906
2.245,1.1066,-4.5395
-0.3454,0.6932,-1.9864
-7.1095,-0.7163,4.7297
0.8375,0.2354,0.3012
2.881,0.4375,-0.4318
3.8402,0.6535,-0.5902
4.4061,0.9811,-0.9822
5.0106,1.4508,-1.0758
5.4138,1.7949,-1.3395
5.5989,2.6398,-1.3858
5.5006,3.0196,-1.3347
5.4007,2.5877,-0.7572
4.5565,0.4108,0.616
-0.0259,-3.8239,3.0144
-10.7966,-5.5933,5.5232
-11.1132,-1.1246,4.8176
-7.451,3.0721,1.9658
-2.7523,1.2626,0.8631
-1.182,-6.2038,-1.9733
1.0336,-7.5604,-3.5304
5.1149,-7.4175,-3.2526
8.4278,-3.1388,4.9136
6.6956,2.5513,-0.9882
6.1909,4.0026,-0.6096
5.4838,2.7603,0.3258
4.0942,-0.0463,-0.1805
2.1822,-3.1558,-1.7019
0.3029,-3.7266,-3.4259
-1.1899,-0.1238,-3.2544
-2.7726,0.4457,-1.9064
-4.845,0.2457,0.2299
-4.8372,0.9969,1.1974
-3.504,2.393,1.8851
-2.2732,1.3135,1.2533
-0.7435,0.3041,-0.2394
-0.2959,0.1383,-0.2729
0.1042,-0.1245,-0.2833
0.714,-0.5597,0.1966
1.0163,-0.7524,0.7221
0.7785,0.0841,1.4839
0.3625,0.0084,1.6328
-0.191,-0.1747,1.6461
-1.2428,-0.1636,1.3784
-2.4681,0.4703,0.8977
-2.6199,1.0634,0.0252
-2.5258,0.6808,-0.2481
-2.361,-0.7692,-0.8139
-2.8587,-4.3565,-1.2069
-1.0182,-2.5484,0.0513
-1.2407,-2.085,0.9302
-2.1116,-2.9581,1.5797
-4.4204,-3.6406,18.3067
-1.0041,-2.0908,9.7115
1.1179,-1.1889,-0.8205
2.5901,-2.9283,-2.299
4.3885,-3.4617,-2.7963
5.4263,-4.3908,-4.1758
5.1509,-3.058,-6.2549
2.9009,0.3051,-6.7395
-5.2664,-1.1285,1.5279
-7.161,-1.6934,3.6922
2.4025,-0.1737,1.3543
3.8751,0.8488,-0.4377
5.0849,1.4759,-1.0925
4.9149,1.5469,-1.4527
4.9605,1.4028,-1.3255
5.5787,1.1401,-1.1333
6.3418,1.4096,-1.2312
6.3474,2.0937,-1.2903
6.1906,1.1372,-0.226
5.0329,-0.7308,0.69
-0.0006,-4.9131,4.6799
-10.8904,-5.3684,6.6659
-11.6197,0.3093,2.6198
-4.7572,0.8483,0.4754
-3.0391,-2.9428,0.2634
-1.3415,-6.6954,-1.4972
2.5229,-6.5035,-2.5039
8.1895,-3.8386,-1.1036
8.5943,2.7677,-0.722
7.3282,4.6319,-0.8603
6.257,3.2758,0.6674
3.3706,-0.3282,1.1253
-0.4371,-4.23,-1.5278
-1.6258,-2.957,-2.2492
-2.3677,-0.7657,-2.2983
-3.6556,0.6013,-2.1681
-4.776,0.8312,-0.9498
-3.3647,2.0267,0.8936
-2.8702,2.3483,0.8919
-2.4157,1.9373,0.5527
-1.6433,0.0299,-0.0212
1.4412,-0.5776,0.2183
3.2387,-0.4237,0.401
3.2387,-0.4237,0.401
3.4127,-0.0582,0.6052
2.3027,0.0455,0.7097
-1.0185,-0.4755,0.6283
-4.0848,-0.3468,0.4583
-4.3084,-0.3039,0.4658
-5.3042,-0.1618,0.5146
-5.8782,0.8559,0.6893
-4.3818,0.569,0.6448
-4.1706,-3.4899,-0.0578
-3.9096,-3.4689,-0.042
-1.6868,-2.7214,0.562
-1.6307,-2.4348,1.0154
-4.0167,-3.181,11.05
0.5234,-2.2277,1.3012
0.5234,-2.2277,1.3012
1.9673,-3.2617,-0.7503
3.9924,-3.7339,-1.734
6.4758,-4.0278,-3.1975
5.3527,-0.7186,-5.798
3.6602,0.5549,-6.5212
2.0222,0.8824,-5.8133
-5.7181,-0.7971,1.6242
0.5538,0.4016,0.574
3.0145,0.6615,0.5033
3.4223,0.6981,0.4027
4.7654,0.9205,-0.3173
4.9821,1.256,-0.9886
5.5522,1.454,-0.5516
6.3868,2.2632,-0.5947
6.3868,2.2632,-0.5947
6.3606,2.6635,-0.9778
6.154,1.2097,-0.2632
3.8269,-2.3891,1.5244
-9.3658,-6.6254,7.0807
-12.171,-4.1617,5.8949
-12.1619,-0.8078,3.7394
-7.295,2.3278,1.4197
-2.4894,-1.0404,1.0122
-0.1786,-5.2665,-2.1686
1.3751,-5.56,-2.4972
4.7989,-5.1513,-2.2121
7.6674,-0.3616,0.9173
6.17,4.3812,0.227
6.0945,2.4109,3.3649
5.5013,0.4806,3.5373
3.3296,-2.0015,1.7751
0.31,-4.8037,-1.2646
-2.6799,-1.3936,-3.0379
-5.0446,1.1361,-2.6363
-5.1726,1.2645,-1.771
-5.1097,1.454,0.0161
-4.0164,1.4435,1.114
-2.4219,1.7172,1.7336
-0.4959,-0.2138,0.7127
-0.0076,-0.5302,0.5624
0.9391,-0.5729,0.6473
2.0046,-0.3306,0.838
2.5127,0.3425,0.8155
2.0213,0.4023,0.3904
1.4291,-0.1642,0.1089
0.0796,-1.0828,-0.2802
-1.0787,-0.9661,-0.0986
-1.9087,-0.1194,0.5946
-3.7833,0.1435,1.1982
-4.3108,0.2303,1.2404
-5.0566,0.3017,1.168
-5.3681,-1.2872,0.8259
-4.4127,-3.4616,0.5601
-2.5703,-2.3593,1.4882
-3.3547,-2.5609,2.2541
-4.1882,-3.1838,7.9162
-2.0661,-2.4244,9.3457
-0.0,-0.9398,1.805
3.5753,-3.1697,-2.7258
3.734,-3.1566,-2.6731
5.0166,-3.4891,-3.3484
5.3501,-2.4922,-5.5208
1.4196,0.3804,-6.3665
-8.4469,-1.5879,3.3578
-8.4469,-1.5879,3.3578
-0.6434,-0.4774,0.5753
2.1516,0.1311,-0.9066
4.4224,0.7359,-1.248
5.2047,1.5049,-1.1349
5.5035,1.6186,-0.8603
5.9977,1.605,-0.6538
6.9214,1.4828,-0.701
6.581,1.9323,-0.8222
4.7474,0.0011,0.1126
4.1355,-0.991,0.4313
1.9824,-3.3996,1.7861
-5.5946,-5.3873,4.2669
-9.2167,-1.2981,3.5255
-7.1891,2.2319,0.8979
-6.1343,1.5607,0.9395
-4.148,-0.9831,0.6216
-2.9619,-4.9223,-0.9879
0.7206,-5.2559,-1.7999
8.9012,-2.291,2.9935
8.5837,0.2075,1.234
7.8414,3.7945,-0.577
6.7606,4.09,0.5682
5.6394,0.6145,2.8974
0.22,-4.6507,-0.2747
-1.9053,-4.3503,-2.1139
-3.6711,-0.8516,-3.2261
-5.0459,1.1338,-3.9447
-5.2705,1.6615,-1.6682
-4.0281,1.6326,1.4085
-3.4793,1.6587,1.3617
-1.9886,1.7625,1.0178
-0.5638,0.3122,0.0839
0.4224,-0.7463,-0.2457
1.7771,-0.5465,0.2825
2.0823,-0.0962,0.6493
1.9268,0.4607,0.9699
0.6418,0.2571,0.7036
-1.605,-1.0082,0.4113
-2.2361,-1.0262,0.3446
-2.796,-0.4668,0.3299
-2.8091,0.6983,0.6114
-2.5046,0.2807,0.8413
