ax (m/s^2),ay (m/s^2),az (m/s^2)
0.2196,0.0829,-0.156
0.2101,0.0833,-0.126
0.2115,0.0653,-0.033
0.2611,0.0545,-0.0771
0.2414,0.0525,-0.0742
0.2038,0.0237,-0.0841
0.1399,0.0557,-0.0781
0.2344,0.0456,-0.111
0.2171,0.0154,-0.1614
0.2338,0.0101,-0.1599
0.1825,0.0279,-0.1071
0.1447,0.0525,-0.113
0.1802,0.0561,-0.0979
0.221,0.0916,-0.094
0.2413,0.0524,-0.1077
0.1911,0.0298,-0.081
0.1815,0.0684,-0.083
0.2254,0.0291,-0.1188
0.2096,0.0671,-0.1235
0.219,0.0058,-0.0812
0.2293,-0.0581,-0.1012
0.2221,0.0088,-0.1541
0.104,0.1002,-0.098
0.0719,0.0876,-0.1129
0.1177,0.043,-0.0942
0.2627,0.0481,-0.1068
0.2499,0.0589,-0.0783
0.261,0.0175,-0.0399
0.2432,0.0334,-0.0733
0.1894,0.0217,-0.159
0.1919,0.0199,-0.0856
0.1721,0.0514,-0.1183
0.1461,0.0618,-0.0852
0.2449,0.0467,-0.1342
0.2341,-0.005,-0.1066
0.2387,0.039,-0.0662
0.16,0.0279,-0.0964
0.1543,0.0355,-0.1152
0.1925,0.0567,-0.1114
0.2254,0.0241,-0.1146
0.2601,0.025,-0.0785
0.1968,0.0486,-0.0867
0.2276,0.0645,-0.0992
0.2426,0.0544,-0.0752
0.2201,0.0428,-0.0433
0.229,0.0088,-0.0887
0.2543,0.0078,-0.1039
0.2256,0.0135,-0.0752
0.2253,0.0352,-0.0416
0.2374,0.0776,-0.1105
0.19,0.1162,-0.1268
0.2196,0.0461,-0.1044
0.2265,-0.005,-0.0956
0.2362,-0.0129,-0.1154
0.1905,0.0106,-0.1044
0.1226,0.1134,-0.1205
0.1865,0.0601,-0.0874
0.2361,0.0399,-0.0886
0.2386,0.0368,-0.0884
0.2614,0.0644,-0.0866
0.2747,0.0489,-0.1033
0.1587,0.0168,-0.0761
0.1683,-0.0074,-0.095
0.1956,0.0428,-0.0872
0.2623,0.0542,-0.136
0.2457,0.0578,-0.1374
0.2032,0.0395,-0.0999
0.1907,0.0452,-0.0768
0.1977,0.0544,-0.1207
0.1774,0.0598,-0.138
0.1923,0.0542,-0.1167
0.2164,0.0307,-0.1163
0.2472,0.0479,-0.1119
0.2108,0.0574,-0.0937
0.1869,0.0529,-0.0977
0.2181,0.0427,-0.0854
0.2327,0.001,-0.108
0.2345,-0.0362,-0.0859
0.1536,0.014,-0.0832
0.1779,0.0427,-0.0751
0.2187,0.0999,-0.1113
0.2235,0.0516,-0.1345
0.2157,0.0036,-0.1096
0.1764,0.0382,-0.1599
0.1859,0.0856,-0.1066
0.1842,0.06,-0.0652
0.2246,0.0147,-0.1262
0.2213,-0.0371,-0.1525
0.1597,0.0392,-0.1148
0.1531,0.0687,-0.1165
0.1511,0.0373,-0.1901
0.2516,0.0921,-0.0273
0.263,0.0704,-0.0706
0.2564,0.0516,-0.1026
0.2063,-0.0211,-0.1864
0.2017,0.0298,-0.0561
0.1854,-0.0015,-0.1348
0.2057,0.0437,-0.1488
0.2289,0.0081,-0.1481
0.2632,0.0657,-0.1114
0.2254,0.0164,-0.0647
0.2079,0.0392,-0.1011
0.1502,0.0131,-0.0938
0.192,0.0963,-0.0938
0.236,0.084,-0.104
0.1874,0.0141,-0.0751
0.246,0.0099,-0.1295
0.239,0.0129,-0.097
0.2024,0.0297,-0.089
0.2276,0.0493,-0.0737
0.2137,0.0262,-0.1094
0.1876,0.0617,-0.1218
0.228,0.0581,-0.0896
0.2124,0.0467,-0.0957
0.2275,0.0336,-0.0925
0.2015,0.0317,-0.1235
0.219,0.0655,-0.0945
0.2025,0.0248,-0.1054
0.1833,0.0966,-0.0438
0.1854,0.0072,-0.1278
0.2074,-0.0596,-0.1052
0.2315,0.0252,-0.1246
0.1821,0.0693,-0.1257
0.0285,0.128,-0.1417
0.166,0.0798,-0.0827
0.3068,0.0509,-0.0815
0.2402,0.01,-0.1099
0.2039,0.0677,-0.0647
0.2519,-0.0043,-0.0697
0.1747,-0.0184,-0.0795
0.1923,-0.041,-0.1365
0.2149,0.0431,-0.1149
0.2049,0.0638,-0.075
0.2459,0.0159,-0.1009
0.2149,0.0718,-0.0837
0.2334,0.0457,-0.0829
0.1752,0.0483,-0.1405
0.1639,0.0675,-0.1537
0.1683,0.0559,-0.0902
0.2777,0.0275,-0.0913
0.2219,0.0276,-0.1052
0.2271,0.0185,-0.1047
0.1932,0.0724,-0.1161
0.212,0.1119,-0.0763
0.2044,0.0366,-0.1067
0.2181,0.0071,-0.1187
0.188,0.0323,-0.1182
0.2003,0.0425,-0.0884
0.2242,0.0135,-0.0917
0.212,0.0516,-0.0851
0.2341,0.0997,-0.0727
0.2039,0.0669,-0.1163
0.2347,-0.0368,-0.0923
0.1793,-0.0258,-0.1192
0.1983,0.0478,-0.1275
0.106,0.0625,-0.1013
0.1291,0.0494,-0.1312
0.2012,0.0385,-0.0883
0.2368,0.0482,-0.1283
0.2448,-0.0001,-0.083
0.249,0.0008,-0.097
0.2012,-0.0005,-0.0843
0.2011,0.0167,-0.0619
0.1995,0.0223,-0.1324
0.2054,0.0606,-0.1665
0.1766,0.0303,-0.0873
0.25,0.0326,-0.13
0.2782,-0.0355,-0.0716
0.2201,0.0619,-0.1093
0.1755,0.0687,-0.0723
0.1912,0.032,-0.134
0.1943,0.0149,-0.1008
0.2442,0.0316,-0.1385
0.2266,0.035,-0.0917
0.2193,0.033,-0.0803
0.2445,0.0155,-0.1595
0.2592,0.0231,-0.1168
0.1899,0.0518,-0.1389
0.1904,0.0129,-0.0814
0.1812,0.0303,-0.094
0.1987,0.0671,-0.1408
0.2128,0.0322,-0.085
0.1748,0.0324,-0.0903
0.2128,0.0161,-0.097
0.1839,0.0638,-0.181
0.2057,0.017,-0.0259
0.1765,-0.0081,-0.0599
0.1813,-0.0374,-0.076
0.1952,-0.0008,-0.1234
0.229,0.0663,-0.1019
0.1218,0.0739,-0.1166
0.1915,0.0583,-0.1352
0.2513,0.0931,-0.1107
0.2809,0.0647,-0.0633
0.2181,0.0056,-0.1062
0.1539,0.0261,-0.0966
0.1747,0.0151,-0.0791
0.218,-0.0094,-0.1194
0.2436,0.0285,-0.1465
0.2214,0.0451,-0.1192
0.2317,0.0639,-0.0604
0.3034,0.0163,-0.0781
0.226,0.0342,-0.137
0.1459,0.0563,-0.1417
0.1761,0.0702,-0.0975
0.2464,0.0545,-0.0808
0.2372,0.0251,-0.1102
0.2299,0.0492,-0.0914
0.2126,0.0611,-0.0489
0.2057,0.044,-0.145
0.2178,0.0114,-0.1374
0.2077,0.0462,-0.075
0.1865,0.052,-0.0894
0.1909,0.0404,-0.1434
0.2392,0.0568,-0.1358
0.1614,0.0701,-0.0986
0.1927,0.0393,-0.1509
0.198,-0.0014,-0.121
0.1968,0.0826,-0.112
0.2725,0.036,-0.0747
0.1768,0.0303,-0.1463
0.1804,0.0229,-0.14
0.2286,0.0282,-0.0978
0.2353,0.0079,-0.1147
0.1419,0.049,-0.1082
0.1069,0.0464,-0.0743
0.1742,0.0875,-0.1103
0.3038,0.0891,-0.0839
0.2685,0.0388,-0.0856
0.2212,0.0084,-0.117
0.143,0.0196,-0.1197
0.1415,0.0222,-0.0679
0.2379,0.0296,-0.1116
0.2498,0.0001,-0.172
0.2225,0.0678,-0.1181
0.2467,0.0625,-0.0244
0.2464,0.0691,-0.1236
0.2076,0.0153,-0.1233
0.1889,0.0777,-0.0621
0.1849,0.0865,-0.0721
0.2545,0.0023,-0.0855
0.2633,0.0164,-0.1168
0.2202,0.0449,-0.1483
0.2367,0.0495,-0.1256
0.2216,-0.0167,-0.1445
0.227,0.0506,-0.0786
0.1653,0.0411,-0.0875
0.203,-0.0391,-0.0782
0.2141,0.079,-0.0901
0.26,0.0888,-0.1024
0.1839,0.0863,-0.0958
0.2343,0.0212,-0.1448
0.2062,0.0101,-0.1219
0.1849,0.0306,-0.1523
0.1667,0.0111,-0.0998
0.1887,0.0042,-0.0773
0.2159,0.0624,-0.0866
0.2445,0.0534,-0.1152
0.2372,0.0227,-0.0887
0.2056,-0.0379,-0.097
0.2107,0.0353,-0.1822
0.1581,0.0621,-0.0871
0.1352,0.0585,-0.1069
0.2672,0.0636,-0.0836
0.2694,0.0589,-0.1008
0.2689,0.059,-0.071
0.2119,0.0109,-0.1122
0.236,0.0161,-0.0964
0.1863,0.0206,-0.0743
0.2631,0.0042,-0.1321
0.17,0.0257,-0.1086
0.2215,0.0467,-0.1616
0.2076,0.0166,-0.097
0.2481,0.0187,-0.1263
0.1763,0.0356,-0.1712
0.1357,0.0643,-0.0332
