ax (m/s^2),ay (m/s^2),az (m/s^2)
-2.2341,-3.1828,-2.3145
-1.7172,-1.606,-3.1108
-0.0833,2.5859,-3.3282
0.5528,2.0238,-3.4928
-1.0303,-0.5052,-1.5263
-1.852,-2.0,0.5057
-2.1766,-2.1103,1.9728
-1.1403,-1.3229,0.9677
-1.0803,-1.1189,0.7714
-1.0211,-0.8554,1.0658
-0.0731,-1.7861,2.2857
0.1529,-3.6848,2.9703
-0.1743,-2.6206,1.2425
0.1521,-1.6925,1.4787
0.2711,-0.1328,0.8923
-0.443,-0.6146,-0.1237
-0.5048,-1.076,-0.3862
0.2993,-0.1612,0.0347
0.4054,-0.3771,-0.0901
0.2758,-1.5163,-1.031
0.2987,-0.9487,-1.7591
1.0584,1.7038,-1.6165
3.8731,4.6974,-0.1711
5.3774,5.6125,1.3082
3.779,6.1284,2.0276
-0.0522,5.8125,2.7217
-2.8331,5.5476,4.0053
-3.694,5.776,1.8833
-3.6493,4.4821,0.2962
-3.2002,1.4781,-0.2854
-2.9381,-1.2574,0.911
-2.4771,-1.6051,1.202
-2.5605,-1.3737,0.5822
-3.3735,-1.3653,1.0653
-4.155,-1.5191,1.5794
-4.7134,-2.1357,1.6662
-5.5999,-3.1482,1.8057
-5.4902,-3.273,1.785
-5.2816,-3.3049,1.2916
-4.0424,-3.0075,0.4903
-0.2439,-1.5996,0.5646
3.2899,-1.346,1.7345
3.892,-1.7165,1.2906
2.8271,-3.3609,0.5301
1.2713,-3.9491,0.2005
0.1537,-2.8116,0.4343
0.1324,1.0573,1.7577
0.2772,2.6891,2.1471
0.4296,4.8518,2.0704
-0.1863,2.6921,1.5932
-1.0941,1.3205,1.8773
-1.8441,2.8437,0.89
-1.998,2.4096,1.0185
-1.8024,1.9639,1.1542
-1.1035,2.2935,-1.3847
-0.642,3.9726,-3.0404
3.2771,8.6678,-1.735
2.3056,5.1172,-1.5298
0.7419,-1.704,0.7604
-1.7791,-3.6145,-1.3788
-2.7217,-2.7392,-2.5909
-2.3774,0.4605,-1.8803
-0.0189,3.3837,-1.5492
0.1246,1.266,-0.5058
-1.3193,-1.3483,-0.9549
-1.5481,-1.9801,-0.8079
-0.8564,-0.677,-0.0014
-0.6282,-0.1952,-0.3048
-0.6866,-0.4007,-0.4915
-0.347,-0.9402,0.3938
0.3871,-1.4962,1.5219
0.7707,-1.8348,1.4203
0.7642,-1.9096,0.9919
0.7647,-2.38,1.9547
0.119,-2.9132,1.7494
-0.4823,-2.6899,1.0745
0.0762,-1.0525,0.5795
0.3552,-0.0751,0.6608
-0.0193,-0.3486,0.6677
-0.0132,-0.6077,0.5213
0.349,-0.6981,-0.5324
0.7348,-1.3233,-1.2511
1.0262,-1.6498,-1.4621
1.7789,-0.8897,-0.8365
2.4084,0.8388,-1.8078
2.5135,2.7195,-0.5296
1.3609,5.3551,-0.0363
0.444,5.6495,0.2188
-2.023,4.5276,1.0576
-3.618,3.7764,1.7638
-3.92,5.0009,0.9885
-1.3892,5.7215,-0.4268
-0.9953,3.4069,-0.3147
-0.3044,0.2762,0.1277
-0.5607,-0.961,1.3806
-2.9086,-1.5213,1.9853
