ax (m/s^2),ay (m/s^2),az (m/s^2)
-6.0606,-0.7093,1.1326
-4.9372,-1.8336,-0.474
-4.571,-1.8817,-1.061
-4.3113,-1.3733,-0.889
-2.2758,-0.3744,-0.079
-1.706,-0.111,-0.0648
-2.8903,-0.9475,-1.1004
-3.4104,-2.2887,-1.243
-3.308,-2.5225,-0.7977
-1.2549,-1.5497,0.6296
0.022,-0.786,-0.1079
-0.0862,-0.7639,-0.1223
-1.8328,-0.8689,0.0142
-2.8391,-0.7415,0.4767
-3.2926,-0.5772,0.715
-3.5377,-1.0597,2.162
7.6747,4.0778,1.0931
9.3523,6.3246,-3.3189
1.8239,5.8546,-3.0265
-0.7611,4.5011,0.4701
-0.8242,1.4927,-1.2442
-1.2571,-0.1494,-0.2321
-1.2828,-0.037,-1.2123
-1.5687,2.7406,-1.6486
-0.519,4.6899,-0.5893
0.7541,3.2102,0.9731
-0.2089,-0.1101,0.6737
-0.5836,-0.9719,0.1757
-0.8087,-1.128,0.074
-0.9179,-1.3139,0.1301
-0.805,-1.4526,-0.3266
-0.5584,-2.1358,-0.0769
0.2721,-2.2067,-0.1808
0.9436,-1.9454,0.1592
1.6627,-1.4031,1.2267
2.1312,-1.1786,1.3502
2.0846,-1.1394,-0.0568
1.8739,-1.3707,-0.9899
1.9061,-2.0407,-2.4929
1.5349,-1.9748,-1.3201
1.4324,-1.2815,0.7023
0.3954,0.1471,2.7143
0.0431,0.5797,2.9726
-1.9294,0.5927,-0.3994
-3.5836,-0.2005,-0.1016
0.2765,0.3484,0.6907
1.7919,0.6322,0.0854
1.5337,0.777,-0.3127
0.3249,1.4132,-0.813
-0.9,3.0762,-1.1188
-0.615,4.9938,-0.8522
1.2623,5.4275,-0.1518
2.3473,3.8689,1.2325
3.0442,1.6877,2.6344
2.7945,0.0908,2.6911
1.9803,-1.4119,2.2505
1.1012,-0.6155,1.0492
1.1652,1.7125,-1.2336
0.7824,2.3994,-2.4511
-0.7726,2.3977,-2.7895
-2.6116,2.7365,-2.1428
-2.265,2.7841,0.1813
-1.2164,1.4183,1.2976
0.5514,0.2875,2.5978
0.8387,0.7319,3.8246
-1.7663,0.7365,1.1367
-2.8022,0.577,-1.502
-4.0421,-0.04,-2.3701
-4.6888,-0.4558,-0.2564
-3.1372,-0.8419,1.3606
-1.7873,-0.7906,0.3077
-2.239,-0.5973,-1.2249
-3.7084,-0.6257,-1.1236
-4.8929,-0.8847,-0.8414
-5.0614,-1.2208,-0.6428
-4.0696,-1.7302,-1.2535
-3.6752,-2.1887,-0.1814
-2.3245,-1.4291,0.3012
-1.3262,-0.4654,0.0181
-0.4477,0.1341,-0.2114
1.0413,0.6399,0.1633
0.8176,0.5545,-0.9418
-1.9283,0.1142,-2.1199
-6.665,-0.943,1.6111
6.0192,3.764,0.1455
4.0738,10.1217,-7.6364
1.1789,6.9365,-0.6406
-1.8392,1.2242,-0.1304
-3.3984,-2.7342,0.3408
-1.9861,-2.1709,-1.5988
-0.0812,1.2772,-2.2911
-0.4564,1.9576,-0.3266
-1.7665,0.7124,-0.2991
-1.7543,-1.0519,-0.0128
-0.6522,-1.5306,0.0614
0.2389,-1.3916,0.425
0.52,-1.7131,0.6958
0.7017,-1.7454,0.5865
1.2906,-1.6371,0.2729
1.3988,-1.271,0.537
1.1994,-1.0134,1.1255
1.1799,-1.2972,0.5561
1.3143,-1.2362,-0.1399
0.9485,-0.9138,-1.1423
1.2365,-0.7746,-1.5968
2.0569,-1.0413,-2.4792
