ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0796,-0.0327,-0.0184
0.0896,0.016,-0.0025
0.1229,0.0219,-0.035
0.1116,0.0323,-0.0323
0.1164,0.0336,-0.0134
0.023,0.049,-0.0516
0.0559,-0.0089,-0.0679
0.0819,0.0196,-0.0479
0.0898,0.029,-0.0301
0.0558,0.0791,-0.0482
0.0512,0.0878,-0.0549
0.0268,0.0083,-0.0306
0.0945,0.0308,-0.0303
0.1327,0.0164,-0.0641
0.0939,0.0589,-0.0151
0.0931,0.0923,-0.0631
0.0385,0.0436,-0.053
0.0251,-0.0022,-0.0531
0.0328,0.0207,-0.0378
0.0851,0.0259,-0.0803
0.0621,0.0724,-0.0075
-0.0034,-0.0135,-0.0557
0.059,0.0047,-0.1405
0.0729,0.0287,-0.1235
0.0654,0.0512,-0.1134
0.0285,0.0435,-0.1045
0.0487,0.0059,-0.0647
0.0796,0.0459,-0.0689
0.1181,0.0711,-0.0628
0.1419,0.0808,-0.0413
0.0544,-0.0022,-0.0456
0.0862,-0.0352,-0.0333
0.0216,0.0436,-0.0988
0.0488,-0.0315,-0.0736
0.0673,-0.0083,-0.0993
0.0305,0.0152,-0.0526
0.0074,-0.0064,-0.0605
0.0571,0.0733,-0.0925
0.0814,0.0735,-0.0651
0.0398,0.0207,-0.1059
0.0146,0.0632,-0.1103
0.0468,0.029,-0.0799
0.009,0.0336,-0.1088
0.0373,0.0034,-0.0891
0.0489,0.0481,-0.0567
0.0675,0.0571,-0.1056
0.0618,0.0324,-0.1027
0.0481,-0.0357,-0.0541
0.0739,0.0591,-0.0565
0.0913,0.0782,-0.0702
0.0964,0.0852,-0.0228
0.0446,0.0103,-0.0405
0.0086,0.0157,-0.0122
0.0457,-0.022,-0.102
0.1089,0.0048,-0.1215
0.1466,0.0498,-0.0992
0.0425,0.0034,-0.0446
0.0008,-0.0193,-0.1116
0.03,-0.0109,-0.1046
0.0791,0.0775,-0.1116
0.0602,0.0232,-0.1269
0.0368,-0.0035,-0.0757
-0.0225,0.0169,-0.088
0.0995,0.0202,-0.1139
0.0893,0.0753,-0.0912
0.0523,0.0158,-0.1218
0.014,0.0139,-0.0548
0.0742,-0.0131,-0.052
0.0771,0.0109,-0.064
0.1173,0.0705,-0.04
0.0595,0.0532,-0.0321
0.0326,0.0008,-0.046
0.0484,0.0619,-0.0816
0.0574,0.062,-0.0943
0.036,0.0204,-0.1438
0.0519,0.019,-0.0883
0.043,0.0408,-0.1014
0.0431,-0.0197,-0.0623
0.0336,-0.0244,-0.1018
0.051,0.0123,-0.1362
0.0441,0.0105,-0.0607
0.0455,0.011,-0.1022
0.0575,0.0468,-0.0903
0.0622,0.0183,-0.0733
0.0717,0.0285,-0.0429
0.1,0.0413,-0.0882
0.1066,0.0666,-0.0957
0.057,0.0537,-0.0768
-0.0018,0.0354,-0.0892
0.0531,0.0316,-0.0726
0.1185,0.0322,-0.0948
0.0517,0.0088,-0.0563
0.0369,0.0255,-0.0853
0.0227,0.0158,-0.0722
0.0962,0.0144,-0.0512
0.0901,0.0678,-0.1229
0.038,0.0211,-0.0523
0.0442,0.0145,-0.0485
0.0291,0.0811,-0.0807
0.0501,0.0636,-0.1217
0.0671,0.0666,-0.1051
0.086,-0.0023,-0.1078
0.0122,0.0287,-0.0985
0.0273,0.0157,-0.082
0.0523,-0.03,-0.0559
0.053,-0.0018,-0.1112
0.0677,0.0043,-0.065
0.0592,0.0125,-0.083
0.0398,0.0342,-0.0794
0.0591,0.0669,-0.0424
0.0347,0.0454,-0.077
0.0902,0.0492,-0.1125
0.0717,0.0696,-0.0405
0.0691,0.0518,-0.0614
