ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.1,-0.1239,-0.0629
-0.1603,-0.2016,-0.0555
-0.1313,-0.2002,-0.0418
-0.0947,-0.2312,-0.0052
-0.1293,-0.1695,0.0221
-0.113,-0.2017,-0.0446
-0.0265,-0.2498,-0.0644
-0.0288,-0.1726,-0.0821
-0.0712,-0.1932,-0.0629
-0.0743,-0.2224,-0.0072
-0.0933,-0.2193,-0.0095
-0.0821,-0.183,-0.0568
-0.155,-0.1857,-0.0043
-0.1701,-0.2417,-0.025
-0.0939,-0.1801,-0.0013
-0.1317,-0.155,-0.0715
-0.1518,-0.1955,-0.0832
-0.0925,-0.338,-0.0202
-0.0164,-0.2272,-0.0316
-0.0498,-0.1444,-0.0399
-0.1188,-0.2217,-0.0117
-0.1287,-0.2355,-0.0108
-0.0598,-0.1714,0.0239
-0.1056,-0.1401,-0.0421
-0.1393,-0.2493,-0.0359
0.0035,-0.1837,0.0265
0.0153,-0.1481,-0.0072
-0.1105,-0.1978,-0.0642
-0.1525,-0.2512,-0.0437
-0.0881,-0.152,-0.0752
-0.1574,-0.2164,-0.0582
-0.1547,-0.1946,-0.0368
-0.1473,-0.1429,0.0283
-0.1629,-0.21,-0.0317
-0.1177,-0.1951,-0.031
-0.121,-0.1683,0.0172
-0.1294,-0.2115,0.0065
-0.106,-0.2143,0.0117
-0.0795,-0.1854,0.0199
-0.0853,-0.1549,-0.0507
-0.0406,-0.2187,-0.0156
-0.088,-0.2,-0.012
-0.09,-0.183,-0.0106
-0.0518,-0.1791,-0.0744
-0.0425,-0.2,-0.07
-0.0492,-0.1974,-0.0119
-0.0566,-0.1847,-0.0317
-0.059,-0.2291,-0.0494
-0.0894,-0.2369,-0.0401
-0.0119,-0.1471,-0.0017
-0.0353,-0.2322,-0.0295
-0.0624,-0.2439,0.0123
-0.0654,-0.2107,-0.0204
-0.0196,-0.2409,0.002
-0.078,-0.2642,-0.0208
-0.0703,-0.1607,-0.0579
-0.0773,-0.1766,-0.0768
-0.0433,-0.2532,-0.0608
-0.005,-0.2688,0.0413
-0.1101,-0.1272,0.0136
-0.1762,-0.1924,-0.033
-0.0737,-0.2199,-0.0287
-0.0562,-0.2144,-0.0028
-0.0549,-0.1848,-0.0416
-0.0237,-0.2253,-0.0555
-0.0127,-0.2455,-0.0919
-0.0611,-0.2192,-0.0184
-0.0982,-0.1937,0.0302
-0.0703,-0.2389,-0.0176
0.0435,-0.1849,-0.0807
-0.0555,-0.2111,-0.013
-0.0752,-0.2299,-0.007
-0.0852,-0.2369,-0.0153
-0.0776,-0.1888,-0.0516
-0.1094,-0.2078,0.0085
-0.1214,-0.2233,0.0154
-0.0419,-0.2255,0.0385
-0.0107,-0.1775,-0.0684
-0.08,-0.2184,-0.0487
-0.0594,-0.1773,-0.0413
-0.1707,-0.1824,-0.0564
-0.1629,-0.2236,-0.0017
-0.087,-0.2052,-0.0395
-0.0177,-0.1963,-0.0246
-0.0144,-0.1983,-0.053
-0.1056,-0.1924,-0.0213
-0.1109,-0.1924,-0.0683
-0.1002,-0.2161,-0.0028
-0.1503,-0.168,0.0307
-0.0559,-0.1918,-0.0318
-0.0847,-0.2035,-0.0621
-0.0841,-0.2102,-0.0424
-0.0901,-0.2129,0.0079
-0.1974,-0.1777,-0.0261
-0.1521,-0.1738,-0.0728
-0.094,-0.1877,-0.058
-0.0408,-0.2237,-0.0143
-0.019,-0.2253,-0.0061
-0.0739,-0.1837,-0.0211
-0.0746,-0.2175,-0.0077
-0.0768,-0.2055,-0.0379
-0.049,-0.2171,-0.0358
-0.0625,-0.1758,-0.0057
-0.0482,-0.24,0.0067
-0.1143,-0.181,-0.0414
-0.1344,-0.1464,-0.0457
-0.1217,-0.2037,-0.0195
-0.0934,-0.1969,-0.0029
-0.094,-0.2384,-0.0275
-0.0203,-0.2403,0.001
0.0417,-0.2323,-0.0802
-0.0366,-0.1901,-0.0701
-0.0599,-0.2328,-0.0265
-0.0379,-0.2083,-0.0183
-0.0854,-0.1645,-0.0207
-0.1363,-0.1956,-0.0494
-0.1396,-0.203,-0.0246
-0.0625,-0.227,-0.0244
-0.0839,-0.1909,0.0031
-0.0359,-0.2264,-0.0524
-0.0615,-0.202,-0.0255
-0.0688,-0.2013,0.0105
-0.0904,-0.2161,-0.0289
-0.0519,-0.1993,-0.0062
-0.0594,-0.2333,-0.0611
-0.0475,-0.2063,-0.0516
-0.0425,-0.2156,-0.0057
-0.062,-0.2389,-0.0306
-0.0937,-0.1972,-0.0497
-0.0732,-0.1602,0.0371
-0.1106,-0.1743,-0.0213
-0.1333,-0.2283,-0.0693
-0.1451,-0.1813,-0.0347
-0.0238,-0.1866,0.0078
-0.0419,-0.2032,-0.0449
-0.0041,-0.1809,-0.0855
-0.024,-0.2072,-0.0776
-0.1148,-0.1782,-0.0354
-0.1327,-0.2406,0.0055
-0.0794,-0.1739,-0.017
-0.0945,-0.1692,-0.0482
-0.0687,-0.2657,-0.0442
-0.1229,-0.1973,-0.0266
-0.0989,-0.2188,-0.0027
-0.0923,-0.2292,-0.0084
-0.0215,-0.1569,-0.087
-0.0979,-0.2001,-0.0856
-0.0784,-0.2243,-0.0442
-0.0064,-0.2238,-0.0194
-0.0409,-0.1824,-0.039
-0.0201,-0.2132,-0.051
