ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.9107,1.294,1.9335
-0.767,0.2535,2.6095
1.0299,0.9256,2.0508
2.8866,1.438,0.79
3.3038,-1.3137,-1.0767
3.8531,-3.256,-1.6936
4.9896,-3.4287,-3.7887
1.6167,-5.3099,-2.0775
-0.8207,-8.2155,-0.7057
-0.1978,-7.3826,0.1883
-3.1498,-2.483,1.6242
-3.1818,-0.5353,2.0263
-1.7595,-0.3698,0.8217
0.1848,-1.2383,0.2019
0.1813,-1.2745,0.724
-1.0336,-0.8697,0.1679
-1.4937,-0.6171,-0.7314
-2.28,-0.2904,-0.0052
-3.5518,0.783,1.0382
-3.6219,2.5583,1.0205
-3.5529,3.2262,1.2504
-3.0671,2.9977,1.4851
-1.9368,2.2997,1.3424
-0.9442,2.0678,0.593
-0.3417,2.1503,-0.3817
1.0576,1.7443,-1.39
1.9332,1.418,-1.4178
2.9468,0.843,-1.26
3.0364,0.5001,-1.1448
2.5098,0.6529,-0.587
1.5934,1.6589,0.9256
0.9814,1.9812,0.9287
0.1756,1.5645,-1.0396
-1.2121,0.3709,-4.3877
-2.7858,-1.6605,-5.9887
1.512,-5.0366,2.1892
3.243,-1.3981,2.0826
3.4614,-0.208,0.809
4.3111,-3.8975,-0.2613
4.5597,-6.5334,-2.0113
0.9148,-0.2853,-1.833
-2.9628,-1.3991,1.1916
-5.8714,-4.8429,5.8058
-6.7735,-4.2737,9.0437
-4.1323,-0.6721,6.4038
-4.7906,-3.2814,2.1202
5.2433,-4.0555,-7.9862
1.0447,-1.1131,-1.4576
0.0572,-0.4372,0.3392
-1.3152,0.3869,3.4392
-1.5029,1.3379,4.8264
0.1962,1.5536,-1.5819
0.5636,0.9554,-4.5779
0.6283,0.6836,-1.9796
1.578,1.3953,0.4488
2.2023,2.6006,-0.0231
-0.0241,2.0724,-1.4742
-0.2121,1.3776,-1.662
1.3747,1.3,-0.8405
2.1987,1.9828,0.4137
2.0061,1.7306,0.8367
1.2504,0.895,0.4678
-0.0075,-2.0931,0.6103
0.6753,-4.1967,0.3157
2.1848,-3.6577,-2.5152
3.3034,-5.4244,-4.1713
4.3507,-10.5091,-2.1205
2.6686,-8.1682,-1.1225
-2.9202,-2.4835,2.4253
-4.8111,-0.9463,2.9432
-4.7433,0.843,1.6686
-1.3488,-0.657,-0.0597
-0.5779,-1.4508,-0.1432
0.0119,-1.4329,-0.1681
-0.4996,-0.1427,0.2954
-1.3079,0.7979,0.7227
-2.3114,1.5185,1.3262
-3.2747,2.1824,1.4544
-3.3986,2.9204,1.1957
-3.1868,2.7365,1.1701
-2.8202,1.8746,1.1993
-2.3752,1.5399,1.0586
-2.09,2.5177,-0.3017
-1.6329,3.1882,-1.7673
0.7839,2.6006,-1.74
3.9547,1.5292,-1.146
5.9144,1.4751,-1.6314
4.0465,1.757,-1.4503
2.7498,1.4249,-0.3843
1.0711,0.8396,0.5045
-0.6395,0.179,-0.589
-3.0044,-0.8972,-4.6755
-6.3107,-5.6805,-5.2715
-4.4743,-6.5045,-0.3772
-1.0537,-4.4835,3.0355
2.8942,-0.5243,3.5327
1.716,0.2102,0.9746
3.2822,-12.3624,-1.4886
1.1378,-4.8234,-3.0645
-1.523,0.2305,-1.6826
-3.7052,1.3714,1.7578
-5.3363,-0.6304,4.6743
-4.2051,-3.4946,6.3476
-2.8498,-4.2988,4.741
-0.675,-2.49,0.8288
4.8265,-0.8358,-6.8578
1.7778,0.8258,-4.1112
-0.7211,1.7892,0.196
-1.0752,1.913,1.6828
-1.2071,0.4745,2.0434
0.1613,-0.892,-1.6131
1.6206,0.7784,-3.4852
1.8247,4.4801,-1.0998
1.361,4.7379,-0.348
1.4072,3.3177,-0.29
2.1468,0.6712,-0.7757
1.9091,0.5831,0.2119
-0.2465,1.7154,1.3463
-2.1993,2.3517,1.7159
-2.7789,1.852,0.6542
-1.8367,-0.5445,-1.4859
0.8465,-3.8941,-3.6207
3.3786,-4.0736,-3.2812
3.4414,-4.7161,-1.5175
3.2644,-3.9171,-0.5888
2.4922,-3.7011,1.0183
1.566,-5.5495,2.6157
-1.873,-5.7696,2.8828
-5.3623,-3.9862,1.6865
-6.1307,-2.6486,0.7255
-4.5796,-1.0199,-0.67
