ax (m/s^2),ay (m/s^2),az (m/s^2)
-3.3796,-2.1813,2.3534
-3.4421,-1.8007,1.3331
-3.3213,-1.6941,0.0829
-2.8704,-1.7303,-0.9088
-2.2157,-1.9731,-1.0865
-0.888,-2.138,-0.4774
0.5562,-2.2431,-0.6618
1.5771,-2.5028,-1.458
2.4638,-3.1654,-1.7911
3.9791,-1.7177,-0.5345
4.5738,-0.1719,-0.9126
3.9649,0.8551,-1.5229
3.6355,1.7228,-1.0693
3.7707,2.1655,-0.7578
3.8863,2.4239,-1.0018
4.1466,1.8233,-0.7942
4.2385,1.5835,-0.9515
4.6223,1.3785,-1.2497
5.0964,1.3832,-1.4926
4.9676,1.6734,-1.7324
3.4607,2.3038,-1.8572
2.6354,2.8657,-1.45
2.2764,3.1003,-0.5003
-1.1946,2.4619,-1.7504
3.0038,1.0946,-2.392
0.6441,-11.7674,0.2344
-3.2443,-16.0899,-0.757
-3.4814,-6.3039,-1.0464
0.5392,0.3941,-0.8831
2.9094,0.4026,-0.9187
2.8967,-0.3172,-1.5012
1.1617,-1.4647,-1.375
-0.1498,-2.8203,-0.9793
-0.5359,-3.2308,-0.4896
-0.7436,-2.331,-0.616
-1.087,-1.0259,-0.5226
-0.715,0.4182,-0.4983
0.0389,1.1287,-0.6386
0.533,0.7875,-1.005
0.4926,-0.2897,-1.2937
0.4112,-0.5889,-1.3382
0.7708,0.5729,-0.662
-0.3976,1.0605,2.5312
-1.2154,1.2665,3.9052
-2.0355,1.4225,0.1233
-1.0609,1.8466,-0.3896
0.001,1.751,1.6151
0.2987,1.2661,1.728
-0.6349,0.5453,0.9932
-2.1658,-0.5111,1.3939
-3.1531,-0.6372,0.8013
-3.0472,0.1063,1.3622
-3.8193,-0.468,0.8802
-2.7849,-1.0483,-0.126
-0.3765,-2.6307,-0.6653
1.2481,-3.8928,-1.612
1.919,-6.6078,1.0557
0.0015,-6.6153,2.9591
-0.8542,-4.437,3.6848
-1.8113,-2.8928,3.8957
-2.7685,-1.6533,3.0725
-3.6102,-1.481,0.9618
-3.2431,-1.826,-0.2576
-2.77,-1.7161,-0.3921
-2.0315,-1.5599,-0.6652
-1.217,-1.5869,-0.5787
0.6758,-2.1098,-0.039
1.5552,-2.3817,-1.2269
1.808,-2.38,-1.6764
2.3111,-1.7,-1.0458
2.273,-0.5621,-0.0945
2.6326,-0.0093,-0.2324
3.7313,1.4457,-1.0613
3.8806,2.4011,-0.7829
3.9102,2.762,-0.8742
4.173,2.696,-0.9523
4.2563,2.3352,-0.7165
4.6795,1.8951,-0.9173
5.362,1.7131,-1.0796
5.488,1.8062,-1.1459
5.0022,2.7682,-1.9415
3.5168,3.8132,-2.6897
2.3174,4.0075,-1.0117
-0.5873,2.1267,-0.4103
2.0091,-0.0402,-2.0567
0.2327,-10.9162,4.6744
-5.1838,-17.3075,-0.2403
-0.7784,-0.8802,-0.0207
2.3331,1.3454,-0.2385
3.4862,1.0551,-0.8291
3.1424,-0.0786,-1.631
1.0645,-2.7925,-2.3486
-0.3127,-5.2686,-2.3306
0.0031,-3.058,-1.5987
-0.1409,-0.6184,-1.137
-0.9741,0.0953,-0.8511
-0.8122,0.5475,-0.2899
0.2764,0.2434,-0.3792
0.3877,0.0363,-0.3421
0.4565,0.1077,-0.2876
0.8876,0.8479,0.0691
0.5287,1.4368,0.9807
-0.9888,1.7243,2.3205
-1.8545,1.5698,0.33
-1.7479,1.54,-0.4481
-0.6351,1.3357,1.0806
0.2701,0.8007,1.9276
0.2505,0.41,1.0962
-1.2021,-0.4958,1.1538
-2.8341,-0.9509,0.8407
-3.9035,-0.3662,0.3671
-2.7296,0.4517,0.5207
-1.0462,0.0959,0.3333
-0.3157,-1.6111,-1.1324
-1.6905,-3.9084,-1.4806
0.5595,-3.3261,0.0643
-0.88,-4.6948,1.5425
-1.1144,-5.7508,1.138
-0.8877,-3.0538,2.4558
-1.4411,-2.3328,2.8035
-1.4496,-2.2732,2.6022
-1.7776,-2.6123,2.0526
-2.0268,-2.4556,0.6701
-1.9221,-1.5993,-0.1489
-2.2877,-1.7446,0.0764
-2.8939,-2.2044,1.0899
-2.2304,-2.7804,1.4598
-0.014,-2.7579,-0.0922
2.6674,-2.0729,-0.4341
4.0039,-1.4286,-0.7772
4.6085,-0.4542,-1.3719
4.4352,0.5648,-1.1521
4.7475,1.691,-0.5301
4.8158,2.6639,-1.0517
3.4953,3.2412,-0.9307
3.1349,3.0334,-0.668
3.7431,2.8889,-0.7991
4.5598,2.39,-1.1285
5.1196,2.0192,-2.1185
4.0574,2.687,-2.3468
3.8943,2.7523,-2.2936
2.826,3.6578,-1.7127
3.2925,4.1924,-0.4513
-4.5006,1.2831,-2.292
