ax (m/s^2),ay (m/s^2),az (m/s^2)
1.0728,-0.9842,0.209
-1.7751,-0.7066,0.8798
-3.8598,0.0494,1.0439
-4.6862,2.554,0.1412
-5.0936,3.141,0.1931
-4.8192,3.8486,0.4754
-4.2539,4.1507,2.4202
-2.4474,2.8142,1.9413
0.0575,0.3816,-0.6709
1.7719,-0.9726,-1.8346
3.8851,-1.2881,-3.2037
4.7761,-1.3603,-3.5065
5.6006,-3.9819,0.7106
0.5965,-6.8586,2.1505
0.5965,-3.4607,0.4245
0.4858,-0.2727,-1.6422
-0.3623,-0.0413,-2.2327
-5.0617,-5.625,-0.8556
-6.3895,-8.6458,0.4842
-4.3944,-3.1708,0.8513
-1.697,0.5018,0.5007
-0.7118,0.915,-0.8946
3.5286,0.2244,-4.4709
7.5704,-0.2455,-2.6582
8.63,-1.0369,5.0218
-0.7088,-1.6467,2.7008
-3.1732,0.6973,2.2114
-1.6572,3.6026,1.5815
-2.4693,3.4279,0.5027
-4.2148,2.0373,1.0203
-3.9647,1.1103,2.4719
-2.1537,0.7206,3.2148
0.6961,0.3329,1.4484
1.5588,-0.1518,-0.6727
2.6087,0.1353,-1.613
3.4518,0.369,-0.6599
1.8062,0.4292,-0.0055
0.255,0.5438,-0.3231
-0.9001,0.7276,-0.5743
-2.2818,0.5461,-0.0385
-3.2922,0.8215,-0.7311
-3.6299,1.9203,1.1557
-4.0768,0.7982,3.9943
-4.655,0.1992,3.7046
-4.4523,0.5635,1.446
-2.5994,-0.0584,0.0036
-1.5336,-3.6937,-1.7306
1.7137,-6.3173,-3.6805
6.6149,-5.046,-3.1823
4.7356,-1.2685,-2.1698
2.5931,-1.8251,-1.9567
-0.9351,-4.0743,-1.2862
-4.7509,-4.617,0.8526
-2.3991,-0.7375,2.3306
1.7013,-0.4335,1.6958
2.6241,-0.1395,0.7112
3.8129,0.2692,-0.1011
4.5339,0.0637,0.3261
4.961,-0.2186,1.2865
4.9751,0.3506,-0.2987
5.129,1.2097,-0.8291
5.1427,2.1014,-1.2256
4.4214,2.2691,-1.3288
3.358,1.532,-1.2656
1.5152,-0.2787,-0.1691
0.1052,-0.8907,0.6879
-2.3835,-1.4334,1.5031
-5.1321,-0.0701,1.6645
-6.1628,3.2068,1.9268
-6.1722,4.2902,1.6825
-5.6856,4.8733,2.7696
-5.1202,3.5716,3.9332
-3.0514,0.9369,1.9525
-0.1697,-0.3776,-2.0524
2.0263,0.4973,-4.7752
1.863,0.4701,-5.9789
2.1294,-0.1349,-4.6699
5.2885,-6.2236,6.5472
-0.2741,-7.9126,0.3634
0.1709,-1.5996,3.0594
-1.7095,1.6605,2.0251
-4.1358,-0.555,0.4423
-3.9754,-4.6722,0.2969
-0.538,-6.9971,-1.1411
1.1523,-4.5658,-0.2719
1.3812,-1.383,-0.3702
2.3331,-0.9708,-2.1675
3.9988,-1.0947,-3.0208
4.3445,-0.8495,1.2847
1.3629,-0.8175,3.5793
-2.3018,0.6184,2.8201
-3.8443,2.1805,1.6204
-4.0296,3.2761,-0.0626
-3.2413,2.8623,0.4716
-2.382,2.1124,0.3144
-0.3722,0.6725,0.1203
0.3847,0.2987,0.5693
-0.4476,0.5533,2.9927
-0.1804,1.0299,1.8546
0.3379,1.3922,0.6033
0.6519,1.9834,-0.224
0.6639,1.6671,-0.0476
1.6818,1.1394,0.1662
1.8323,1.2002,-1.0769
1.5896,1.2268,-1.4734
1.0346,0.0255,-1.9716
0.4299,-1.4515,-2.0399
-0.2839,-0.7285,-1.0385
-4.5033,-0.3656,2.4445
-5.6647,0.5608,2.9384
-6.7685,1.1218,2.5942
-5.7762,0.3594,1.6136
-5.1422,-3.8521,0.7639
1.3034,-7.2125,-2.4143
4.6713,-5.4221,-4.223
5.6253,-4.1848,-4.9374
3.6627,-1.8053,-3.5661
-2.4986,-2.3586,2.0424
-1.1014,-0.4348,1.678
-0.7674,-0.3953,1.783
1.8343,-0.5466,2.7739
3.57,-0.3705,1.316
4.1609,-0.8293,-1.1723
4.1524,-0.908,-0.1116
4.0934,-0.8115,0.0694
4.1241,0.1341,0.2127
4.738,1.7261,-0.1337
5.2623,2.7024,-1.0668
5.105,2.5659,-1.0945
4.5121,2.4253,-0.7483
2.1554,0.7597,0.0419
-1.1224,-1.4373,1.3469
-5.6518,-1.9988,2.9678
-7.5118,1.8301,-0.3087
-8.4315,3.0,-1.0518
-8.6312,4.4507,-0.8005
-8.0307,4.0373,0.5951
-5.5227,2.0045,2.1467
0.222,0.4407,-2.5359
0.4442,0.3604,-2.704
1.7369,0.2461,-3.1116
2.826,0.366,-3.0336
2.6637,-1.8832,-2.1439
3.0865,-5.8883,4.2322
2.3903,-7.0516,3.6677
0.0401,-5.623,1.1485
0.0218,-3.3758,-0.3586
-0.0153,-3.8371,-1.0813
-1.747,-6.0152,-0.0307
-2.062,-6.0388,1.3346
-3.1043,-2.4814,1.4107
-2.5375,0.7421,0.1799
-0.7233,1.0212,-0.7126
1.022,0.535,-0.9338
1.4669,0.4739,-0.572
2.0461,0.561,1.5276
1.4684,0.8455,3.2853
-2.0486,1.3075,2.6418
-3.3361,2.308,1.9164
-3.187,2.0772,1.9809
-1.7285,1.1396,1.8749
0.2653,0.1367,0.8369
1.821,0.3748,0.1853
2.0223,0.9591,0.6356
1.5993,1.1778,2.2047
0.2559,1.6557,1.708
-0.165,2.9367,0.3415
-0.6535,2.7167,-0.4918
-1.5322,-0.2744,-0.7305
-1.7503,-2.2782,-0.9289
-1.1621,-2.5287,-1.226
-2.0326,-0.5814,0.4473
-4.4662,0.7797,3.193
-4.7113,0.9754,2.7496
-4.1045,1.175,1.12
-3.7707,0.309,0.9991
-3.0032,-3.1702,0.3989
0.4222,-4.816,-1.9168
3.7351,-4.4571,-4.2784
4.6498,-3.6953,-4.3776
3.2641,-3.8556,-3.3876
-0.5296,-5.1082,-0.3025
-2.1405,-1.8844,-0.0017
1.2511,-1.3009,1.3579
2.3406,-1.1821,1.0751
3.3354,-0.8552,0.3566
4.966,-0.0824,-0.3439
6.2636,0.8507,-0.0319
6.5723,1.4367,0.3261
6.4352,2.0001,0.0964
6.1236,2.7642,-0.3872
5.6945,3.1135,-0.6028
5.2214,2.3764,-0.6359
3.952,0.1996,1.0166
2.3468,-0.8886,2.1121
-1.6749,-2.5997,3.703
-6.4954,-3.2193,3.9569
-9.2523,-0.399,-1.2813
-6.5344,4.0654,0.4103
-5.5979,4.1733,1.3976
-4.16,2.7343,1.8577
-1.6344,1.0302,1.0748
1.7743,-0.1536,-1.8593
3.4393,-0.2227,-3.8823
3.4619,-0.6098,-4.4925
2.8858,-2.9622,-5.1211
3.7043,-9.9589,8.0597
0.2573,-5.9079,8.9558
-2.0094,-1.0315,0.8293
-1.8462,-1.403,-1.8146
0.787,-2.6728,-2.6928
2.2569,-2.8976,-3.0498
-0.285,-2.5792,-2.3424
-0.5346,-2.7252,-2.323
-2.3107,-2.7919,-1.5257
-2.6862,-0.9871,0.4422
-3.4786,0.7317,1.8993
0.1155,1.2445,1.029
2.5596,0.5555,0.5345
3.5861,0.2247,-0.0163
4.2468,0.3895,-0.1822
2.2891,1.5045,1.3939
-1.4763,-0.1898,1.8825
-1.8879,-0.2767,1.6373
-1.9851,0.3614,1.0557
-2.2167,1.9517,0.3983
-2.4034,3.3416,1.6229
-2.4139,1.8444,1.4615
-1.5814,1.1666,0.8027
-0.0684,0.9573,0.0077
1.1257,1.1546,-0.813
1.7912,0.9673,-1.9292
1.9547,-1.8041,-2.3811
1.6227,-3.2694,-1.5347
0.2929,-2.7644,0.5871
-2.586,0.7263,3.2624
-5.5514,2.8468,4.4794
-5.388,1.7806,1.2924
-4.3272,0.8542,0.1535
-3.6688,-2.8301,-2.5952
-0.9323,-6.3351,-5.6271
4.4134,-6.5944,-6.1667
4.9266,-4.8145,-2.9043
3.4969,-3.4587,-1.178
0.2601,-2.3953,1.2341
-1.2681,-1.9437,0.7867
0.5345,-2.0458,-0.4691
1.8569,-2.3377,1.2233
2.448,-1.6978,0.8499
3.8537,-0.2767,0.212
5.1724,0.364,0.4277
5.7707,0.6632,0.6215
5.6632,1.0755,0.6267
5.5943,0.8877,0.3555
5.1835,0.3502,-0.1368
5.2435,-0.0332,-0.4883
5.177,-0.0219,-0.3304
2.6517,0.0559,0.4492
0.7951,-0.2631,0.8908
-3.0597,-1.2236,1.895
-5.4128,-0.8064,1.7697
-7.0589,1.056,0.5051
-8.5954,3.045,0.9977
-8.5455,3.4566,1.4165
-5.8902,2.743,0.6932
-2.1651,1.8046,-0.3975
-0.023,0.3744,-1.5497
2.0483,-1.023,-2.8726
2.321,-1.9167,-3.1369
2.3893,-4.3705,-3.6889
3.8977,-6.0911,1.2498
2.8366,-3.3184,3.9117
0.4605,-4.7615,-1.5374
0.7083,-4.5266,-2.1421
0.501,-4.1725,-2.6039
0.6066,-3.585,-2.4417
0.6919,-2.3015,-0.5411
-1.089,-2.2266,-0.6588
-1.2323,-1.2534,-0.645
-0.9029,-0.0089,-0.6138
-0.0746,0.5644,-0.0496
1.7535,0.2286,0.4292
1.2841,0.7113,0.1552
0.9821,0.8517,0.0815
0.0595,1.372,-0.076
-0.2374,1.5497,-0.098
0.2215,0.566,0.0711
-0.1159,-0.3653,0.3847
-0.6135,-0.4825,0.4057
-1.3727,-0.1789,0.5559
-1.8644,0.5039,0.6745
-2.1197,0.2479,0.4588
-1.2121,-1.2211,-0.0792
-0.8056,-1.1709,-0.41
-0.2829,-0.7744,-0.6926
-0.0652,-0.3413,-0.7267
-0.2743,-0.7172,-0.9729
-0.8362,-1.0766,-0.7142
-1.0669,-0.8425,-0.6172
-2.1436,-0.3953,-0.7212
-3.5966,-0.6713,-0.2088
-3.9756,-0.4223,1.0692
-4.137,-0.0476,2.3589
-3.9121,0.047,2.3884
-3.3173,0.6387,1.7121
-2.8796,1.3397,0.0636
-1.7857,1.3589,-0.5476
0.3685,-3.2358,-1.3061
0.9796,-4.082,-1.4524
3.3213,-5.3498,-1.4718
4.4418,-3.3565,-0.9558
3.4515,-1.1805,-0.4435
2.3996,-1.0332,-0.4466
2.3996,-1.0332,-0.4466
1.1793,-1.0217,0.5793
0.7636,-0.4885,0.9004
0.7299,0.4399,0.4266
2.7358,-0.0987,0.1005
2.8184,-0.1414,0.127
3.3542,-0.3944,-0.1483
3.7068,-0.362,-0.3339
4.3783,-0.2011,-0.3714
4.8216,0.6968,-0.1623
4.8952,0.8628,-0.2212
5.0052,0.8057,-0.2953
4.824,0.7817,0.4383
3.5978,-0.2654,0.9546
-2.3259,-1.9351,2.4082
-4.3407,-1.7983,1.9561
-8.2388,-0.7791,0.7003
-11.7037,2.0841,1.2973
-9.1022,2.0204,1.3239
-8.0363,1.9154,1.1186
-4.2384,1.4986,0.1391
-0.2069,-1.3217,0.3529
7.8504,-7.7665,2.6917
5.2221,-4.6487,-0.2683
5.0839,-4.1738,-0.2471
3.864,-1.1678,0.8032
2.441,0.935,0.444
1.6014,1.1948,-1.1074
0.8521,1.2656,-1.9074
0.8521,1.2656,-1.9074
0.4025,0.5134,-1.9227
0.161,-0.3972,-1.287
0.0029,-1.3956,-0.6809
-0.7516,-0.2167,-0.673
-0.7516,-0.2167,-0.673
-0.672,-0.0939,-0.8842
-0.1204,0.1512,-1.232
0.4056,-0.1561,-1.103
1.5475,0.2545,1.8282
1.5475,0.2545,1.8282
2.2477,0.0029,2.8525
1.3599,-0.4848,1.54
-0.5586,-0.6409,-0.1569
-1.9097,0.3863,-0.0708
-1.9097,0.3863,-0.0708
-1.9795,0.7571,0.3778
-1.5082,0.7904,0.6966
-0.4893,0.1438,-0.2177
-0.0922,0.1388,0.0938
-0.0997,0.1838,0.3433
-0.3186,0.2195,0.6953
-0.6081,0.0863,0.6019
-0.4577,-0.376,-0.0189
-0.7803,-0.6176,-0.3986
-0.7803,-0.6176,-0.3986
-0.6946,-0.7734,-0.6597
-0.6181,-0.3192,-0.8509
-1.302,-0.4618,-0.5836
-3.0068,-0.7622,0.1118
-3.1023,-0.663,0.199
-4.0761,0.2463,-0.0149
-5.2375,0.1792,-0.2276
-5.4291,-0.8893,1.1054
-5.3845,-1.177,1.9027
-5.1351,-0.6883,1.9341
-4.4276,0.3503,0.9976
-3.262,1.2254,-1.2481
-1.147,-0.3585,-1.4743
3.0033,-5.4625,-1.6465
4.958,-5.7624,-1.056
6.8101,-4.1631,0.2041
5.2588,-1.1324,0.9643
2.385,-0.1581,0.383
1.2164,-0.888,-0.9967
0.9845,-1.0093,-0.7693
0.1096,-0.6887,0.9527
0.4534,-0.1289,1.226
1.3675,0.0548,0.3521
2.0823,-0.0717,0.1618
2.1529,-0.0693,0.0203
2.4426,0.0221,-0.025
3.1231,0.0504,0.2147
4.3033,0.1862,0.0751
5.4871,0.4939,0.2811
5.489,0.6404,0.4328
4.9596,0.9331,0.3603
3.6375,1.2992,0.4353
1.2685,1.0914,0.3858
-3.09,0.1602,-0.1637
-3.9251,0.2319,-0.1848
-4.7002,1.0958,-0.0003
-4.2161,1.9808,0.2972
-3.077,2.2717,0.624
-1.3684,1.0257,0.5612
-0.9085,0.8694,0.6225
0.7541,0.147,0.9799
1.4017,-0.2395,1.4664
2.037,-0.2413,1.5718
2.9735,-0.3123,-0.5917
2.927,-0.3176,-1.1004
2.928,-0.008,-2.1376
2.3092,0.1008,-3.168
1.5479,-0.8188,-2.4734
-0.6652,-5.8259,8.221
-0.8232,-5.1813,1.8227
-1.5632,-3.7944,-3.1014
-0.939,-1.1107,-1.295
-0.5779,1.7418,-0.7676
-0.7352,1.096,-1.613
0.012,0.4185,-1.6748
0.5139,-0.2555,-1.967
-0.4908,-1.9604,-2.2952
0.1006,-4.0622,-0.8295
1.7138,-6.1223,3.5905
1.5166,-4.5741,1.6177
2.1902,-1.3135,0.201
-0.2769,-1.3353,-0.5133
-1.0409,-1.4759,-0.79
-0.643,1.1119,0.5566
-1.2158,1.7313,1.8271
-2.6402,2.473,3.1209
-1.6391,2.4246,0.7714
0.1091,1.0952,-1.3031
1.0873,0.3529,1.0663
1.0821,0.1116,2.9239
0.4247,0.0369,3.6831
-0.5411,1.1608,2.266
-0.7524,2.3487,0.2427
-0.7628,0.8499,-0.6327
-0.7818,0.4788,-0.7765
-0.298,-0.3174,-1.6828
0.5977,0.1166,-3.0752
0.67,0.7636,-2.9499
-3.2531,-0.1985,1.7738
-4.4086,-0.4842,2.6182
-6.2012,0.1132,2.8101
-5.62,1.937,3.1483
-4.3922,2.4535,3.5292
-4.0232,-3.8234,-1.439
-3.5535,-4.7858,-2.1349
-0.097,-5.3097,-3.5759
3.8679,-5.1711,-4.1287
5.1414,-2.7767,-1.5881
4.9316,-2.5013,-1.5905
2.9827,-1.9918,-1.3451
-0.8867,-4.0365,1.5521
-2.2876,-2.2846,1.2666
1.9275,0.7307,1.0838
2.2342,0.8275,1.0846
3.5747,1.1657,0.7083
4.6049,0.7461,0.33
4.5077,-0.0523,0.4424
4.0203,0.0376,0.4364
3.928,0.4423,-0.0707
4.0134,1.1399,-0.9724
3.8369,1.3287,-0.8947
3.479,0.7093,-0.7812
1.5183,-0.5116,-0.1857
1.5183,-0.5116,-0.1857
-0.2771,-0.4527,0.9856
-2.3063,-0.1537,1.4675
-5.1443,-0.1339,1.7902
-6.0109,2.8648,1.5922
-5.6362,3.2849,1.5932
-3.9082,3.5232,1.4471
-2.5579,2.4076,1.532
-0.7565,0.6704,1.1225
0.9521,-0.5828,-0.2297
1.409,-0.6734,-0.7985
1.4447,-0.4384,-2.229
0.8497,-0.4003,-3.2038
1.1483,-0.3704,-1.8242
-0.88,-4.7963,2.4883
-0.88,-4.7963,2.4883
-1.9962,-4.2488,-0.1112
0.2234,-0.167,-0.2552
-1.416,1.5059,0.1592
-1.6759,-3.9367,-1.8326
-1.6759,-3.9367,-1.8326
0.354,-3.4516,-2.5827
2.4342,-1.4396,-2.4493
4.0763,-4.0104,2.1943
-0.1626,-2.5643,0.5361
-0.3898,-1.8499,0.5773
-1.3083,0.7287,0.5247
-2.5643,1.7327,0.1485
-1.9032,1.9306,0.1953
