ax (m/s^2),ay (m/s^2),az (m/s^2)
-2.6607,-7.574,-0.4811
-0.6533,-0.5715,-0.3034
1.069,-0.1547,-0.9143
3.9341,0.6025,-0.4383
4.0832,1.1897,0.0972
1.8619,0.5482,-0.3155
-0.6453,-2.6405,0.4225
-0.1442,-2.5896,0.2084
0.5345,-1.4826,0.117
0.8796,0.1097,-0.1295
1.8223,1.1285,-0.7952
2.4777,1.1963,-1.1372
1.9319,1.0731,-0.8012
-0.2483,0.9577,-0.3796
-2.2144,0.6239,0.7466
-4.786,0.4064,1.9147
-6.4292,0.7987,0.9182
-4.908,3.0548,-1.0305
-3.2914,3.5277,-1.3516
-1.5088,3.1955,-1.0103
-0.204,1.7916,-0.2135
0.2141,-0.0306,0.7344
0.5254,-1.1212,0.6858
0.293,-0.9161,0.0833
0.0948,-0.7319,0.1011
0.2976,-0.3986,-0.1017
0.0753,-0.5573,-0.9089
0.2996,-2.3928,-1.0037
0.1042,-3.7325,-0.7008
-0.0414,-3.8171,-1.1246
-0.5972,-3.0401,-0.864
-2.4968,-3.3742,-0.4918
-5.4081,-4.926,1.2994
-5.1201,-3.548,1.4759
-5.277,-2.1231,1.8339
-4.997,0.0375,1.6885
-4.0511,1.6472,1.5863
-3.5988,-1.0496,-0.6105
-2.8172,-2.53,-1.2203
-1.4993,-3.0887,-1.5667
0.2109,-2.8342,-1.6375
0.1983,-2.1354,0.4367
-2.8999,-1.7155,4.6765
-0.2874,-2.3463,0.4832
1.923,-2.656,-0.897
2.6489,-2.9433,-0.9598
3.04,-2.7212,-1.2242
3.5932,-2.121,-1.2685
5.3014,-1.2564,-0.6784
6.7408,0.137,-1.0786
7.0977,1.2989,-1.1623
6.3445,2.4455,-0.9646
6.0416,3.262,-1.0873
5.7913,3.2133,-1.1038
5.4476,2.2618,-1.0684
4.9085,1.7738,-1.214
4.1219,1.8722,-2.0355
3.3998,2.2915,-2.405
2.6277,2.343,-2.0606
2.2466,1.0104,-2.0444
1.7717,-0.3537,-2.6044
-0.2217,-0.8868,-2.3081
-1.5872,-2.8828,-0.9613
-6.6211,-12.4024,-1.8108
-10.1519,-14.2504,-1.3059
-7.2091,-9.0329,3.3781
-2.5053,-0.7177,2.5653
0.4583,1.5359,2.5286
4.0297,1.4381,1.5754
5.74,0.9025,0.3337
5.3439,-1.3029,-0.4697
4.3139,-1.8619,0.8395
1.0219,-2.2544,1.1808
-1.426,-0.5336,-0.8171
-1.8898,-0.1498,-1.0486
-3.407,0.4016,0.4055
-4.3077,2.2053,1.1942
-4.1155,3.6596,0.1606
-3.7787,4.7739,-0.5501
-3.2205,4.6081,0.0869
-2.5042,4.0153,0.8529
-1.8233,2.4733,0.2102
-0.5933,0.6223,-0.7006
1.8659,-0.8094,-0.1381
3.2666,-0.7966,2.1225
1.6595,-0.6413,1.6082
-0.7436,-0.8863,1.1587
-2.6261,-1.9656,-0.0802
-2.6937,-1.6455,-1.7594
-2.0635,-2.0215,-0.973
-3.1831,-4.2989,-0.2026
-3.9064,-5.3624,0.0424
-4.5153,-5.0649,1.2217
-5.4221,-2.1122,2.0664
-5.8586,0.6982,2.0122
-6.0956,2.0574,2.0162
-5.8757,1.9331,1.7568
-6.0485,-1.896,0.4278
-2.419,-4.8152,-2.0646
0.4173,-3.7202,-3.4104
1.4665,-1.8574,-2.7774
1.4375,-0.5078,-2.0225
-1.7373,1.3817,7.1977
-2.7251,-0.6062,4.1759
-0.7949,-2.1327,-1.2865
-0.2947,-2.7659,-2.1685
0.1075,-2.799,-2.0225
1.5054,-2.9362,-1.5073
4.3107,-1.9644,-1.1112
7.9823,-0.6162,-1.2528
7.0504,0.5622,-0.659
7.0504,0.5622,-0.659
6.1551,1.4715,-0.6491
5.3223,1.9987,-0.6918
4.6576,1.7663,-0.5541
4.2525,1.2665,-0.871
4.0612,1.8059,-1.36
4.1547,2.7392,-1.7144
3.8272,3.4005,-2.1065
3.1886,2.8292,-2.1923
1.3771,0.7773,-2.4153
-0.3725,-0.9478,-3.8587
-0.5622,-2.1798,-3.9332
-4.4639,-8.0273,-0.6358
-9.1071,-12.7807,-1.574
-5.774,-3.5652,3.0932
-2.9131,0.1888,3.1001
-0.5347,0.6702,2.4173
2.8236,0.4327,1.3169
5.0524,0.7648,-0.0095
5.8993,0.7666,-0.7424
4.5935,-0.5771,-0.3648
3.4584,-0.9279,-0.3279
1.3248,-1.3985,-1.2421
-1.0047,-2.0039,-2.4088
-2.7944,-1.5898,-1.5451
-4.8802,0.2776,2.4715
-5.0372,1.3893,2.1551
-4.6549,3.5037,-0.1491
-4.0378,4.3883,-1.1611
-2.8831,3.9699,1.3806
-2.5748,2.6689,2.6329
-2.4301,1.727,1.6072
-1.007,0.9761,-1.1039
1.1099,1.0822,-2.2322
1.6018,-0.1138,1.7854
0.8872,-0.8721,-0.0826
0.8397,-0.8287,-0.3696
-0.2365,-0.9706,0.4457
-1.7777,-2.0786,0.7469
-2.9759,-3.2319,-0.2695
-3.6036,-3.563,-0.352
-4.8545,-2.9746,-0.2878
-5.7541,-3.2526,-0.4001
-6.3011,-3.5402,-0.3397
-5.195,-2.8961,0.1948
-3.5414,-0.9673,1.1963
-2.9425,0.6356,1.4982
-3.0118,0.5061,1.3663
-3.6306,-2.8682,-0.0174
-1.7465,-3.0245,-1.088
-0.8164,-1.2601,-1.0876
-0.4021,-0.5502,-0.4498
-0.2273,-0.6217,0.6036
-0.9645,-1.2865,1.3461
-0.6368,-2.7565,1.5694
1.5885,-3.3524,-1.4875
2.4177,-2.9293,-1.7263
2.674,-2.4809,-1.5096
3.7521,-0.9114,-0.5778
5.7756,0.2528,0.0794
7.0932,0.9809,-0.4901
6.031,1.5249,0.0801
5.9224,1.6448,0.1567
5.543,1.9376,-0.4722
4.8492,1.7977,-0.6497
3.8065,0.5511,-1.4431
2.9498,0.1958,-2.2408
2.7714,0.18,-2.1325
1.7062,0.7907,-1.2922
0.6285,1.3169,-1.1536
-0.9063,0.3025,0.2183
-0.5232,0.2071,1.8244
1.2182,-0.2161,0.7099
2.7253,-2.0738,-0.7376
1.0908,-4.7773,-2.1539
-1.0479,-6.7191,-0.9219
-3.4658,-7.4617,0.8161
-1.8498,-1.9459,2.1593
-1.3894,-0.2971,1.9005
-0.372,0.5415,1.2933
1.4552,0.6092,1.1557
2.1075,-0.3927,0.0932
2.0175,-1.3917,-0.2642
0.8537,-2.1726,-0.6805
0.0664,-2.0124,-0.7908
-0.3082,-0.9109,-0.874
-0.7413,1.3911,-1.4946
-1.5101,2.0105,-2.0535
-1.9615,2.0258,-1.776
-2.3477,2.3227,-1.0445
-1.3837,2.7633,0.1393
-0.9615,1.8284,0.1678
-0.7058,1.329,0.5751
-0.2137,1.2477,1.009
0.6282,1.1258,1.9016
1.1789,0.8461,1.4083
0.9402,0.7128,-0.321
0.4032,0.8895,0.499
0.176,0.5614,0.5504
-0.4319,-0.6938,-0.0566
-1.4887,-1.7698,0.124
-1.8135,-1.8436,0.7675
-2.0857,-4.045,-0.225
-2.0878,-4.2341,-0.2973
-2.3834,-4.5417,-0.179
-3.5924,-3.6506,-0.4039
-6.4259,-2.1596,-0.6022
-6.295,-0.7388,0.3668
-6.1654,-0.5979,0.4373
-4.7476,-0.4561,1.0978
-2.6534,-1.69,2.1205
-1.0056,-2.9423,1.8891
-0.8975,-2.1608,0.335
