time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002268,0.3131,0.1724,-0.7162,0.800
0.016373,0.4600,-1.5111,-0.5401,1.669
0.040462,0.2216,0.2881,0.4708,0.595
0.060062,0.8147,-0.4885,-0.4520,1.052
0.072347,0.1875,0.0192,-0.8900,0.910
0.092632,0.2989,-0.1241,-0.7931,0.857
0.115788,-0.0510,-0.9344,-1.2323,1.547
0.132944,-1.3929,-1.8377,-2.4401,3.357
0.153785,-1.1263,-2.0950,-2.8853,3.739
0.173917,0.0292,-2.9501,-3.1021,4.281
0.194108,1.4885,-2.0181,-0.3793,2.536
0.224483,0.0083,0.3377,2.5363,2.559
0.234270,-0.4002,0.7141,1.5065,1.715
0.254639,0.0320,1.3173,-0.6561,1.472
0.275096,0.8379,1.8573,-0.7243,2.163
0.294992,1.1257,0.1337,0.3815,1.196
0.324345,0.5923,-1.1742,0.9276,1.609
0.336563,0.1988,-0.7741,0.8736,1.184
0.355505,0.0810,-0.3234,0.2683,0.428
0.375982,-0.0117,0.1642,-1.0116,1.025
0.396158,0.0207,0.8673,0.6232,1.068
0.421312,0.5201,0.7665,1.5744,1.827
0.436184,0.3546,0.3668,1.1348,1.244
0.456454,0.1255,0.1342,1.3573,1.370
0.476928,0.1568,-0.2875,2.4846,2.506
0.497224,-0.2960,0.4478,2.8243,2.875
0.526121,0.3807,0.8888,1.3397,1.652
0.537052,0.3527,0.6029,0.6004,0.921
0.557819,-0.1213,-0.0213,-0.1915,0.228
0.577559,-1.1334,0.0914,-0.7004,1.335
0.598403,-1.1865,0.7702,-2.0530,2.493
0.626283,-1.0997,0.4697,-0.0868,1.199
0.638459,-0.8729,-0.2859,1.2108,1.520
0.659152,0.1665,-1.0429,2.2636,2.498
0.678820,-0.3705,-0.6172,1.1547,1.361
0.699029,-0.2965,0.0218,-0.1708,0.343
0.719145,0.4543,-0.1075,0.3723,0.597
0.740120,0.7655,-0.2032,0.4084,0.891
0.759763,0.1182,0.0697,0.9742,0.984
0.780049,-0.5390,0.2217,1.1697,1.307
0.800097,-0.8192,0.0385,0.2142,0.848
0.821124,-0.3411,-0.0156,-0.6372,0.723
0.840919,0.2849,-0.0848,-0.3605,0.467
0.860842,0.0897,-0.3672,1.1946,1.253
0.880992,-0.1645,-0.2647,0.8501,0.905
0.901090,-0.4849,-0.1324,0.0951,0.512
0.921514,-0.1609,-0.0959,-0.0183,0.188
0.941925,0.1172,-0.1771,0.2674,0.341
0.962098,0.1488,-0.1131,0.2028,0.276
0.982035,0.0971,0.0241,0.0767,0.126
1.002287,0.0485,0.0215,0.1597,0.168
1.022688,-0.0022,-0.1343,0.2902,0.320
1.042889,-0.0689,-0.1147,0.1766,0.222
1.062940,0.0146,-0.0453,0.2226,0.228
1.082635,-0.0060,-0.0348,0.2141,0.217
1.103036,0.0235,-0.0252,0.1847,0.188
1.127674,0.0693,-0.0909,0.2243,0.252
1.144020,0.0554,-0.0527,0.1349,0.155
1.164195,0.0042,-0.0593,0.1227,0.136
1.184111,-0.0768,-0.0627,0.1428,0.174
1.204711,-0.0660,-0.0146,0.2134,0.224
1.227068,-0.0309,-0.0757,0.1406,0.163
1.244932,-0.0720,-0.1448,0.1815,0.243
1.264803,-0.0851,-0.0943,0.2255,0.259
1.284927,-0.0166,-0.0641,0.1692,0.182
1.305088,-0.0108,-0.0465,0.1962,0.202
1.332102,0.0366,-0.0624,0.1778,0.192
1.345083,0.0523,-0.0736,0.1369,0.164
1.365778,0.0033,-0.0522,0.1778,0.185
1.385971,0.0835,-0.0258,0.1860,0.205
1.405965,0.0925,-0.0496,0.1732,0.203
1.430675,0.0703,-0.0674,0.1018,0.141
1.447127,0.0794,-0.0443,0.1054,0.139
1.466740,0.0118,0.0041,0.1521,0.153
1.486901,-0.0182,-0.0313,0.2284,0.231
1.506973,0.0354,-0.0057,0.2500,0.253
1.532894,0.0328,0.0128,0.2224,0.225
1.548025,0.0095,-0.0161,0.2151,0.216
1.567686,-0.0727,-0.0921,0.1813,0.216
1.587887,-0.0414,-0.1020,0.1685,0.201
1.608087,-0.0535,0.0073,0.2004,0.208
1.638261,-0.1042,-0.0066,0.2400,0.262
1.648320,-0.0908,-0.0519,0.3520,0.367
1.669022,-0.1508,-0.0431,0.2356,0.283
1.689218,-0.1014,-0.0298,0.1730,0.203
1.709429,-0.1374,-0.0687,0.2729,0.313
1.729459,-0.0397,-0.1350,0.1921,0.238
1.750362,0.1363,-0.1078,0.1388,0.222
1.770371,0.1630,-0.0639,0.1079,0.206
1.790417,0.2191,0.0058,0.2027,0.299
1.810695,0.0533,0.0674,0.2322,0.248
1.831476,0.0329,0.0668,0.2285,0.240
1.851060,0.0610,-0.0425,0.1651,0.181
1.871309,0.1077,-0.0819,0.0815,0.158
1.891628,0.0582,-0.1047,0.1623,0.202
1.919392,-0.0199,0.0620,0.2048,0.215
1.931872,-0.0460,-0.0268,0.2426,0.248
1.952520,-0.1176,-0.1018,0.1979,0.252
1.972522,-0.1673,-0.1026,0.1709,0.260
1.992732,-0.1813,-0.0507,0.2514,0.314
2.019269,-0.0124,-0.0372,0.2310,0.234
2.032828,0.0178,-0.0100,0.1749,0.176
2.053196,0.0644,-0.0493,0.1031,0.131
2.073471,0.0629,-0.1126,0.1269,0.181
2.093668,0.0257,-0.0821,0.2760,0.289
2.127318,0.0968,0.0638,0.2956,0.318
2.139442,0.0698,0.0492,0.1531,0.175
2.154896,0.0313,0.0020,0.0930,0.098
2.175207,-0.1304,-0.0657,0.3203,0.352
2.194502,-0.1931,-0.0510,0.4032,0.450
2.225847,0.0947,-0.1486,0.1807,0.252
2.236205,0.0632,-0.1180,0.1585,0.208
2.255376,-0.1429,-0.0921,0.7298,0.749
2.276238,-0.7009,0.0397,1.1326,1.333
2.296139,-0.7008,0.1249,0.4122,0.823
2.331375,0.5955,-0.1888,-0.7285,0.960
2.340588,0.7325,-0.1983,-0.4731,0.894
2.357037,0.6732,-0.0859,0.2001,0.708
2.376718,0.3764,0.3521,0.5364,0.744
2.397046,-0.0527,0.3389,0.3459,0.487
2.423404,-0.1203,-0.1142,0.1271,0.209
2.438087,-0.1361,-0.1792,0.0707,0.236
2.457622,-0.1227,-0.1704,0.1072,0.236
2.479017,-0.0207,-0.1229,0.1764,0.216
2.498318,0.0688,-0.0267,0.1927,0.206
2.524192,0.0279,0.0055,0.2367,0.238
2.538371,-0.0305,-0.0538,0.3035,0.310
2.558490,-0.0900,-0.0756,0.2076,0.239
2.579437,0.0142,-0.0816,0.0936,0.125
2.599391,0.1177,0.0301,0.1696,0.209
2.626310,0.2483,-0.0649,0.3170,0.408
