time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007141,0.2930,-0.0755,-0.1338,0.331
0.036953,0.4226,-0.0752,0.3265,0.539
0.047976,0.2695,-0.0694,0.4202,0.504
0.074005,0.0979,-0.2241,0.1156,0.271
0.086392,0.0973,-0.2516,-0.2806,0.389
0.105874,-0.1269,-0.3983,-0.5933,0.726
0.125959,-0.0356,-0.4583,-0.6806,0.821
0.148461,0.3371,-0.2928,0.1815,0.482
0.172944,0.8009,-1.0281,-0.1080,1.308
0.186543,1.0167,-1.0205,0.1007,1.444
0.206909,1.0144,-0.6386,-0.2154,1.218
0.227108,0.5120,-0.5780,-0.5946,0.975
0.246990,0.5113,-0.5365,-1.2172,1.425
0.278652,1.3412,-0.9471,-1.6631,2.337
0.287708,1.4379,-1.0575,-1.6281,2.416
0.308118,0.4008,-1.1687,-0.9471,1.557
0.328205,0.0668,-1.1758,-0.3882,1.240
0.348303,0.2873,-1.2911,-0.6921,1.493
0.377171,-1.0410,-1.5434,-0.8648,2.053
0.388963,0.0877,-0.7320,-0.9678,1.217
0.410305,0.6621,-2.0999,-1.2573,2.535
0.429840,0.3781,-1.5840,0.3696,1.670
0.449858,-0.4471,-1.0613,1.0852,1.582
0.471784,0.5399,-0.5968,-0.1650,0.822
0.490829,0.0114,-1.3871,-0.0447,1.388
0.511102,-0.4404,-0.5908,1.4304,1.609
0.530909,-1.0113,-1.0231,1.5500,2.115
0.551239,0.4204,-0.7037,1.7818,1.961
0.574898,-0.8353,-0.7769,3.0518,3.258
0.591323,-2.0946,-0.9786,0.0984,2.314
0.611536,-0.6637,-1.6747,0.1917,1.812
0.632311,-0.8493,-0.8558,0.0261,1.206
0.652036,-2.6133,-0.0971,0.2463,2.627
0.672149,-2.0699,-0.0883,-0.3334,2.098
0.692825,-1.0366,-0.5307,0.9172,1.482
0.712901,0.1620,-1.1979,3.5925,3.790
0.732817,-0.3323,-0.2016,1.2768,1.335
0.752926,0.3701,0.0204,0.4483,0.582
0.775067,1.2802,-0.1315,-2.2264,2.572
0.794004,0.1175,0.3019,0.8532,0.913
0.813689,-1.5314,0.9286,0.0731,1.792
0.833992,1.2356,1.9651,-0.3653,2.350
0.854050,1.4266,0.8502,-1.7390,2.405
0.874636,2.0748,3.0328,-1.9200,4.146
0.895051,-0.2550,1.3281,-2.2896,2.659
0.914533,-0.6500,2.7436,-3.1848,4.254
0.934695,-0.2440,4.0521,-4.6191,6.149
0.954990,0.0585,2.5033,-4.8668,5.473
0.974787,0.3884,0.6022,-2.2004,2.314
0.996213,1.0830,-0.6709,-0.6114,1.413
1.015674,0.3157,-1.6792,-0.0613,1.710
1.036002,0.1808,-2.7028,0.3602,2.733
1.056570,0.9738,-2.7435,0.7039,2.995
1.085423,3.4949,-2.2053,-0.0347,4.133
1.096140,3.7225,-2.3814,0.0593,4.419
1.117067,3.2065,-2.8551,0.5353,4.327
1.137361,3.1209,-3.6816,1.5810,5.079
1.157494,4.2082,-2.7975,1.1445,5.181
1.182793,4.6314,-2.1238,0.4349,5.114
1.197727,4.7693,-1.7280,0.4359,5.091
1.218964,4.3111,-1.8681,0.8945,4.783
1.238681,4.0656,-1.3351,0.7506,4.345
1.258691,3.8374,-1.0015,0.8467,4.055
1.285609,3.3806,-0.2886,0.6992,3.464
1.298689,3.1390,0.1118,0.7882,3.238
1.320102,2.3373,0.3278,0.5831,2.431
1.339552,1.6359,0.6679,0.8060,1.942
1.359816,1.3636,0.3042,1.4728,2.030
1.382693,1.5621,0.3127,1.4691,2.167
1.400816,1.2148,0.2495,1.1811,1.713
1.420534,0.5809,0.3232,1.4305,1.577
1.440504,0.3333,0.2435,1.7405,1.789
1.460869,0.4187,0.2669,1.8742,1.939
1.485214,0.1747,0.3684,1.6615,1.711
1.501453,-0.2229,0.4158,1.7911,1.852
1.521938,-0.4327,0.3747,1.8212,1.909
1.541514,-0.3332,0.6124,1.3989,1.563
1.561645,-0.2250,0.8059,0.7675,1.135
1.585330,-0.0757,0.8033,-0.1799,0.827
1.602028,0.0411,0.7411,-0.2985,0.800
1.622392,-0.1945,0.1715,-0.3805,0.460
1.642994,-0.1867,-0.2104,-0.7167,0.770
1.662508,-0.0635,-0.9917,-0.5304,1.126
1.687393,-0.2068,-1.8448,0.2476,1.873
1.702994,0.0508,-1.9459,0.3938,1.986
1.723374,0.4020,-1.7132,0.2738,1.781
1.744351,0.6058,-1.4726,0.1701,1.601
1.763806,0.7888,-1.4034,0.1096,1.614
1.786919,0.5158,-1.3897,-0.1422,1.489
1.804871,0.6472,-0.8795,-0.9958,1.478
1.824661,0.7430,-1.6515,0.4397,1.864
1.845434,0.8711,-1.2311,0.5442,1.603
1.864918,0.6759,-0.5466,0.2331,0.900
1.887748,0.7085,-0.9889,0.9060,1.517
1.906210,0.3886,-1.7409,0.9149,2.005
1.926003,0.2466,-2.2552,0.8417,2.420
1.946467,0.6522,-0.5749,0.9560,1.292
1.966180,0.2872,-0.8583,0.5537,1.061
1.998014,0.3792,-1.6289,-0.8537,1.878
2.010048,0.5106,-1.8914,-0.6105,2.052
2.027437,0.1696,-2.0887,-0.0496,2.096
2.047671,-0.3007,-0.8127,0.0680,0.869
2.067752,-1.3012,0.4988,-1.1392,1.800
2.092636,-3.1793,1.8355,-2.0628,4.211
2.108053,-3.3738,2.5259,-2.1139,4.715
2.128619,-3.1475,3.7787,-1.5600,5.159
2.148103,-2.3553,2.7917,-0.4558,3.681
2.183468,-0.4430,0.1602,1.3005,1.383
2.192861,-1.5655,1.0605,-1.5784,2.463
2.209460,-0.5752,1.7559,-1.0136,2.107
2.229520,1.7117,1.1326,-0.3278,2.078
2.250240,3.1025,1.3524,-2.1881,4.030
2.283979,4.8137,1.1275,-2.6449,5.607
2.289994,5.4770,0.5863,-2.5546,6.072
2.310518,3.8228,-0.6836,-0.4935,3.915
2.330654,-2.3428,-0.3803,-2.7049,3.599
2.350526,-4.2352,-1.6211,3.8518,5.950
2.385616,-3.0882,1.4358,2.2214,4.066
2.395816,-2.7097,-1.3430,1.6381,3.439
2.411001,0.5658,-0.7356,2.0295,2.232
2.431645,3.3410,1.3205,0.2791,3.603
2.452246,0.2399,0.7381,-1.5916,1.771
2.484301,2.6907,3.5296,-2.6366,5.162
2.496796,0.2605,1.4349,-1.0673,1.807
2.512745,-0.4491,-0.3230,-0.4045,0.685
2.532583,1.0579,-2.8112,1.0318,3.176
2.553678,0.7756,-4.6500,2.3044,5.247
2.584085,-2.0328,-6.2013,1.7509,6.757
2.596564,-2.5869,-5.6712,1.1310,6.335
2.614082,-3.2066,-3.2896,0.6632,4.641
2.634312,-4.2864,-0.5442,0.3406,4.334
2.653972,-4.2791,3.3173,-3.4013,6.394
2.686228,1.2366,9.3472,-3.3558,10.008
2.696106,5.3589,8.1063,-0.1678,9.719
2.715826,11.3549,1.4675,7.1675,13.508
2.735406,2.5125,-0.8531,0.8771,2.795
2.755854,1.4705,-1.2678,0.4950,2.004
2.785090,1.2433,-0.6919,1.2297,1.881
2.796187,0.4119,0.1101,1.3448,1.411
2.816976,-0.3168,0.9701,0.5028,1.138
2.836293,3.9219,-3.5186,-0.8552,5.338
2.859063,1.8828,2.0999,-0.1721,2.826
2.882119,3.0469,2.7614,0.6381,4.161
2.896750,0.2066,3.5263,-0.2588,3.542
2.917664,-0.1719,2.4083,-1.1872,2.691
2.937661,-2.0368,2.0345,-0.6267,2.946
2.957519,-1.8835,0.6237,-0.2460,1.999
2.985588,-2.2750,0.0086,-1.5160,2.734
2.997872,-2.3052,-0.2010,-1.8178,2.943
3.018517,-1.5926,-0.2571,-1.1625,1.988
3.038571,-1.7936,-0.5896,0.2138,1.900
3.058998,-1.6217,-0.9351,-0.4209,1.919
3.086483,0.1328,-1.3592,0.1100,1.370
3.101584,0.5194,-1.2346,-0.9031,1.615
3.119612,1.4903,-1.3057,-1.3018,2.371
3.139232,0.4637,-1.4826,-0.2230,1.569
3.159754,-0.2347,-1.3845,-0.2102,1.420
3.185101,-0.8710,-1.6204,-0.4398,1.892
3.200333,-1.0453,-1.8023,-0.2708,2.101
3.220502,-0.7027,-1.8867,0.3938,2.051
3.240348,-1.0624,-2.2327,-0.3492,2.497
3.260895,-0.5699,-2.3182,-0.3385,2.411
3.286991,0.0774,-2.2178,0.0345,2.219
3.300857,0.3343,-1.9680,0.3779,2.032
3.321751,0.4629,-1.9569,0.4183,2.054
3.341585,0.5609,-2.2948,0.3170,2.384
3.361991,0.6288,-2.9233,0.0439,2.991
3.383108,0.9247,-3.7181,-0.1128,3.833
3.403036,1.2988,-3.9238,0.1983,4.138
3.422657,1.3141,-2.9050,0.6993,3.264
3.442740,0.6942,-1.3027,1.2782,1.953
3.463097,0.4547,-1.2421,0.7177,1.505
3.483123,0.1476,-2.3080,-0.0117,2.313
3.504064,-0.2185,-2.4326,0.4709,2.487
3.524534,-0.4355,-0.9371,1.6401,1.938
3.543882,-0.2749,1.0160,1.9155,2.186
3.564136,0.2870,2.8634,1.8040,3.396
3.591551,1.3387,4.1142,0.1342,4.329
3.604606,0.0011,3.4398,-1.5331,3.766
3.624695,-1.4715,4.2114,-0.7328,4.521
3.644953,0.3092,4.8749,1.8704,5.231
3.665292,1.2421,0.7886,-2.5603,2.953
3.690976,0.0958,-2.0853,-1.2355,2.426
3.706254,1.6165,-0.8038,-0.6659,1.924
3.725871,1.6606,5.2420,1.6955,5.754
3.746045,4.0204,5.9553,-1.7123,7.387
3.766193,3.9463,0.1619,-1.5137,4.230
3.794470,0.4586,-4.2981,-1.4328,4.554
3.806515,-0.2577,-4.3449,-2.1905,4.873
3.827037,-0.8411,-2.7327,-1.7378,3.346
3.847367,-0.1842,0.6888,0.0509,0.715
3.867534,0.9999,1.0180,0.9598,1.720
3.894178,0.4731,-1.1097,2.5846,2.852
3.907555,0.8622,-1.7187,4.1022,4.530
3.929386,0.8085,-2.3262,3.2252,4.058
3.948989,-0.8987,-2.4845,1.0937,2.859
3.969245,-0.5115,-2.4003,0.0139,2.454
3.993771,0.6140,-2.5129,0.5513,2.645
4.009130,-0.8437,-2.5035,-0.4439,2.679
4.029487,-0.8379,-2.3946,-1.7711,3.094
4.050243,0.3253,-1.3984,-1.2718,1.918
4.070196,1.3177,-0.2752,-0.5208,1.443
4.093409,2.7214,-1.1607,-0.5899,3.017
4.110636,2.6989,-2.5843,-1.7434,4.123
4.130903,1.8580,-2.0895,-1.0569,2.989
4.151052,2.1381,2.2998,1.1625,3.348
4.171150,2.8752,6.1630,0.1130,6.802
4.193568,3.9384,7.4878,0.4336,8.471
4.212267,0.7751,6.2493,2.1933,6.668
4.232454,-2.2944,5.5892,1.7584,6.293
4.252483,-3.6143,7.1887,-0.1225,8.047
4.272618,-2.4961,5.5535,-1.6741,6.315
4.293823,-2.9458,0.9252,1.1761,3.304
4.313644,-3.2929,-1.5187,2.8318,4.601
4.333216,-3.5266,-2.4170,2.1088,4.767
4.353166,-3.4891,-1.6993,-0.0604,3.881
4.374125,-3.2911,-1.1471,-1.3504,3.738
4.401134,-3.5938,-1.3618,0.6487,3.898
4.413663,-3.8032,-1.9800,1.3364,4.491
4.434505,-4.3381,-3.0625,1.6993,5.575
4.454638,-5.2127,-3.9858,0.9479,6.630
4.479241,-5.8365,-4.7385,-0.2279,7.521
4.495983,-5.5300,-4.8249,-0.6601,7.369
4.515238,-2.5517,-3.3027,1.3764,4.395
4.535495,2.5214,-0.3840,1.4029,2.911
4.555641,4.8768,0.6782,-0.9292,5.011
4.593636,1.8855,-3.2404,0.2230,3.756
4.606762,1.2011,-3.5859,0.3539,3.798
4.617039,0.6420,-3.1507,0.4313,3.244
4.636434,0.2831,-1.0928,1.1571,1.617
4.657304,1.1444,2.2100,2.3796,3.443
4.692520,-0.0206,5.3972,0.8886,5.470
4.707096,-2.7595,3.8948,1.2763,4.941
4.722256,-4.2613,3.5971,2.7971,6.239
4.738579,-4.5080,4.1054,3.3204,6.943
4.758086,-3.4116,3.7297,-3.9969,6.444
4.790497,0.8578,4.2761,-1.0437,4.484
4.806453,2.7665,7.8129,0.2004,8.291
4.818885,2.7779,7.5478,-0.1551,8.044
4.838693,3.3343,1.9100,2.2364,4.446
4.858612,0.1857,-2.7917,-0.7566,2.898
4.894101,-0.9931,-2.3718,-2.5090,3.593
4.906603,-0.3427,-0.9432,-3.1288,3.286
4.921440,1.2054,1.1945,-2.6616,3.157
4.940770,2.7485,0.6312,-1.6942,3.290
4.959818,0.6560,-1.6565,-0.4345,1.834
4.992812,-1.5612,-2.3256,1.7133,3.284
5.006994,-1.0490,-0.6915,1.8157,2.208
5.021373,-0.6469,-0.1390,1.0749,1.262
5.041407,-0.5891,-0.9867,1.1080,1.596
5.061406,-0.1354,-2.4077,1.8337,3.029
5.089820,0.0112,-3.0588,2.6396,4.040
5.103912,0.3108,-2.5648,2.5271,3.614
5.121693,0.4480,-1.9379,1.7719,2.664
5.142459,-1.1750,-1.9495,0.6686,2.372
5.162322,-1.5578,-1.3882,-0.2741,2.105
5.194252,-0.2174,0.9169,-0.7557,1.208
5.204745,-0.5560,0.6738,-1.2691,1.541
5.223492,-0.1914,-0.5791,0.0894,0.616
5.243337,0.3891,-1.8578,-0.0048,1.898
5.263741,1.1204,-2.6997,-1.1767,3.151
5.293850,2.3495,-0.1942,-2.0743,3.140
5.304196,3.9044,1.3793,-1.0253,4.266
5.324904,6.4109,4.5962,1.7619,8.083
5.344426,4.8987,6.0427,2.3229,8.118
5.365134,0.4711,6.7016,1.8074,6.957
5.392128,-3.1508,6.7467,2.1464,7.749
5.405069,-4.7283,6.8856,0.7015,8.382
5.425871,-5.1177,7.1971,-2.0683,9.070
5.445886,-3.5982,3.5050,-1.2000,5.165
5.465510,-2.2000,-0.6561,1.9666,3.023
5.493640,-0.5105,-1.8291,3.4215,3.913
5.506024,-1.4014,-1.8606,2.3766,3.328
5.526564,-3.0043,-2.0687,0.1340,3.650
5.546393,-4.4528,-2.2678,-0.9359,5.084
5.567287,-5.3621,-2.7489,-0.9289,6.097
5.593233,-5.8810,-3.0541,1.3898,6.771
5.607678,-5.0495,-2.6042,2.0023,6.024
5.627364,-4.4850,-2.1017,2.0124,5.346
5.648454,-4.5120,-1.7809,1.3035,5.023
5.667686,-4.3659,-2.1440,0.5413,4.894
5.689546,-3.0795,-3.2796,-0.1838,4.503
5.708738,-0.0134,-4.0528,0.8471,4.140
5.728259,2.5521,-4.3408,2.1705,5.483
5.749631,3.4453,-2.7877,1.3331,4.628
5.769789,3.8194,-1.3378,0.0376,4.047
5.793754,2.6003,-0.0169,-0.9720,2.776
5.810240,1.9525,2.1122,-0.0939,2.878
5.830335,1.8235,4.1014,2.1129,4.961
5.850823,1.8339,4.8647,3.4565,6.243
5.870138,0.7998,4.6739,3.6231,5.968
5.892287,-0.7277,4.1319,1.6998,4.527
5.910764,-2.4934,2.8557,0.5117,3.825
5.931627,-2.5630,3.1507,1.5605,4.351
5.951787,-1.4908,3.1041,-2.5788,4.302
5.971385,-0.8513,4.7979,-1.3861,5.066
5.993578,3.0531,6.0624,1.6084,6.976
6.012746,1.4115,1.8203,0.0115,2.303
6.032373,-0.5963,-3.0276,0.5635,3.137
6.052802,-2.2341,-3.1828,-2.3145,4.525
6.073782,-1.7172,-1.6060,-3.1108,3.899
6.102428,-0.0833,2.5859,-3.3282,4.216
6.114222,0.5528,2.0238,-3.4928,4.074
6.133747,-1.0303,-0.5052,-1.5263,1.909
6.153600,-1.8520,-2.0000,0.5057,2.772
6.174095,-2.1766,-2.1103,1.9728,3.617
6.203935,-1.1403,-1.3229,0.9677,1.997
6.214960,-1.0803,-1.1189,0.7714,1.736
6.235002,-1.0211,-0.8554,1.0658,1.706
