time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003166,-0.0383,-0.5528,-0.3998,0.683
0.017155,0.2460,-0.6521,-0.5264,0.873
0.031395,0.3612,-0.0783,-0.3317,0.497
0.063375,0.5802,0.4940,-0.1706,0.781
0.086121,1.0588,0.7538,-0.1012,1.304
0.097154,1.1227,0.5985,-0.1441,1.280
0.112117,1.1061,0.5005,-0.2856,1.247
0.132902,0.9879,0.4436,-0.0156,1.083
0.167658,0.7610,-0.3617,-0.3954,0.931
0.173069,0.8324,-0.6326,-0.3847,1.114
0.201966,0.0608,-1.0583,-0.5508,1.195
0.213436,0.1665,-0.6008,-0.2333,0.666
0.233746,0.6372,-0.0571,-0.1239,0.652
0.266557,0.3904,0.0072,0.0800,0.399
0.273723,0.1638,0.8355,0.1263,0.861
0.295994,0.5765,-0.0890,0.0737,0.588
0.314117,0.4605,-0.6838,0.2009,0.849
0.334660,0.8908,-1.4814,-0.7370,1.879
0.365347,1.3415,-1.1543,-0.1927,1.780
0.375786,1.3591,-1.2944,-0.4463,1.929
0.396903,1.1363,-1.3401,-2.0533,2.702
0.415607,2.5479,-0.8492,-1.2425,2.959
0.435988,2.1169,-0.7894,-2.0354,3.041
0.462254,0.6658,-0.8071,0.6286,1.221
0.486608,3.6821,-1.8514,0.6482,4.172
0.496479,4.5654,-1.8180,-0.0474,4.914
0.516633,5.0336,-1.8808,-1.8330,5.678
0.536986,4.5853,-2.9782,-3.1033,6.287
0.562401,3.1683,-3.3291,-4.0069,6.097
0.584202,1.5534,-3.5416,-3.3068,5.088
0.597373,1.4019,-3.7787,-2.7892,4.901
0.617646,1.8925,-2.9804,-2.1046,4.110
0.637864,1.6006,-2.7874,-1.5076,3.550
0.663104,-0.7026,-2.9986,-0.0950,3.081
0.686597,-3.6436,-3.3509,0.5801,4.984
0.698941,-5.2088,-3.0925,0.0709,6.058
0.719094,-6.1401,-1.2474,-1.6529,6.480
0.739421,-6.5898,0.5534,-2.9026,7.222
0.761681,-6.3283,-1.1309,-1.0011,6.506
0.783725,-5.7822,-4.1768,2.4235,7.533
0.799719,-6.5509,-4.8885,3.0034,8.708
0.820065,-8.0993,-3.5399,2.2283,9.116
0.840355,-7.8046,-2.0852,1.5392,8.224
0.862146,-4.7160,-1.2692,0.6580,4.928
0.888514,-2.1123,-1.6662,-1.5888,3.124
0.901654,-2.3862,-2.0095,-2.2695,3.858
0.921104,-3.3716,-1.9149,-2.7931,4.779
0.941182,-3.5674,-1.4737,-1.3484,4.089
0.961459,-2.4274,-1.3070,0.4742,2.797
0.988947,-2.2415,-0.3971,2.0904,3.091
1.002442,-2.9749,-0.0487,2.2667,3.740
1.022750,-4.0335,0.2764,1.4171,4.284
1.042179,-4.2355,-0.2981,-0.0863,4.247
1.062238,-3.7312,-0.9062,-0.1908,3.844
1.087571,-1.8893,-0.2960,1.1815,2.248
1.103793,-1.4098,-0.0520,1.8204,2.303
1.123105,-0.4234,0.3649,2.3099,2.377
1.143192,0.1442,0.1969,2.4283,2.441
1.164090,0.0265,0.0220,1.6933,1.694
1.183470,-1.2896,0.0117,0.9705,1.614
1.203799,-1.4777,-1.2274,0.4595,1.975
1.223986,-0.4717,-1.0666,-0.6342,1.327
1.244173,0.4239,-0.6240,-1.4062,1.596
1.264220,0.9456,-1.3455,-1.1094,1.984
1.290983,1.3447,-1.5137,0.0602,2.026
1.304511,1.1629,-0.1574,1.1655,1.654
1.324950,1.5439,0.8756,5.8469,6.110
1.345282,1.2556,1.2365,3.7123,4.109
1.372435,1.6883,-0.2497,-0.0497,1.707
1.399943,3.9242,-0.3360,-1.4970,4.213
1.405862,3.9461,-0.1218,-1.5494,4.241
1.426155,3.5490,0.4849,-0.6442,3.639
1.446527,0.8260,0.8706,-0.1846,1.214
1.472033,-0.9598,0.5506,-1.9070,2.205
1.495325,-2.4651,0.3991,-2.1209,3.276
1.507436,-3.6379,0.6143,-1.2729,3.903
1.527359,-4.8954,2.0506,0.4115,5.323
1.547329,-4.6941,2.0362,2.7380,5.803
1.572049,-4.7488,0.6790,2.1789,5.269
1.597590,-4.9256,0.9093,1.1495,5.139
1.608729,-4.3697,0.6657,2.1511,4.916
1.628102,2.2683,-0.4319,5.3329,5.811
1.648352,1.8421,0.6950,3.5103,4.025
1.672442,3.4346,-0.4979,0.3361,3.487
1.700000,2.6285,-0.9121,-0.4385,2.817
1.712801,1.3104,-0.7058,-1.3593,2.016
1.728950,-0.1380,-0.1874,-1.1788,1.202
1.749948,-2.7182,1.7467,-0.0642,3.232
1.772271,-0.4268,-0.1868,1.0471,1.146
1.798711,-2.3603,1.0840,-2.1196,3.352
1.810566,-0.9266,1.6655,-2.6735,3.283
1.830430,1.4605,0.1745,-3.9553,4.220
1.850658,4.2587,-0.4767,-3.2655,5.388
1.875837,1.2927,-1.2631,1.5432,2.377
1.890704,1.4888,-2.0842,1.7553,3.105
1.911416,2.2775,0.0776,0.3874,2.312
1.932083,1.5758,3.2276,1.5155,3.898
1.952069,1.7134,0.8139,0.8120,2.063
1.972046,2.6620,-2.3613,-1.2880,3.784
1.993541,-3.1768,-2.9037,-1.1561,4.456
2.013093,-7.6725,-3.9916,-1.0380,8.711
2.032866,-2.7466,-2.0078,-0.9030,3.520
2.052746,-2.0647,-1.7371,-0.9547,2.862
2.076010,-2.1429,-0.4272,0.1630,2.191
2.101045,-0.2738,2.2366,0.7564,2.377
2.113756,-1.2708,2.1860,0.8001,2.652
2.134725,0.1824,2.7421,0.1363,2.752
2.155072,5.6118,2.6036,-0.5408,6.210
2.182975,2.5585,0.6898,-3.0193,4.017
2.213416,1.1779,2.2552,0.7711,2.659
2.223839,1.4834,1.8925,1.3278,2.747
2.235776,2.6625,2.0391,1.2970,3.596
2.255509,2.3787,0.4604,-0.0025,2.423
2.282302,1.9105,-1.2983,-0.5246,2.369
2.307649,-1.1483,-1.3824,-0.7119,1.933
2.316129,-2.6281,-1.6559,-2.0048,3.697
2.336919,-1.3060,-2.7027,-1.3983,3.311
2.356976,-7.1915,-3.1836,-1.5647,8.019
2.376200,-2.1072,0.4757,0.8820,2.333
2.399316,-0.4430,-0.6850,0.4033,0.910
2.417052,-0.6390,-2.7634,-1.0944,3.040
2.437592,-0.1648,-1.3900,0.3423,1.441
2.474304,-3.3195,-3.7692,-0.5236,5.050
2.497462,-1.6757,-0.4571,-0.5824,1.832
2.497942,-1.6757,-0.4571,-0.5824,1.832
2.518586,-4.5762,-1.3740,0.4274,4.797
2.538289,-5.1368,-3.0443,-4.2178,7.311
2.573203,-0.4562,2.3720,2.9378,3.803
2.590000,5.9457,2.6482,1.1163,6.604
2.602516,9.6035,3.0187,0.8388,10.102
2.618831,9.1790,3.0393,0.4209,9.678
2.639078,5.0653,2.9066,-0.0261,5.840
2.671065,0.3732,1.6998,1.1436,2.082
2.694714,1.8156,1.4650,-0.5743,2.403
2.702559,2.5510,1.9176,-0.2854,3.204
2.720755,3.3751,3.1537,1.0809,4.744
2.740339,5.2406,1.7624,0.5788,5.559
2.773415,-0.6335,-0.8849,-3.8118,3.964
2.787092,-1.3537,-1.0425,-2.6887,3.186
2.801039,-0.8987,-2.4211,-0.2540,2.595
2.820721,-2.5290,-5.2131,0.3123,5.803
2.841049,-2.5571,-5.3321,-0.8164,5.970
2.873153,0.0512,-0.9485,0.3271,1.005
2.889275,0.6136,-0.6288,0.4310,0.979
2.902122,0.0336,-1.1451,-0.0848,1.149
2.921872,-1.3604,-2.5092,-0.6995,2.939
2.942566,-3.4784,-3.2019,-1.4420,4.943
2.971310,-0.4531,-0.5456,0.6010,0.930
2.986484,0.2406,-0.9208,-0.2201,0.977
3.003028,0.3306,-0.7208,-0.5476,0.964
3.022887,-0.0224,-0.4907,-0.4719,0.681
3.043242,0.8103,1.3819,-0.5756,1.702
3.074788,0.2095,0.2299,-0.1377,0.340
3.093836,-0.0686,0.2578,-0.1864,0.325
3.104205,0.1393,0.4572,-0.1957,0.516
3.123588,0.9319,-0.4668,-0.5520,1.179
3.145302,0.7871,-1.5903,-0.5273,1.851
3.174630,-0.5425,0.4236,0.0101,0.688
3.187797,-0.2048,-0.1744,-0.4049,0.486
3.204327,-0.0738,-0.3666,-0.5651,0.678
3.224241,0.3463,0.0630,-0.5113,0.621
3.244984,0.0267,1.0413,-0.3937,1.114
3.271556,-0.1044,-0.3729,-0.4401,0.586
3.293431,0.2885,-0.4625,-0.4364,0.698
3.305582,0.3020,-0.1781,-0.2322,0.420
3.325660,-0.0300,0.2705,0.0696,0.281
3.345479,-0.2517,-0.2387,-0.2652,0.437
3.373595,0.0357,-0.2610,-0.3411,0.431
3.397120,0.2541,-0.1074,-0.0547,0.281
3.406390,0.4980,-0.3317,-0.0899,0.605
3.426712,0.7818,0.1928,-0.1917,0.828
3.446845,0.3085,0.2298,-0.2322,0.449
3.474308,0.2980,0.2402,-0.1495,0.411
3.486637,0.2429,0.0351,-0.2597,0.357
3.507757,0.3433,0.3062,-0.3891,0.603
3.527427,1.9034,2.1550,-0.2281,2.884
3.547537,0.3292,1.1182,-0.3635,1.221
3.570183,-1.1106,0.4842,-0.1839,1.225
3.604349,0.2970,-0.4231,-0.3248,0.610
3.611079,0.3548,-0.8190,-0.2510,0.927
3.628237,0.0242,0.1724,0.2468,0.302
3.648619,1.1015,1.2882,-0.1078,1.698
3.669669,-0.6662,-2.0818,-0.3683,2.217
3.695833,-1.2419,-1.8550,-0.1073,2.235
3.709906,-0.5224,-2.1434,-0.4993,2.262
3.730096,0.2699,0.0843,0.0381,0.285
3.749934,0.9165,0.6210,-0.1611,1.119
3.770431,0.5883,2.1489,-1.1092,2.489
3.801094,0.1261,-2.7578,-0.2070,2.768
3.812303,0.7283,-1.7881,-0.1631,1.938
3.830586,1.7840,2.9669,-2.1498,4.075
3.851100,-1.8049,-2.5074,-0.6131,3.150
3.871169,-1.8762,-4.1151,2.3549,5.099
3.897118,-0.0137,-2.1391,0.4159,2.179
3.912187,0.3220,-2.1905,-0.6454,2.306
3.931808,1.9289,-0.4229,-1.3407,2.387
3.951968,2.9921,-0.7690,0.4059,3.116
3.972633,3.1935,-1.5422,1.0435,3.697
3.999245,-0.5364,-3.4971,-1.1260,3.713
4.012673,-2.5158,-5.1948,-0.6661,5.810
4.033032,-3.4495,-2.5577,-0.0665,4.295
4.053176,-0.1308,0.0149,0.4024,0.423
4.081204,1.9046,-0.6051,-0.6637,2.106
4.115148,1.3079,-1.5748,0.8575,2.219
4.115509,1.3079,-1.5748,0.8575,2.219
4.133711,0.6047,-0.4043,-0.4724,0.867
4.154044,0.4124,0.9513,-1.3100,1.671
4.180486,-0.5575,2.3416,-0.3927,2.439
4.205514,-1.6383,1.4681,0.3766,2.232
4.215040,-1.4945,0.6166,0.4039,1.666
4.234745,-0.1392,-0.5128,-0.0377,0.533
4.255080,-0.0609,-0.5742,-0.8666,1.041
4.280427,0.0087,-0.0458,-0.5290,0.531
4.314309,0.0777,0.1809,0.0611,0.206
4.321464,0.0625,0.1569,0.0535,0.177
4.336227,-0.0350,0.0873,-0.2207,0.240
4.355850,-0.0773,-0.3762,-0.4600,0.599
4.380234,-0.1640,-0.5324,-0.1678,0.582
4.407442,-0.0254,-0.1864,0.0434,0.193
4.417479,0.0869,-0.0948,0.0014,0.129
4.436763,0.3462,0.0472,-0.1769,0.392
4.457045,0.2443,-0.1326,-0.3477,0.445
4.480505,-0.0570,-0.2835,-0.1679,0.334
4.510900,-0.0610,-0.1256,-0.0235,0.142
4.520941,-0.1936,0.0566,-0.0362,0.205
4.537565,0.2260,-0.0512,-0.0526,0.238
4.558529,0.3313,-0.2340,-0.2767,0.491
4.580607,0.1328,-0.1800,-0.2637,0.346
4.601697,0.1676,0.1145,-0.0269,0.205
4.618799,0.2002,0.0704,0.0903,0.231
4.638845,0.1886,0.0403,-0.0749,0.207
4.659130,0.2712,0.0021,-0.2223,0.351
4.680061,0.3633,0.1637,-0.2477,0.469
4.703200,0.3045,0.1353,-0.0448,0.336
4.719597,0.2359,0.0763,-0.0597,0.255
4.740358,0.1577,-0.0799,-0.0879,0.197
4.760839,0.0789,-0.1913,-0.1714,0.269
4.780330,-0.0200,-0.1671,-0.2374,0.291
4.801894,0.0457,-0.0499,-0.2215,0.232
4.820754,0.1948,0.0459,-0.0863,0.218
4.841741,0.3541,0.0490,-0.0255,0.358
4.861087,0.2716,-0.0596,-0.0335,0.280
4.884259,0.1095,-0.0871,-0.1515,0.206
4.908054,-0.0227,-0.0176,-0.1570,0.160
4.921928,0.0127,0.0000,-0.1257,0.126
4.942762,0.1142,-0.0824,-0.1078,0.177
4.962629,0.2354,-0.1873,-0.1117,0.321
