time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008648,-0.2023,0.1144,-0.3011,0.380
0.024833,0.4625,0.4936,-0.1755,0.699
0.034810,0.9867,0.4152,-0.2326,1.095
0.060494,0.2816,-0.0298,-0.2928,0.407
0.077847,-0.4178,-0.3844,-0.2665,0.627
0.084836,-0.4606,-0.5018,-0.3227,0.754
0.107657,-0.6939,-0.3915,-0.1179,0.805
0.144365,0.0648,0.4221,-0.7211,0.838
0.150277,0.1258,0.3254,-0.7728,0.848
0.164904,0.2069,0.1048,-0.8781,0.908
0.185086,0.2994,-0.4210,-0.4673,0.697
0.215570,-0.1415,-0.3145,0.4556,0.571
0.233722,0.1036,-0.1592,0.8252,0.847
0.246332,0.1366,-0.2362,1.1344,1.167
0.266114,-0.1232,-0.3598,0.8517,0.933
0.286742,-0.6931,0.2742,0.9204,1.184
0.315034,-0.9645,0.7163,0.7238,1.403
0.327350,-0.5177,0.4265,0.6760,0.952
0.348144,0.3726,-0.5035,0.2358,0.669
0.368234,-0.0223,-0.4021,0.2577,0.478
0.388676,-0.5270,-0.5783,0.4570,0.906
0.410840,0.2727,0.0355,-0.1670,0.322
0.437866,1.6011,-0.6771,0.4925,1.807
0.450305,1.7293,-0.7150,0.1986,1.882
0.469505,1.4969,0.0259,0.1152,1.502
0.489758,1.6094,0.7033,-0.0478,1.757
0.524510,0.1561,-0.3476,-1.1099,1.173
0.559387,-1.8283,-0.1778,-0.8114,2.008
0.560275,-1.6981,-0.3476,-0.7778,1.900
0.570684,-0.8077,-0.7093,-0.6890,1.277
0.590911,-0.0872,-0.0374,-0.9387,0.943
0.611402,-0.3326,0.3409,-0.4151,0.632
0.638100,-0.5184,-0.3896,0.3997,0.762
0.668112,-0.4111,0.1612,-0.0990,0.453
0.680273,-0.4041,-0.2439,-0.6790,0.827
0.691903,-0.0404,-0.1103,-0.9368,0.944
0.713268,0.2079,0.0988,-0.6034,0.646
0.739581,0.0277,0.2974,-0.6068,0.676
0.763137,-1.1322,-0.0737,0.7039,1.335
0.772978,-1.7489,-0.3372,0.3431,1.814
0.793390,0.1700,-0.3834,-0.3156,0.525
0.813804,1.0616,0.4452,-0.2602,1.180
0.833972,0.8714,0.2430,-0.6675,1.124
0.862486,-0.1747,-0.6562,-0.8799,1.111
0.874136,0.0337,-0.6173,-0.7432,0.967
0.894634,0.6155,-0.8527,-1.2178,1.609
0.914972,0.5197,-1.3329,-1.8318,2.324
0.935995,0.0567,-1.5930,-2.4427,2.917
0.955179,0.7855,-1.1864,-2.3944,2.785
0.975645,1.1563,-1.4731,-2.5411,3.157
0.995901,0.3623,-2.4670,-2.6425,3.633
1.016184,-0.6542,-2.6010,-2.4778,3.651
1.037156,-0.0059,-1.6249,-1.2400,2.044
1.056583,1.0462,-1.8014,-0.2090,2.094
1.076915,0.4133,-2.5690,0.3800,2.630
1.097149,-1.2309,-2.4131,0.1958,2.716
1.117330,-1.7578,-2.4121,-0.1540,2.989
1.148450,0.0026,-1.3936,0.8073,1.611
1.181575,0.1531,-1.4710,1.1489,1.873
1.182173,0.1531,-1.4710,1.1489,1.873
1.198353,-0.3642,-1.1350,1.2561,1.732
1.218457,0.6344,-0.1124,2.1998,2.292
1.250804,3.1383,-0.8027,3.3468,4.658
1.277617,3.9119,0.5761,2.4075,4.629
1.281531,3.8625,0.6291,2.2033,4.491
1.300322,3.4179,1.1278,1.1246,3.771
1.319886,3.5658,1.1186,0.4980,3.770
1.340071,4.4268,1.2166,0.9982,4.698
1.363746,5.6788,0.5539,1.8100,5.986
1.384240,5.7362,1.7737,2.4012,6.467
1.400995,5.8723,2.1760,1.8799,6.539
1.421468,5.3682,2.4041,0.5476,5.907
1.441496,4.2900,2.4283,0.1592,4.932
1.465746,5.4099,1.7409,1.1913,5.807
1.482097,6.8861,1.2436,1.8797,7.246
1.502572,6.7909,1.2304,1.7435,7.118
1.522363,4.6991,2.1108,0.9367,5.236
1.542495,3.2623,1.4998,-0.4938,3.624
1.571222,1.8104,0.1827,-1.6061,2.427
1.591294,0.4495,0.2837,-1.6807,1.763
1.603228,-0.1036,0.1508,-1.8731,1.882
1.623640,-0.8717,0.2339,-2.2633,2.437
1.643976,-1.3737,0.8547,-2.3949,2.890
1.670818,-0.3633,0.7428,-0.1750,0.845
1.692496,-0.1538,-0.6140,1.6935,1.808
1.704468,-0.2966,-0.4180,1.7683,1.841
1.724991,0.6231,0.7956,1.2445,1.603
1.745314,1.3045,0.7566,2.0241,2.524
1.772371,4.4692,1.8487,1.6993,5.126
1.798452,3.7817,2.0592,-0.6311,4.352
1.806097,3.3658,1.9834,-0.8831,4.005
1.826407,0.6707,1.1707,-4.4763,4.675
1.846745,1.6042,1.1584,-2.7836,3.415
1.874793,1.2591,0.6097,0.1548,1.407
1.902463,-0.7888,-0.5623,1.2459,1.578
1.906955,-1.2563,0.0016,0.5542,1.373
1.927513,-2.6804,0.4090,1.3030,3.008
1.947877,-2.2892,-1.3351,1.8918,3.256
1.975282,-0.0021,-1.3549,2.2613,2.636
2.002806,-0.3326,0.0742,0.4958,0.602
2.008387,-0.3791,0.2556,0.1295,0.475
2.028875,3.5773,-2.0401,0.1822,4.122
2.049806,1.1408,-5.6038,0.1423,5.721
2.069444,-0.7305,-2.5413,-0.4195,2.677
2.093399,1.0944,1.5532,0.9987,2.147
2.115572,1.4757,1.0194,0.1487,1.800
2.130628,3.2955,-2.2643,0.4329,4.022
2.150308,0.7616,-1.9127,-0.0566,2.060
2.170529,-0.0509,-1.8706,-0.2167,1.884
2.195664,0.5301,-0.7183,0.0730,0.896
2.210781,0.7695,-0.1348,-0.0696,0.784
2.232681,0.6657,-0.5311,-0.0986,0.857
2.252410,-1.2942,-0.6052,-0.8045,1.640
2.272765,-2.5922,-0.4396,0.1732,2.635
2.294815,-0.3467,0.3927,0.5744,0.777
2.313218,2.5620,1.3611,-0.1424,2.905
2.334522,1.6179,1.5453,-0.7471,2.359
2.354223,-0.3663,1.1056,-0.2045,1.183
2.374479,0.7085,0.1127,1.4916,1.655
2.399933,1.3096,0.7392,0.8973,1.751
2.421870,2.5335,0.8209,-0.5830,2.726
2.435198,2.7899,1.0897,-0.5121,3.039
2.455287,2.2044,1.0534,-0.1334,2.447
2.475175,1.5903,0.2885,0.1840,1.627
2.497931,0.7001,-1.3216,-0.1401,1.502
2.515887,-0.7166,-1.3322,1.5031,2.132
2.537004,0.8208,-1.0819,0.5552,1.467
2.556679,1.0757,-0.6219,-0.3455,1.290
2.577077,0.7714,-0.5479,-0.8165,1.250
2.601598,0.3952,-0.6023,-0.2338,0.757
2.619286,0.5991,-0.1383,-0.0583,0.618
2.637425,0.8291,0.3814,0.1685,0.928
2.658206,0.1428,0.7170,0.5338,0.905
2.678486,0.1825,0.2408,0.9710,1.017
2.701854,0.0890,0.1359,0.3843,0.417
2.718828,0.2072,0.0714,0.2265,0.315
2.739170,-0.2451,-0.3602,0.4994,0.663
2.759529,-0.4645,-0.9499,0.6745,1.254
2.779454,0.1219,-0.6326,0.5943,0.877
2.806424,0.3957,0.0606,-0.4256,0.584
2.820166,0.6704,-1.0038,-0.0357,1.208
2.839779,0.1107,-1.2166,0.6902,1.403
2.859852,0.3704,-0.8868,-0.2330,0.989
2.880770,0.5788,-0.8109,-0.6723,1.202
2.901116,0.3797,-0.8490,-0.2506,0.963
2.921923,-4.2987,-3.1164,-0.3332,5.320
2.941317,-0.9305,-1.6918,-1.9108,2.716
2.961122,1.9789,-0.4226,-0.7556,2.160
2.981976,0.3150,-0.3201,1.1678,1.251
3.001792,-2.2549,-0.2747,-0.5206,2.330
3.024658,3.0214,0.4053,-1.1418,3.255
3.051202,2.3714,0.4473,-1.7720,2.994
3.064138,2.3259,0.0788,-0.5723,2.397
3.082897,1.1709,0.2419,-0.8996,1.496
3.102875,1.0230,0.0858,-1.7783,2.053
3.126531,1.3138,0.4576,-1.3991,1.973
3.152520,2.9598,0.7369,0.3260,3.067
3.163856,2.5639,0.2455,0.1418,2.579
3.184017,1.1778,-0.2411,0.0546,1.203
3.204585,1.0350,0.3718,0.6214,1.263
3.225471,0.1027,0.1319,0.4687,0.498
3.245130,-0.4451,0.3891,0.7277,0.938
3.265390,-0.4919,0.3479,0.1865,0.631
3.285154,-2.4171,0.2519,-1.4125,2.811
3.305957,-2.0427,0.4484,-1.8800,2.812
3.328446,-0.9796,0.0117,-1.1308,1.496
3.345762,-0.6989,-0.1646,-0.4070,0.825
3.366019,0.3021,-0.4245,1.8584,1.930
3.386231,0.1026,-1.2561,3.4493,3.672
3.407094,-0.3834,-2.1094,3.2499,3.893
3.429647,0.4021,-0.6372,-1.2509,1.460
3.447184,0.8145,-1.7182,-0.8341,2.076
3.467813,1.7320,0.1067,-1.6189,2.373
3.488145,1.5803,-0.5236,-0.2596,1.685
