time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003039,-0.4777,-0.4136,-0.1261,0.644
0.019396,-0.2740,-0.3533,-0.0583,0.451
0.039489,-0.0689,-0.2793,0.2472,0.379
0.066992,-0.3139,-0.4800,-0.4064,0.703
0.083863,-0.3394,-0.6484,-1.0300,1.264
0.100690,-0.1412,-0.6972,-1.0386,1.259
0.120586,0.1195,-0.8457,-0.6797,1.092
0.142411,0.3072,-0.8755,-0.5830,1.096
0.170025,0.3924,-0.9032,-0.2354,1.013
0.191176,0.5020,-1.0944,0.1043,1.209
0.213376,0.7727,-1.1716,0.3272,1.441
0.221984,0.8464,-1.1165,0.4288,1.465
0.248398,1.1696,-0.9754,0.4951,1.601
0.281618,0.8878,-0.6963,-0.2012,1.146
0.292376,0.8994,-0.7418,-0.3176,1.208
0.303005,0.9875,-0.7082,-0.4194,1.286
0.323708,1.3165,-0.8560,0.1865,1.581
0.354999,1.8613,-0.8958,-0.4897,2.123
0.363382,1.7452,-0.9493,-0.0698,1.988
0.383302,0.9688,-1.2607,1.4903,2.179
0.403818,0.5472,-1.1486,0.2583,1.298
0.424986,1.0167,-0.9074,0.2443,1.384
0.449354,1.3537,-0.3357,0.4039,1.452
0.480834,0.6174,-0.5627,0.2520,0.873
0.490526,0.2011,-0.6924,0.3893,0.819
0.504445,-0.5198,-0.6632,0.3309,0.905
0.525164,-1.0056,-0.7925,-0.3155,1.319
0.551113,-1.1465,-0.9713,-0.1071,1.506
0.577798,-0.8592,-0.8649,0.4156,1.288
0.590498,-0.8211,-0.8238,0.4882,1.262
0.605763,-1.0978,-1.1949,0.6892,1.763
0.626559,-1.6645,-1.6848,0.4846,2.417
0.649722,-1.8722,-1.9493,0.5177,2.752
0.673010,-1.9922,-2.2155,0.8226,3.091
0.688232,-2.0600,-1.9910,1.0938,3.067
0.708777,-1.9698,-1.8945,0.6070,2.800
0.728833,-1.2607,-1.7881,0.1623,2.194
0.749244,-1.4196,-1.4288,0.6779,2.125
0.773694,-1.9456,-1.0710,1.4960,2.678
0.789228,-1.6208,-0.8290,1.6115,2.431
0.809408,-1.1493,-0.1173,1.7645,2.109
0.829672,-0.3311,-0.2353,1.5474,1.600
0.850119,-0.5498,-0.1599,1.6022,1.701
0.875916,0.7117,-0.2211,2.3299,2.446
0.890430,0.8802,-0.1564,2.6286,2.777
0.910700,1.4850,-0.0935,3.8180,4.098
0.931120,2.0745,0.0173,4.8248,5.252
0.951264,3.2412,-0.0797,3.8846,5.060
0.975146,3.5184,0.3239,3.3248,4.852
0.992618,3.3395,0.1125,3.7161,4.997
1.012061,2.5574,-0.4127,3.4896,4.346
1.037734,2.6949,0.0295,2.6599,3.787
1.066651,2.9953,0.4884,0.9972,3.194
1.079204,2.5074,0.5682,0.4366,2.608
1.092411,2.0340,0.7900,0.0960,2.184
1.113257,1.7948,0.8174,-0.3927,2.011
1.137479,1.1122,0.5191,-1.5346,1.965
1.170354,1.4320,0.2565,-1.8411,2.346
1.178771,1.3513,0.3041,-1.7171,2.206
1.193422,1.3710,0.4019,-1.3639,1.975
1.214267,1.3323,0.3935,-1.2473,1.867
1.237386,0.6821,0.5507,-1.4628,1.705
1.260389,0.0459,0.3871,-1.4489,1.500
1.274697,-0.1851,0.2916,-1.0880,1.141
1.294750,-0.2392,0.0495,-0.2288,0.335
1.315055,-0.5502,-0.3920,0.3357,0.754
1.349161,-0.5205,-0.7186,1.4221,1.676
1.383052,0.0494,-0.4665,1.8397,1.899
1.383647,0.0494,-0.4665,1.8397,1.899
1.396415,0.1985,-0.3947,1.7778,1.832
1.415892,0.1543,0.0128,1.5437,1.551
1.450825,-0.0825,0.2575,1.0225,1.058
1.480414,-0.4528,0.4037,0.8992,1.085
1.480800,-0.4528,0.4037,0.8992,1.085
1.496999,-0.4725,0.3106,0.7499,0.939
1.516851,-0.3103,0.4260,0.8804,1.026
1.551061,0.4844,0.5614,1.0501,1.286
1.574753,1.1065,0.3175,0.9585,1.498
1.578550,1.1733,0.2855,0.9213,1.519
1.598027,1.7738,0.3630,0.7637,1.965
1.618035,2.0337,0.2674,0.4045,2.091
1.650480,1.7507,-0.1193,-0.5574,1.841
1.669532,1.4366,-0.0923,-0.8777,1.686
1.679510,1.3785,-0.1160,-1.1094,1.773
1.699307,1.2836,0.1246,-1.7033,2.136
1.718785,1.0718,0.1816,-1.8061,2.108
1.750669,0.5361,0.0373,-0.8395,0.997
1.766561,0.1690,-0.0137,-0.1831,0.250
1.779816,0.1470,-0.0086,0.1340,0.199
1.800294,0.3175,-0.0747,0.4452,0.552
1.820592,0.0624,-0.0644,0.8477,0.852
1.848044,0.1753,0.2048,1.0827,1.116
1.876155,0.1086,0.5152,0.8750,1.021
1.890197,0.1415,0.5404,0.9092,1.067
1.901540,0.2378,0.5105,0.9889,1.138
1.921384,0.2202,0.3508,1.0266,1.107
1.950907,-0.4013,0.0151,0.5379,0.671
1.971992,-0.7385,-0.0117,0.3604,0.822
1.982198,-0.7747,0.0010,0.2139,0.804
2.002482,-1.1308,-0.2088,-0.2070,1.168
2.022540,-1.7509,-0.3262,-0.8672,1.981
2.050957,-2.7252,-0.8314,-1.4340,3.190
2.075104,-2.8623,-1.0280,-1.3775,3.339
2.083408,-2.7224,-1.1334,-1.3472,3.242
2.103651,-1.9864,-0.9127,-1.1146,2.454
2.124490,-1.2135,-0.8149,-0.5999,1.580
2.147525,0.2414,-0.0684,0.1023,0.271
2.175707,1.6330,0.6698,0.0815,1.767
2.189384,1.7825,0.6901,0.2081,1.923
2.204817,1.9719,0.7573,0.4755,2.165
2.225556,2.2336,0.6294,1.1867,2.606
2.249883,2.1478,0.5515,0.7961,2.356
2.274676,1.4806,0.4569,-0.4202,1.605
2.286063,1.3317,0.3219,-0.7989,1.586
2.305768,0.9054,-0.0895,-1.2677,1.560
2.325895,0.9594,-0.0649,-1.1136,1.471
2.351574,1.7303,-0.2134,-0.4839,1.809
2.376222,2.4481,-0.3622,-0.0086,2.475
2.389304,2.5161,-0.3407,0.2276,2.549
2.407148,2.0211,-0.4393,0.3020,2.090
2.427587,1.2663,-0.4589,0.0458,1.348
2.446949,0.6338,-0.2721,-0.3681,0.782
2.468934,0.0203,-0.1349,-0.3752,0.399
2.487705,-0.3646,-0.1397,-0.4061,0.563
2.507647,-0.6513,-0.1383,-0.5009,0.833
2.528520,-0.5420,-0.1587,-0.2540,0.619
2.550859,-1.2200,-0.2523,-0.3257,1.288
2.572424,-1.7040,-0.3364,-0.7142,1.878
2.588787,-0.9828,-0.1118,-0.4065,1.069
2.608554,-0.3297,0.3987,-0.0939,0.526
2.629309,0.0985,0.4669,0.6182,0.781
2.649565,0.2964,0.7597,0.8114,1.150
2.678221,0.4877,0.8637,0.3921,1.067
2.689684,0.2467,0.8480,0.4477,0.990
2.710041,-0.2316,0.5526,0.5973,0.846
2.730209,0.0665,0.4359,1.2606,1.335
2.751042,-0.0346,0.4361,0.8163,0.926
2.775513,0.3192,0.3250,0.4475,0.639
2.790677,0.3934,0.1364,0.0838,0.425
2.811492,0.6850,0.0768,-0.0964,0.696
2.831900,1.5147,0.3377,-0.3160,1.584
2.858230,1.5103,0.3325,-0.6239,1.668
2.878631,1.5054,0.0815,-0.3603,1.550
2.892297,1.3907,-0.2095,-0.2373,1.426
2.912939,0.6239,-0.4387,-0.5960,0.968
2.933197,0.4498,-0.3045,-1.1216,1.246
2.957786,0.2032,-0.4071,-1.1227,1.211
2.982654,-0.0698,-0.4479,-0.2544,0.520
2.993137,-0.0689,-0.3654,-0.2174,0.431
3.013599,0.0935,-0.2491,-0.1296,0.296
3.033557,-0.0561,-0.1383,-0.0242,0.151
3.057699,-0.3572,0.0667,0.4018,0.542
3.078438,-0.5042,0.3371,0.3859,0.719
3.094245,-0.6401,0.2528,0.2606,0.736
3.114256,-0.7822,-0.0899,0.4143,0.890
3.134925,-0.2942,0.1591,0.8857,0.947
3.160618,0.5068,0.3948,-0.0053,0.642
3.188972,1.1937,0.6689,-0.5954,1.492
3.195479,1.1833,0.7173,-0.6822,1.543
3.215749,0.7596,0.4999,-0.8446,1.241
3.236037,-0.1621,0.1059,-0.5259,0.560
3.261517,-0.3933,-0.0690,0.2513,0.472
3.284545,0.3928,-0.0302,1.3801,1.435
3.296551,0.5064,-0.0638,1.5350,1.618
3.317276,0.3160,-0.1445,1.3180,1.363
3.345972,-0.0971,-0.1447,0.4735,0.505
3.372545,0.9224,0.0111,1.7007,1.935
3.377136,0.9222,0.0212,1.6637,1.902
3.397271,0.5978,0.0160,0.8061,1.004
3.417628,0.2034,0.2460,-0.1337,0.346
3.446754,0.2076,0.5196,-1.2413,1.362
3.480770,-0.0713,0.1967,-0.7201,0.750
3.481447,0.0260,0.1491,-0.6525,0.670
3.498172,-0.0592,-0.0597,-0.1112,0.139
3.518505,-0.6481,-0.1613,-0.5921,0.893
3.546205,-1.2013,-0.6934,-0.7509,1.577
3.571978,-0.8925,-0.4184,-0.7742,1.253
3.578967,-0.7793,-0.4259,-0.6786,1.118
3.599206,-0.6938,-0.3157,-0.4498,0.885
3.619507,0.0066,-0.3403,-0.0071,0.340
3.645821,0.1646,-0.1635,0.0777,0.245
3.676945,-0.6014,-0.6411,0.2946,0.927
3.687293,-0.5334,-0.6116,0.3137,0.870
3.699998,0.0017,-0.2820,0.4040,0.493
3.720197,0.6370,-0.2636,0.2686,0.740
3.745379,0.4718,-0.2327,-0.3252,0.618
3.769630,0.5770,0.0550,-0.3423,0.673
3.780619,0.7220,0.2056,-0.5477,0.929
3.800950,0.9136,0.2902,-1.0730,1.439
3.821322,0.5834,0.1334,-0.6279,0.867
3.845491,0.0433,-0.1225,0.3636,0.386
3.878728,0.9230,0.3416,-0.5590,1.132
3.887031,0.8619,0.3794,-0.5588,1.095
3.901789,0.7233,0.5863,-0.4734,1.044
3.922145,-0.5562,-0.3879,-0.0910,0.684
3.945441,-0.3571,-0.4865,0.5353,0.807
3.962649,0.5602,0.2461,0.5154,0.800
3.983024,-0.2054,-0.3726,2.1836,2.225
4.002986,-0.5247,0.0778,1.4144,1.511
4.023129,1.2407,-0.5475,-0.0389,1.357
4.045380,1.1449,-0.1252,0.4094,1.222
4.077606,-0.1428,0.0419,0.9961,1.007
4.086991,-0.4938,-0.2255,0.3798,0.663
4.103782,0.2098,-0.9580,0.4100,1.063
4.124520,-0.1705,0.5428,1.1026,1.241
4.145043,0.7333,0.4228,-1.2735,1.529
4.175155,-0.4845,0.0011,-3.0889,3.127
4.186470,0.1848,0.7126,-3.7423,3.814
4.205030,0.0536,0.4500,-1.8751,1.929
4.225174,0.1689,0.2707,0.0215,0.320
4.245464,-0.2403,-0.0732,0.6225,0.671
4.270486,0.6743,0.5643,0.9907,1.325
4.285992,1.3326,0.3289,0.1167,1.378
4.306377,0.4348,0.6379,-0.3422,0.844
4.326306,0.2212,-0.2557,-0.3087,0.458
4.346690,0.8907,0.3003,0.2304,0.968
4.376277,1.8172,-0.4746,-0.7556,2.024
4.387101,2.0279,0.0046,-0.5517,2.102
4.407761,-0.0928,0.4579,0.5069,0.689
