time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002681,0.9670,-0.7671,0.3018,1.271
0.020867,1.2152,-0.7900,0.0087,1.449
0.044734,1.6769,-0.7597,0.3978,1.883
0.063185,1.3199,-0.4727,-0.2611,1.426
0.083076,1.9023,-0.4999,-1.0727,2.240
0.105128,3.0046,-0.5313,-0.3794,3.075
0.121839,2.9992,-0.4309,0.1218,3.032
0.143573,2.1218,-0.2557,0.3923,2.173
0.162263,2.1993,-0.1720,0.0236,2.206
0.182378,2.0072,0.6293,-0.3464,2.132
0.203382,1.7728,0.6976,-0.5631,1.987
0.223130,1.8428,0.6001,-0.1099,1.941
0.255022,1.6286,-0.1610,-0.3649,1.677
0.267410,1.2286,-0.2676,-0.3980,1.319
0.283391,0.8266,-0.2044,-0.2145,0.878
0.303382,0.9605,-0.3801,0.0760,1.036
0.323916,1.3251,-0.4313,0.7379,1.577
0.355349,1.6755,-0.7435,2.6339,3.209
0.364281,1.3549,-1.2006,2.6003,3.168
0.385147,0.0959,-1.9848,2.1633,2.937
0.404599,0.4057,-1.4044,2.3258,2.747
0.425374,0.0492,-1.7400,2.0167,2.664
0.445182,-1.1947,-2.0584,1.7599,2.960
0.471826,-2.0073,-2.6601,1.9271,3.850
0.489042,-2.1454,-2.8633,1.7833,3.998
0.505313,-2.0864,-2.6766,1.7013,3.796
0.525702,-2.5153,-2.2357,1.0807,3.535
0.546818,-3.3372,-2.0820,0.5888,3.977
0.573831,-4.1916,-2.2704,0.2006,4.771
0.590783,-4.2889,-1.9880,-0.0068,4.727
0.606797,-4.1364,-1.5609,-0.4925,4.448
0.627746,-3.7362,-0.2010,-1.2147,3.934
0.647486,-3.2422,0.9221,-1.5897,3.727
0.671883,-3.4566,0.0808,-0.5280,3.498
0.690670,-2.6580,-0.0217,-0.2265,2.668
0.707913,-2.3399,1.1490,0.4257,2.641
0.728082,-1.0749,1.8363,0.9300,2.322
0.748322,-0.5058,2.3911,1.0457,2.658
0.771642,-0.3489,2.6358,0.3616,2.683
0.792272,-0.2834,1.9981,-0.0459,2.019
0.808836,-0.0331,1.9117,0.1411,1.917
0.829186,0.8630,1.4886,2.1560,2.758
0.849537,0.3419,2.4998,2.5684,3.600
0.871768,0.8367,3.0399,2.2564,3.877
0.892032,0.4616,3.0671,1.0940,3.289
0.909991,-0.3355,2.4971,0.1726,2.525
0.930341,-0.2175,1.4943,-0.4820,1.585
0.950500,-0.3227,0.3759,0.2311,0.547
0.970946,-0.6150,0.3687,1.1077,1.320
0.991230,-0.7569,0.8022,1.5918,1.937
1.010872,-0.9833,1.0306,1.2921,1.923
1.031102,-0.9157,0.3652,0.5419,1.125
1.051220,-0.9390,-0.0351,-0.1918,0.959
1.082653,-0.6055,0.6183,-1.4498,1.688
1.103834,-2.1064,1.0354,-3.6035,4.301
1.112711,-1.5781,0.9383,-4.6680,5.016
1.131975,0.5917,0.1629,-4.5190,4.560
1.152135,2.8258,-0.9592,1.6477,3.409
1.172535,1.6072,0.9995,6.8288,7.086
1.193440,-0.6373,1.6074,3.8106,4.185
1.213064,-0.1144,1.2030,1.6389,2.036
1.232810,-0.2471,0.7098,0.6926,1.022
1.253177,-2.3721,-0.4709,0.6419,2.502
1.273378,-3.7080,-1.1063,1.2117,4.055
1.293277,-3.4660,-1.1022,1.0543,3.787
1.313300,-2.0767,-0.6746,0.1656,2.190
1.333679,-0.2377,-0.0438,-0.9260,0.957
1.353909,1.1066,-0.0370,-1.1308,1.583
1.374070,1.6236,-0.0122,-0.7293,1.780
1.394399,1.8926,0.4501,-0.2689,1.964
1.414429,2.0724,0.3719,0.4633,2.156
1.434867,1.0780,-0.4022,-0.1082,1.156
1.455440,-0.4763,-1.1248,-0.3916,1.283
1.475352,-0.2961,-0.2204,-0.1081,0.385
1.495972,-0.1325,0.7013,-0.4160,0.826
1.515890,2.7095,1.5002,2.5886,4.036
1.536255,4.5253,2.8510,3.4521,6.366
1.556110,2.1479,0.7952,0.3555,2.318
1.576286,-0.2199,0.6826,2.7711,2.862
1.604249,0.0698,0.1786,3.9254,3.930
1.624263,0.4989,0.0757,3.8487,3.882
1.636652,0.0447,0.2030,3.8042,3.810
1.656997,-2.0166,0.0687,3.2863,3.856
1.677243,-1.7096,0.0641,-1.6650,2.387
1.704125,0.1338,-0.7920,-6.2878,6.339
1.725120,1.4969,0.2141,-5.5952,5.796
1.737786,2.6421,1.3971,-3.5678,4.654
1.758057,1.4217,0.9286,0.0918,1.701
1.778427,0.2311,-0.0367,2.1069,2.120
1.804156,-0.2932,-1.3505,1.3584,1.938
1.820401,-0.1618,-1.0510,1.5944,1.916
1.838743,0.8182,-2.0088,1.7534,2.789
1.859034,2.2392,-0.6290,0.7929,2.457
1.879404,1.3809,-0.2909,-0.0940,1.414
