time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003227,-0.8034,-1.1069,-2.2814,2.660
0.024845,-0.4292,0.1208,0.2186,0.497
0.033981,0.6136,0.5506,2.2332,2.381
0.054444,2.3613,0.8146,4.2547,4.934
0.074667,1.2353,0.5798,3.3048,3.575
0.108362,-1.0811,-0.3433,-0.0484,1.135
0.126818,-0.6004,-0.3056,-0.2334,0.713
0.135596,-0.1007,-0.0631,-0.2675,0.293
0.155871,0.8784,0.2344,-0.4810,1.029
0.175902,0.9771,0.2908,-0.7535,1.268
0.202201,0.9373,-0.1669,-0.5615,1.105
0.222590,0.3953,-0.4152,-0.4976,0.759
0.236616,0.2934,-0.4881,-0.4364,0.718
0.257298,0.2890,-0.3832,-0.5561,0.735
0.277348,0.1980,-0.2226,-0.8350,0.887
0.299784,0.2765,0.1374,-0.6142,0.687
0.317459,0.7089,-0.0414,-0.2751,0.762
0.337573,0.4838,-0.0801,-0.3675,0.613
0.358081,0.4029,-0.1910,-0.5305,0.693
0.378079,1.0794,-0.3268,0.2227,1.150
0.398841,1.7180,-0.2582,0.9431,1.977
0.424501,1.6044,-0.7434,-0.3191,1.797
0.439914,1.1488,-1.2108,-1.8289,2.476
0.459640,0.5367,-1.2755,-2.9265,3.237
0.479286,0.3779,-1.8214,-3.4533,3.922
0.500128,0.6962,-2.6256,-3.4384,4.382
0.521400,0.6046,-3.0137,-3.2117,4.446
0.540058,0.3503,-3.2597,-3.6597,4.913
0.560297,0.0625,-3.8051,-4.7217,6.064
0.580460,0.2467,-4.1071,-4.6553,6.213
0.609990,-1.8437,-1.5756,-2.0489,3.175
0.634774,-1.2550,-2.4083,1.9536,3.345
0.640710,-1.3644,-2.3292,2.7175,3.830
0.661120,-1.3503,-2.0438,4.4596,5.088
0.681361,-1.1339,-2.3453,4.6672,5.345
0.709397,-2.1597,-0.5906,4.0325,4.612
0.732942,-2.2854,-0.1936,4.1668,4.756
0.741505,-2.0459,-0.4416,4.2673,4.753
0.761783,-1.1391,-0.8270,3.8688,4.117
0.782263,-1.4799,-0.7505,3.0877,3.505
0.802521,-1.2521,-0.1389,1.3507,1.847
0.822571,-1.7886,0.2704,-0.2790,1.830
0.842976,-1.0769,0.3495,-0.9076,1.451
0.863174,-1.3391,1.2936,0.1343,1.867
0.883321,-1.9120,1.0593,0.6650,2.285
0.903492,-1.1783,0.6128,1.3080,1.864
0.931147,-0.6851,0.8215,2.9782,3.164
0.955624,-0.0945,1.1331,3.1125,3.314
0.963785,-0.1436,1.4878,3.0956,3.438
0.984306,0.6546,2.5621,3.7016,4.549
1.004532,1.1290,3.0300,3.4246,4.710
1.031252,1.2814,2.9284,2.3712,3.980
1.053526,1.5566,2.0731,2.3468,3.497
1.064790,1.4303,1.7960,2.5484,3.430
1.085172,1.1738,1.5433,2.5864,3.233
1.105214,1.0984,1.4038,2.0626,2.726
1.130480,0.4860,0.9758,1.1515,1.586
1.150990,0.4941,0.6560,0.9748,1.275
1.165780,0.3954,0.6175,0.7582,1.055
1.186082,0.0838,0.6376,0.3186,0.718
1.206432,-0.1308,0.6733,-0.2967,0.747
