time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003448,-0.2049,-0.6069,-0.5267,0.829
0.016155,0.1663,-0.1150,-0.0098,0.202
0.034989,0.8519,0.3142,0.7625,1.186
0.056286,1.1357,0.2196,0.7755,1.393
0.072362,0.7248,0.0301,0.2736,0.775
0.092491,0.2290,-0.3946,-0.8230,0.941
0.112326,-0.3004,-0.3658,-1.4293,1.506
0.140542,-0.1350,-0.3369,-1.6067,1.647
0.162799,0.2822,-0.2887,-0.7743,0.873
0.173306,0.5870,-0.2489,-0.4148,0.761
0.193770,1.1079,-0.4566,-0.1914,1.213
0.213910,1.0125,-1.2065,-0.4794,1.646
0.238502,0.7748,-1.4820,-0.5481,1.760
0.259365,0.7933,-1.6092,-0.8675,1.993
0.274503,0.9193,-1.6817,-1.1711,2.246
0.294182,1.1971,-1.8068,-1.8087,2.823
0.328913,2.0047,-2.0851,-2.3857,3.749
0.335136,2.0036,-2.1780,-2.3463,3.777
0.355509,2.0104,-2.4261,-2.7214,4.163
0.375437,1.4195,-2.6788,-2.8128,4.136
0.395583,-0.1864,-2.7416,-1.3037,3.042
0.421426,1.4970,-3.2293,0.0796,3.560
0.435607,1.0171,-3.0884,0.0014,3.252
0.456366,-0.3682,-2.4943,-0.9109,2.681
0.476324,-1.5233,-2.0096,-0.7451,2.629
0.496347,-1.2520,-1.8460,-0.9130,2.410
0.525433,0.0859,-0.6817,0.3520,0.772
0.536733,0.4165,-0.5697,2.3963,2.498
0.556933,-2.1340,0.0761,4.3204,4.819
0.577116,-2.7014,0.9551,4.7184,5.520
0.597650,-2.4039,1.8549,3.2254,4.430
0.623229,-3.7270,2.8747,-0.1443,4.709
0.637861,-2.6704,3.0462,-0.9225,4.155
0.657742,0.1010,2.3173,0.5470,2.383
0.678187,0.7357,1.3908,2.4993,2.953
0.698281,-0.0246,1.7570,4.1590,4.515
0.725336,-0.3043,2.0934,5.1809,5.596
0.738427,-0.8562,2.0808,5.3639,5.817
0.759110,-1.1019,2.4362,3.6133,4.495
0.779184,-0.1543,2.2753,2.4716,3.363
0.799336,0.3188,1.9424,1.5506,2.506
0.825470,-0.5649,1.3144,1.4558,2.041
0.839516,-0.9596,1.0412,2.1077,2.539
0.861130,-1.2282,0.5666,2.2357,2.613
0.880884,-1.0440,0.6371,1.5938,2.009
0.900966,-0.2212,0.9863,0.5475,1.150
0.923435,0.3410,1.0889,1.4284,1.828
0.941237,-0.4744,0.6230,1.9601,2.111
0.961701,-0.8953,0.4927,1.6722,1.960
0.981645,-0.4791,0.9104,1.4055,1.742
1.002109,0.0067,1.2643,1.3723,1.866
1.023707,-0.9775,1.0991,1.2012,1.899
1.042688,-0.6632,0.7960,1.6249,1.927
1.062240,-0.4451,0.6248,2.2833,2.409
1.082607,-0.2776,0.1594,2.7342,2.753
1.103017,-0.2681,0.5344,1.4119,1.533
1.125703,0.4021,1.1381,-0.0511,1.208
1.143154,0.4741,1.1684,-0.8337,1.512
1.163734,0.1631,0.8377,-1.1313,1.417
1.184126,0.2160,0.7310,-1.0319,1.283
1.204138,0.1670,0.5283,-1.0882,1.221
1.224126,0.1805,0.2945,-0.9011,0.965
1.244718,0.3738,0.1294,-0.5251,0.657
1.264548,0.3424,-0.2387,-0.4038,0.581
1.284618,0.1150,-0.0419,0.0786,0.146
1.305299,-0.0338,0.1668,0.0129,0.171
1.325602,0.1130,0.3105,-0.1412,0.359
1.345233,0.5489,0.6137,-0.1363,0.835
1.365951,0.9572,0.8863,-0.2327,1.325
1.385777,1.8158,0.3612,0.4519,1.906
1.405912,1.9601,-0.2034,0.2952,1.993
1.436597,0.8329,-0.2367,-0.6778,1.100
1.447896,0.4801,-0.1783,-0.7920,0.943
1.466784,-0.4568,-0.3756,-0.9124,1.087
1.486777,0.1926,-0.4027,-0.2307,0.502
1.506888,0.4646,-0.6177,-0.4457,0.892
1.536347,0.0690,-0.4650,-0.9599,1.069
1.548094,0.0516,-0.7776,-0.3638,0.860
1.567865,-0.6086,-0.6821,0.5098,1.047
1.587906,-1.0988,-0.4387,1.1198,1.629
1.608138,-0.7604,-0.0231,1.6349,1.803
1.633632,-1.4037,0.1210,1.2947,1.913
