time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008197,0.3955,-0.3981,-0.4868,0.743
0.029573,0.1736,-0.2649,-0.3590,0.479
0.049323,-0.0706,-0.1332,-0.2242,0.270
0.070911,-0.1345,-0.2587,-0.1528,0.329
0.103125,0.0350,-0.3927,-0.4332,0.586
0.115486,-0.0343,-0.2756,-0.9036,0.945
0.126192,-0.3044,0.1393,-1.0634,1.115
0.147535,-0.3682,0.4860,-0.8239,1.025
0.166627,0.0495,-0.1779,-0.3900,0.431
0.186921,0.1843,-0.1411,-0.3909,0.455
0.207410,0.1723,-0.5577,-0.1755,0.610
0.227446,0.6131,-0.6060,0.7014,1.111
0.247722,0.7780,-0.8785,0.8145,1.428
0.267739,0.4378,-0.4936,-0.3642,0.754
0.291618,0.6815,-1.0529,-1.4342,1.905
0.308220,0.9817,-1.1961,-1.3262,2.038
0.328161,1.4307,-1.9915,-0.9320,2.623
0.348419,2.4880,-3.3067,-1.5452,4.417
0.382502,5.0081,-3.2280,-2.5957,6.499
0.389358,5.0080,-3.2908,-2.8623,6.641
0.409601,4.4848,-4.0718,-2.9924,6.756
0.429328,2.8517,-4.8183,-1.6673,5.842
0.449577,0.7878,-5.4689,-0.7601,5.577
0.479629,-0.6468,-5.0271,-1.3994,5.258
0.489976,-0.2927,-5.8384,-1.7766,6.110
0.510189,-1.1265,-6.0799,-0.8930,6.248
0.530501,-2.0914,-7.1618,-1.4735,7.605
0.550643,-3.3186,-6.1633,-1.7190,7.208
0.579741,-2.5909,-6.2374,1.0082,6.829
0.590784,-3.1801,-5.9491,1.5965,6.932
0.611744,-3.3402,-6.8455,1.2431,7.718
0.631880,-4.9747,-5.5093,0.5111,7.441
0.652064,-6.5390,-4.2098,-0.4827,7.792
0.687180,-7.2152,-4.6662,-0.1075,8.593
0.699187,-6.5773,-4.0356,-0.0550,7.717
0.713866,-6.2059,-3.1877,0.1814,6.979
0.733505,-4.5629,-1.9627,1.4342,5.170
0.753271,-4.3462,-2.2496,2.0766,5.316
