time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.015488,-0.4618,-0.1663,0.5299,0.722
0.036654,-0.0371,-0.6673,0.5217,0.848
0.042754,-0.0509,-0.5235,0.4310,0.680
0.062833,0.0802,-0.4150,0.3691,0.561
0.097214,-0.7198,-0.9699,0.0181,1.208
0.103441,-0.9457,-0.8443,0.2171,1.286
0.124252,-1.0469,-0.5261,-0.1240,1.178
0.144063,-1.1827,-0.3810,-0.4797,1.332
0.164514,-0.2768,-0.3343,-0.3527,0.559
0.202081,0.4903,0.0169,-0.4830,0.688
0.213465,0.6911,-0.2122,-0.6621,0.980
0.225209,0.6636,-0.0634,-1.5356,1.674
0.246789,1.5881,-0.0363,-2.3469,2.834
0.265313,-0.3179,-0.4028,-1.8159,1.887
0.296538,2.8201,0.9094,3.7000,4.740
0.311258,1.9190,2.1657,0.9455,3.044
0.326397,1.3936,2.0126,-0.3469,2.472
0.346222,-0.1240,0.9423,-0.8242,1.258
0.366258,0.5568,1.1738,-0.8203,1.536
0.386477,-0.1614,0.5737,-0.6424,0.876
0.407312,-0.0834,0.1426,-0.7767,0.794
0.427120,0.7420,-0.4683,-0.7595,1.160
0.447325,0.6983,-1.3269,0.0106,1.499
0.467521,1.2395,-1.6446,-0.6517,2.160
0.487911,1.1734,-1.7230,-0.2050,2.095
0.508328,1.0361,-1.3807,0.9951,1.993
0.528094,-0.3967,-1.7167,1.5741,2.363
0.548317,-0.5968,-1.5131,1.0822,1.954
0.568471,-0.2524,-0.1955,0.6745,0.746
0.591551,-0.3248,0.4257,1.0334,1.164
0.609349,-0.5809,0.7693,0.7534,1.223
0.629093,-0.4797,0.8102,0.2542,0.975
0.649521,-0.2643,0.5087,0.4284,0.716
0.669501,-0.0133,-0.2785,0.5610,0.626
0.694370,0.0915,-0.9514,0.9131,1.322
0.709926,0.5213,-0.2383,-0.1897,0.604
0.730270,0.6086,-0.0603,-0.8845,1.075
0.750840,0.9467,-0.7050,-1.4655,1.882
0.771423,0.0741,-0.9864,-1.7233,1.987
0.795727,0.8656,-2.3118,-1.9170,3.125
0.811060,1.2551,-2.1317,-2.0391,3.206
0.831255,2.7612,-1.8155,-1.7799,3.753
0.851611,2.8235,-1.5732,-1.0587,3.401
0.872417,2.5042,-1.0896,-0.8281,2.854
0.895264,1.0639,-0.6300,-0.9761,1.575
0.913183,0.1643,-0.5382,-1.2794,1.398
0.933190,-0.6444,-0.3306,-1.8184,1.957
0.952890,-1.6743,-0.2316,-2.1095,2.703
0.973847,-2.0085,-0.2352,-1.7872,2.699
0.997655,-1.8108,-0.1998,-0.8921,2.028
1.014203,-1.6850,0.0319,-0.6879,1.820
1.033996,-1.4352,0.2936,0.2862,1.493
1.054020,-1.6235,0.0231,1.0047,1.909
1.074089,-1.9808,-0.0499,0.8288,2.148
1.102300,-1.9981,-0.4620,-0.4852,2.107
1.114424,-2.0682,-0.4261,-0.6029,2.196
1.135544,-1.8967,-0.8013,0.0630,2.060
1.155832,-2.1688,-1.0352,-0.4841,2.451
1.175873,-2.9119,-1.1344,-1.3244,3.394
1.205239,-4.3134,-0.8051,-0.4174,4.408
1.217870,-4.2225,-0.6868,0.5725,4.316
1.237321,-3.1361,-0.4890,1.2408,3.408
1.256744,-2.1056,-0.1101,0.4146,2.149
1.276807,-1.9725,-0.0174,0.0462,1.973
1.307659,-1.8668,0.2095,1.5679,2.447
1.319685,-1.5800,0.3797,2.0068,2.582
1.338260,-0.8040,0.7367,2.3731,2.612
1.357734,-0.1621,1.0569,2.4193,2.645
1.378038,0.0408,1.1940,2.1572,2.466
1.398203,-0.0700,1.3347,1.7126,2.172
