time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001565,1.1613,-0.1237,-0.6423,1.333
0.019556,0.7108,-0.1420,-0.0751,0.729
0.045674,0.2984,-0.0292,-0.1477,0.334
0.062675,0.5047,-0.3219,-0.0858,0.605
0.073103,0.2331,-0.5890,-0.8369,1.050
0.094039,0.6600,-0.4962,0.0051,0.826
0.113399,1.0206,-0.6625,-0.2283,1.238
0.145185,1.1487,-0.6630,-0.3377,1.369
0.156803,0.9855,-0.7146,-0.1530,1.227
0.175173,0.9870,-0.8031,0.0270,1.273
0.194166,1.0366,-0.8981,0.0645,1.373
0.214000,0.1008,-0.6598,0.1811,0.692
0.253341,-0.3068,-0.3684,-0.6035,0.771
0.266320,-0.5614,-0.3190,-0.4385,0.781
0.275234,-0.7953,-0.2698,-0.3915,0.927
0.294877,-0.3435,-0.4472,-0.8000,0.979
0.315005,-0.0480,-0.5796,-1.3890,1.506
0.340463,-0.5307,-2.1612,-4.1438,4.704
0.355361,-0.2938,-0.5314,-0.9032,1.088
0.375693,0.5440,-1.4736,-1.1333,1.937
0.395994,0.7037,-1.1680,-0.0053,1.364
0.416192,-0.6608,-0.8542,0.6504,1.261
0.436762,-0.5925,-0.7982,0.0747,0.997
0.456306,0.1661,-0.5442,-0.2257,0.612
0.476675,-0.0832,-0.2854,1.6991,1.725
0.496695,-0.4992,-0.6854,0.6490,1.068
0.517459,-0.7833,-0.5434,1.0752,1.437
0.541684,-0.6853,0.1738,1.8457,1.977
0.558263,-1.5612,-1.0091,-0.2466,1.875
0.578234,-0.7721,-0.8255,-0.6714,1.315
0.598038,-1.2913,-0.9283,-0.5055,1.669
0.618892,-2.0171,-0.8578,-0.2585,2.207
0.643410,0.1429,-0.3291,0.5674,0.671
0.658596,0.9040,-0.1867,1.6477,1.889
0.679190,0.1912,0.5630,0.8475,1.035
0.699866,0.9418,0.5024,0.3943,1.138
0.720138,0.6910,0.4084,0.2559,0.842
0.742919,-0.2859,0.5905,-0.0341,0.657
0.760738,-0.6033,0.1719,0.3354,0.711
0.780677,0.5394,0.3896,-0.6663,0.942
0.800518,1.3011,0.5944,-0.8239,1.651
0.820638,0.5445,0.5888,-0.0788,0.806
0.848161,0.1546,1.8789,-0.8504,2.068
0.860973,-0.2778,2.1531,-0.4960,2.227
0.881989,-0.2075,2.3876,-0.6335,2.479
0.901830,-0.7577,1.8353,-2.5365,3.221
0.921852,-0.2737,1.9959,-2.0810,2.896
0.947312,-0.1683,1.1237,-1.5210,1.899
0.962073,-0.2997,0.9899,-2.2334,2.461
0.982884,-0.6381,0.0916,-1.7508,1.866
1.003289,0.1873,-0.9212,-0.4738,1.053
1.023499,0.8146,-1.3942,-0.6680,1.747
1.052481,1.1373,-2.3418,-0.7211,2.701
1.063743,1.2568,-2.6202,-0.3839,2.931
1.084007,1.3986,-3.0489,-0.1974,3.360
1.104243,1.9712,-2.5719,-1.0486,3.406
1.124337,2.4065,-2.5335,-1.1511,3.679
1.153995,2.6382,-2.3715,-0.8639,3.651
1.164991,2.8152,-2.3071,-0.7849,3.723
