time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003351,0.0485,-0.0728,-0.0650,0.109
0.018867,0.0888,-0.0211,0.0911,0.129
0.034104,0.2826,-0.0729,0.1421,0.325
0.064409,0.2354,0.1229,0.0022,0.266
0.075252,0.2580,0.1135,0.0772,0.292
0.095586,0.2989,-0.0704,0.1468,0.340
0.114936,0.0612,-0.2257,0.1939,0.304
0.135392,-0.0457,-0.1875,0.0381,0.197
0.155342,-0.1920,0.0652,-0.1278,0.240
0.178824,-0.2081,0.0724,-0.2529,0.335
0.196212,-0.4315,0.1417,-0.2268,0.508
0.216490,-0.4114,0.2889,-0.1742,0.532
0.236628,0.2360,-0.0674,-0.2299,0.336
0.256568,0.5905,-0.7881,-0.0570,0.986
0.283060,0.0821,-0.3888,0.2515,0.470
0.296869,-0.0836,-0.0844,0.2818,0.306
0.317373,-0.2102,0.5638,0.3088,0.676
0.337698,0.4512,-0.1308,0.7191,0.859
0.357434,0.4352,-0.7615,0.5163,1.018
0.384607,-0.0406,-0.5151,0.2825,0.589
0.398269,-0.0231,-0.1112,0.1690,0.204
0.418514,0.0872,0.3261,-0.0073,0.338
0.438621,0.5187,0.1506,0.0927,0.548
0.458506,1.1799,-0.0838,0.3813,1.243
0.478914,1.5416,-0.3662,0.5920,1.691
0.499163,1.7592,-0.6695,0.3141,1.908
0.519220,1.7530,-1.0397,0.0936,2.040
0.539354,1.8164,-1.3838,-0.0233,2.284
0.559612,1.5788,-1.2186,0.2122,2.006
0.582494,1.4357,-1.3516,0.5522,2.048
0.600642,1.2053,-1.5598,0.0611,1.972
0.620079,0.2775,-0.7780,-1.4692,1.686
0.640243,-0.1661,-0.6328,-1.8709,1.982
0.660289,-1.1385,-0.1203,-1.9387,2.251
0.680367,-2.9979,0.6166,-2.4470,3.919
0.701486,-0.3724,0.0121,-1.9557,1.991
0.721529,0.5698,-1.7974,-0.7911,2.045
0.741632,-0.8173,-1.0648,-0.0853,1.345
0.762652,-2.5074,-0.7740,0.2767,2.639
0.789140,-2.4903,-0.9037,0.8832,2.793
0.801811,-2.1298,-0.9210,0.4642,2.366
0.822054,-2.4118,-0.3858,-0.1611,2.448
0.843082,-2.7329,0.2379,-0.2363,2.753
0.862843,-2.3274,0.4638,-0.0524,2.374
0.888832,-1.9881,0.9302,0.6728,2.296
0.902504,-1.8455,1.2023,0.9223,2.388
0.923167,-0.5804,1.4427,1.2448,1.992
0.943334,-0.5653,1.7173,1.1090,2.121
0.963494,-0.5643,1.1753,0.7016,1.481
0.991334,-0.7630,1.0279,0.5104,1.378
1.004214,-0.6924,1.2490,0.7023,1.591
1.024043,-0.4328,1.5629,0.9020,1.856
1.044338,-0.1510,1.7208,0.8640,1.931
1.064633,0.2651,1.5223,1.2729,2.002
1.092010,0.9825,1.3803,1.5678,2.308
1.105306,0.9345,1.5079,1.3606,2.236
1.124747,1.0374,1.4865,1.6241,2.434
1.145093,0.9126,1.1301,1.6783,2.220
1.165628,0.8905,0.2544,1.1930,1.510
1.188481,0.3802,-0.5778,0.9118,1.144
1.206170,0.0319,-0.9654,1.3778,1.683
1.226508,-1.5684,-0.1192,1.1010,1.920
1.246171,-1.5278,-0.9431,0.3772,1.835
1.266452,-1.2071,-1.0085,0.4620,1.639
1.292030,-0.7789,-1.1758,0.2874,1.439
1.306724,-1.3906,-1.6025,0.1167,2.125
1.327134,-1.3706,-2.2760,-0.1666,2.662
1.347247,2.1473,-0.8265,0.9714,2.498
1.367830,6.1247,1.2870,1.0416,6.345
1.388317,3.2952,1.4880,0.1768,3.620
1.408558,-0.0332,0.6255,0.1982,0.657
1.428434,-1.2758,0.1466,0.7101,1.467
1.448566,-0.7453,-0.9259,1.6576,2.040
1.468567,-0.2261,-0.3521,0.9191,1.010
1.488506,-0.4820,0.6887,-1.8366,2.020
1.509254,0.0862,0.9561,-1.4116,1.707
1.529625,0.7808,0.9230,-1.4971,1.924
1.549833,0.6975,0.1075,1.1507,1.350
1.569805,1.0371,-1.9093,1.8487,2.853
1.590535,-0.5120,-1.2938,-0.8321,1.621
1.610753,0.3860,-0.1164,-0.8050,0.900
1.630490,1.3296,-1.9253,0.1230,2.343
1.651240,-0.0851,-2.9099,0.4774,2.950
1.670572,-0.0805,-0.7283,0.6648,0.989
1.690974,0.5076,-1.1456,0.5445,1.366
1.711712,-0.3474,-0.5855,0.1545,0.698
1.731664,-0.3071,-0.4296,0.4148,0.672
1.751659,-0.5800,-0.7520,-0.5034,1.075
1.781055,-0.7048,-1.5398,0.8718,1.905
1.791871,-0.5923,-1.8948,-0.5382,2.057
1.812599,-1.7993,-1.0644,-1.8120,2.767
1.832235,0.3627,0.2811,0.9298,1.037
1.853131,0.9956,1.9180,1.4188,2.585
1.876780,0.9499,2.5390,-0.4162,2.743
1.893130,1.1591,2.9360,-0.7053,3.234
1.914097,-0.1807,2.7724,0.3834,2.805
1.933978,-0.3497,2.2931,0.0982,2.322
1.953777,0.3778,2.2808,0.2200,2.322
1.988015,3.0426,2.8695,-0.1555,4.185
1.997634,2.6029,2.6742,-0.8091,3.818
2.014284,1.1503,0.6368,-1.7437,2.184
2.034787,-1.0725,-0.1999,-1.2075,1.627
2.054809,-1.7865,-2.3764,0.8194,3.084
2.090327,-2.2130,-3.2750,0.3224,3.966
2.101020,-1.8131,-2.2987,-0.1305,2.931
2.115586,-1.3860,-1.7674,-0.4017,2.282
2.135543,1.4799,-1.9300,0.6085,2.507
2.156081,0.8121,-3.2741,-0.1019,3.375
2.190656,0.2191,-0.5192,-0.1477,0.583
2.201052,0.2849,-0.0602,-0.0262,0.292
2.216738,-0.0602,0.0471,0.5621,0.567
2.237360,0.4090,-0.1523,0.9083,1.008
2.256846,-0.8310,0.6468,-0.7018,1.265
2.290672,-0.7202,-0.1446,0.1357,0.747
2.302542,0.3177,1.3077,1.0847,1.728
2.317817,1.3830,1.1405,0.9891,2.047
2.337968,0.9622,-1.3098,-0.5760,1.724
2.357716,0.4747,-2.4839,-0.9829,2.713
2.387235,-0.3313,0.0721,0.4098,0.532
2.398044,-0.3847,0.3641,0.4120,0.671
2.418767,-1.1473,2.2990,-0.7176,2.668
2.438591,0.1542,4.9121,-0.4487,4.935
2.458802,0.1183,2.5324,-0.0790,2.536
2.487669,-0.4395,1.0553,0.4995,1.248
2.499207,-0.6450,0.7734,0.0410,1.008
2.519642,-0.2431,0.7306,-0.5519,0.947
2.539358,-0.8213,-0.7009,0.2716,1.113
2.559646,-0.0795,-0.5950,-0.4062,0.725
2.587988,-1.1264,-3.3537,0.4171,3.562
2.600180,-2.3488,-3.2396,-0.9303,4.108
2.620015,-0.9649,-1.6559,-0.3196,1.943
2.640221,0.4532,-2.2962,-0.0162,2.341
2.660699,0.9360,-2.7830,0.3941,2.963
2.687297,2.1999,-2.7650,0.0478,3.534
2.700908,1.3938,-2.3622,0.1982,2.750
2.720891,0.6985,-2.0809,0.8368,2.349
2.741009,0.6083,-2.1450,0.3420,2.256
2.761403,2.9833,-1.0274,-0.1713,3.160
2.788670,1.2288,0.0686,-0.0155,1.231
2.801719,1.0083,0.6667,0.0643,1.211
2.821739,-0.8341,4.2140,-0.6017,4.338
2.841951,-1.9342,3.9264,-1.0951,4.512
2.861918,-2.0857,1.3441,-0.6706,2.570
2.886751,-1.2449,-0.6459,0.2080,1.418
2.902301,-1.3297,0.1608,-0.0471,1.340
2.922147,-1.1130,0.6081,-0.1480,1.277
2.942379,-0.5452,-0.0738,-0.2660,0.611
2.962672,0.0868,0.2128,-0.4647,0.518
2.987028,0.1119,0.3281,-0.1129,0.365
3.002918,-0.0728,0.0673,-0.0519,0.112
3.023031,-0.5694,0.1534,0.0780,0.595
3.043028,-0.6452,0.1227,-0.1119,0.666
3.063711,0.3042,-0.1576,-0.0001,0.343
3.086445,-0.3786,0.6715,-0.0498,0.772
3.104109,0.3014,-0.3461,-0.1951,0.499
3.124490,0.4655,-0.2375,-0.0033,0.523
3.144407,-0.3255,1.3666,0.0536,1.406
3.164419,-0.2659,0.3307,-0.5840,0.722
3.191905,0.4938,-0.3489,-0.1722,0.629
3.205576,0.9892,0.1343,-0.3478,1.057
3.224884,1.1657,1.4392,-0.3644,1.888
3.245697,-0.2195,1.6036,0.0141,1.619
3.265781,-1.0343,-1.4395,0.3333,1.804
3.286786,-1.6384,-1.4643,-0.4337,2.240
3.305938,0.7260,2.6186,-0.6892,2.803
3.326556,0.5907,0.8715,-0.1233,1.060
3.346400,0.5807,0.1346,0.3096,0.672
3.366578,0.2528,1.1362,-0.5015,1.267
3.387173,-1.9759,0.4284,0.0574,2.023
3.407038,1.3662,0.8110,-0.0760,1.591
3.427669,1.1826,-0.2498,-0.4454,1.288
3.448062,-0.3963,-3.6677,-0.7672,3.768
3.467765,0.0634,-3.1930,0.4170,3.221
3.488528,1.1531,-2.9302,0.9422,3.287
3.508571,0.0677,-1.4882,0.3452,1.529
3.528510,0.5169,-1.1862,-0.4376,1.366
3.548812,-0.5358,0.6653,-0.7033,1.107
3.568831,0.3115,0.3290,0.1917,0.492
3.588940,-0.1935,0.5065,0.4632,0.713
3.610111,-0.0716,1.1034,-0.4113,1.180
3.629701,0.0121,1.8030,-0.3442,1.836
3.649890,0.1417,1.2598,-1.0823,1.667
3.670179,1.7663,3.9334,-0.3682,4.327
3.697162,0.9625,-1.6558,-0.2479,1.931
3.714202,1.0183,-2.0599,-0.4966,2.351
3.730859,0.6107,-3.2713,-0.2672,3.339
3.750812,0.1671,-2.0843,1.0668,2.347
3.771001,0.4213,-1.8094,0.5766,1.945
3.799726,-0.3599,-1.6800,-0.9398,1.958
3.816847,0.0769,-0.3579,-0.5554,0.665
3.831265,-0.5842,0.9713,0.0558,1.135
3.852016,-0.7277,1.3397,0.3415,1.562
3.871940,0.2628,1.4409,0.3679,1.510
3.896650,0.1759,1.3384,-0.1192,1.355
3.913021,-0.1571,0.8933,-0.7008,1.146
3.932630,-0.6214,0.4112,-0.6686,1.001
3.952797,-0.9307,-0.2287,-0.3118,1.008
3.972843,-0.4208,-0.1547,-0.0496,0.451
3.999781,-0.1426,0.3453,-0.0361,0.375
4.015605,0.0766,-0.1185,-0.1601,0.213
4.033127,0.0073,-0.2987,-0.1758,0.347
4.053481,-0.0218,-0.1733,-0.1174,0.210
4.073777,-0.0528,-0.1831,-0.1992,0.276
4.096684,0.0023,0.0299,-0.1763,0.179
4.113860,0.0120,0.0312,-0.0093,0.035
4.135008,-0.0834,-0.0217,0.0640,0.107
4.155294,-0.1103,0.0544,0.0632,0.138
4.175534,0.0246,0.0927,0.0149,0.097
4.196780,0.0640,-0.0214,-0.0055,0.068
4.215887,0.0444,-0.1045,-0.0847,0.142
4.236214,-0.0534,-0.1469,-0.1445,0.213
4.256669,0.0338,-0.1375,-0.1445,0.202
4.285351,0.2019,-0.0081,-0.1922,0.279
4.303105,0.2602,0.0777,-0.1979,0.336
4.316774,0.2140,0.0131,-0.0468,0.219
4.337020,-0.0225,-0.1103,0.0002,0.113
4.357499,-0.1126,-0.1443,0.0228,0.184
4.386330,0.1086,-0.1571,0.0633,0.201
4.397505,0.1460,-0.1403,0.0542,0.210
4.418326,0.1841,-0.0781,0.0060,0.200
4.438571,0.0137,-0.0380,-0.1055,0.113
4.458679,-0.2121,-0.0447,-0.1739,0.278
4.484907,-0.3013,0.0063,-0.1621,0.342
4.501503,-0.2530,0.0279,-0.1261,0.284
4.520026,-0.1284,0.0288,-0.1407,0.193
4.540111,-0.0448,0.0210,-0.1835,0.190
4.560177,0.0446,0.0370,-0.1035,0.119
4.588728,-0.0090,-0.0784,0.0640,0.102
4.601508,0.0488,-0.1423,0.0770,0.169
4.621392,0.0996,-0.1492,0.1328,0.223
4.640976,0.2281,0.0524,0.1721,0.290
4.661702,0.2910,0.1973,0.0306,0.353
4.684578,0.4324,0.2166,-0.0380,0.485
4.701659,0.4305,0.1364,-0.0055,0.452
4.722260,0.2491,0.0610,-0.0233,0.258
4.742336,0.1536,-0.0529,-0.0807,0.181
4.762265,0.1059,-0.1667,-0.0727,0.210
4.788107,0.0543,-0.0505,-0.0338,0.081
4.802696,0.0090,-0.0101,-0.0433,0.045
4.822635,0.0048,0.0205,-0.0036,0.021
4.843443,-0.0903,-0.0810,-0.1164,0.168
4.863338,-0.0377,-0.0582,-0.1601,0.174
4.887660,-0.1093,0.0103,-0.2185,0.245
4.904576,-0.2827,0.0512,-0.2305,0.368
4.923907,-0.2948,0.0975,-0.1611,0.350
4.944125,-0.2013,0.0446,-0.1294,0.243
4.964370,-0.0105,-0.0340,-0.1020,0.108
4.988160,0.0034,0.0156,-0.0583,0.060
5.005533,0.0174,0.0514,-0.0602,0.081
5.025118,0.1141,-0.0242,-0.1358,0.179
5.045424,0.2145,-0.0440,-0.0342,0.222
5.065602,0.2538,0.0278,0.0947,0.272
5.087602,0.1590,0.1029,0.0278,0.191
5.106471,0.0199,0.1361,-0.0587,0.150
5.126217,0.0240,0.0809,-0.0465,0.096
5.146763,0.1092,0.0816,-0.0625,0.150
