time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003432,0.2762,-0.3993,-0.7428,0.887
0.017029,0.6592,-0.6553,-0.5709,1.091
0.044022,0.1306,-0.1552,-0.2415,0.315
0.070915,0.0999,0.0319,0.1721,0.202
0.080784,0.0073,0.0215,0.3151,0.316
0.094843,-0.0265,-0.1052,0.2834,0.303
0.114656,-0.0802,0.0417,-0.0833,0.123
0.136957,-0.2145,0.0922,-0.2342,0.331
0.167715,-0.2330,0.3901,-0.3262,0.559
0.177176,-0.1802,0.3633,-0.3533,0.538
0.195859,-0.3419,0.1504,-0.3071,0.484
0.215749,-0.2171,-0.1277,0.0712,0.262
0.235612,-0.0332,-0.2915,0.2439,0.381
0.266483,-0.2687,0.1260,-0.2078,0.362
0.277177,-0.2031,0.1861,-0.4408,0.520
0.296912,-0.2504,0.2998,-0.8670,0.951
0.316490,-0.0440,0.1050,-0.7072,0.716
0.339124,0.5151,-0.8755,-0.3611,1.078
0.357148,0.9088,-1.2566,-0.0737,1.553
0.377618,1.0196,-1.1123,0.7331,1.678
0.397770,0.2257,-0.8008,0.3644,0.908
0.418046,0.2551,-1.0757,-0.1104,1.111
0.444617,0.5443,-0.9678,-0.5354,1.233
0.470908,1.4851,-2.0289,-0.7884,2.635
0.478571,1.4578,-1.5158,-0.8851,2.282
0.498824,1.1232,0.2009,-0.8423,1.418
0.518965,0.6235,-0.2426,-0.6670,0.945
0.549095,1.0464,-2.1937,-1.0037,2.630
0.570143,0.1260,-2.4432,-2.6925,3.638
0.579553,0.4565,-2.6451,-3.0366,4.053
0.599796,0.3252,-3.5532,-4.6387,5.852
0.619992,1.0884,-2.7290,-2.9012,4.129
0.644248,0.0543,-2.8607,-1.1318,3.077
0.666650,2.9782,-2.6383,-1.3259,4.194
0.680269,3.5302,-2.9811,-1.3666,4.818
0.700534,0.2352,-2.0668,-2.1663,3.003
0.721187,-0.6835,-2.5032,-2.8068,3.823
0.744747,0.0369,-3.0493,-2.8552,4.178
0.768600,-1.5092,-2.5028,-2.2258,3.674
0.781400,-2.6352,-2.4614,-1.3367,3.846
0.801525,-2.5963,-2.0934,0.0690,3.336
0.821970,-3.8366,-1.7823,0.6715,4.283
0.844699,-4.5775,-1.0671,0.1221,4.702
0.870118,-3.0091,-0.2839,0.2539,3.033
0.882937,-2.8422,-0.0366,0.9099,2.985
0.902562,-4.1008,-0.8079,1.3397,4.389
0.922728,-5.3895,-1.4253,1.1000,5.682
0.944509,-5.5799,0.2466,1.2952,5.734
0.962637,-4.1472,0.8232,2.7876,5.064
0.983013,-2.2818,0.4814,4.3550,4.940
1.003317,-2.7606,0.4986,5.0397,5.768
1.023598,-5.8064,0.6770,3.6913,6.914
1.046997,-5.9188,0.8336,1.8363,6.253
1.069394,-5.3134,1.3985,1.7566,5.768
1.084037,-5.5244,1.3688,2.0200,6.039
1.104336,-4.4552,0.1786,1.8726,4.836
1.124539,-4.3333,0.7649,1.5713,4.672
1.144519,-4.0726,0.8898,2.0858,4.661
1.164823,-4.7134,2.0437,3.9074,6.454
1.185048,-3.1676,2.2965,4.6278,6.060
1.205092,3.3041,1.8379,6.7974,7.778
1.235327,0.8391,1.8506,2.4335,3.170
1.251700,0.2873,1.4126,0.9656,1.735
1.265706,-1.1029,1.2314,0.0624,1.654
1.285833,0.2049,0.2309,-1.9691,1.993
1.305905,2.4501,0.2325,-2.5733,3.561
1.333696,1.3752,0.6211,-2.8831,3.254
1.349121,1.0305,0.4631,-2.1440,2.423
1.366919,1.6653,0.7322,-1.1274,2.140
1.386933,2.7412,0.4601,1.6664,3.241
1.407223,3.6689,0.5855,1.4714,3.996
1.432760,5.3462,-0.4740,-1.0843,5.476
1.447006,4.0330,-0.9423,-1.7629,4.501
1.467347,0.2446,-0.9920,-2.3833,2.593
1.487453,-1.8360,0.4274,-1.7399,2.565
1.507955,-2.3295,-0.4041,-0.2586,2.378
1.532648,-3.1408,-3.4397,1.1008,4.786
1.548136,-2.0940,-1.3791,-0.0399,2.508
1.568016,-1.0419,0.1275,-0.4202,1.131
1.588212,-0.8651,-0.7144,-0.1937,1.139
1.608464,-0.7218,-1.6021,-0.5046,1.828
1.634654,0.6351,-0.5420,-0.3032,0.888
1.649181,0.3492,-0.1712,0.0182,0.389
1.669787,0.2920,0.1252,-0.0247,0.319
1.689550,0.5799,0.0083,-0.2877,0.647
1.710224,0.9127,0.9248,-0.2213,1.318
1.735506,0.5664,0.4003,-0.9356,1.165
1.750291,0.3248,-0.3464,-0.8415,0.966
1.770929,-0.4926,-1.0178,-0.2225,1.152
1.790624,-1.5002,-0.8235,-0.0519,1.712
1.810874,-0.1322,-1.2143,-0.5551,1.342
1.833104,0.7061,-1.5391,-0.7335,1.845
1.851317,-0.2585,-1.9792,-0.1294,2.000
1.871435,-2.7464,-1.4166,0.4753,3.127
1.891694,-0.9637,0.5879,-0.0076,1.129
1.911719,0.5007,2.1245,-0.4289,2.224
1.933260,0.8171,1.0148,-0.7367,1.497
1.952026,0.6919,0.8910,-0.3068,1.169
1.972214,0.2575,-0.8717,0.0792,0.912
1.992503,-1.1633,-2.3773,0.2074,2.655
2.012723,-2.5859,-2.0609,-0.1852,3.312
2.035351,-0.2802,0.3040,-0.3641,0.551
2.052680,0.1302,0.3789,-0.1957,0.446
2.073353,-0.4136,0.3813,-0.2377,0.611
2.093765,-0.1047,1.2559,-0.2514,1.285
2.113845,0.2539,1.1591,-0.2044,1.204
2.133883,0.3948,0.7217,-0.3146,0.881
2.153970,0.2568,0.3560,-0.0793,0.446
2.174246,0.2439,0.4527,0.3613,0.628
2.194418,0.4491,0.8502,0.0136,0.962
2.214695,0.4828,0.8812,-0.4795,1.113
2.245347,0.8532,1.1726,-0.5965,1.568
2.261940,1.4003,2.2003,-0.5615,2.668
2.275336,1.4356,2.7326,-0.1543,3.091
2.296224,1.1709,3.0078,0.3102,3.243
2.316012,-2.5937,-1.0922,0.2043,2.822
2.346571,-5.5787,-10.6501,-0.2875,12.026
2.365942,2.6485,-4.6952,0.8022,5.450
