time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004937,0.1130,-0.0019,-1.9467,1.950
0.012080,-0.1523,0.1570,-1.8084,1.822
0.027054,-0.4290,0.2438,-0.6115,0.786
0.046144,-0.2928,-0.0979,0.8952,0.947
0.065901,0.0428,-0.2586,1.2380,1.265
0.082456,0.2012,-0.2515,0.9061,0.962
0.102997,0.0513,-0.0567,0.2209,0.234
0.123918,-0.1162,-0.0298,-0.3209,0.343
0.144503,-0.1055,-0.2255,-0.1433,0.287
0.163776,-0.1146,-0.2007,0.1485,0.275
0.184454,-0.1272,-0.1267,0.1505,0.234
0.204670,-0.0198,-0.0082,0.3144,0.315
0.225048,0.0614,0.0797,0.7741,0.781
0.245312,0.0076,-0.0360,0.7213,0.722
0.265399,-0.0094,-0.2668,0.3726,0.458
0.285210,0.0748,0.0535,0.0056,0.092
0.305570,0.0599,0.0620,-0.0573,0.104
0.336643,0.0761,-0.2458,0.1002,0.276
0.346554,0.0812,-0.3613,0.0066,0.370
0.366583,-0.0218,-0.1142,-0.1547,0.193
0.387095,-0.3496,-0.0984,-0.3593,0.511
0.407299,-0.4311,-0.2637,-0.6449,0.819
0.430990,-0.4812,-0.7120,-1.0538,1.360
0.447496,-0.7011,-0.7837,-1.1040,1.525
0.469367,-0.5360,-1.1279,-1.2237,1.748
0.488921,-0.2663,-1.2202,-1.1518,1.699
0.509128,0.3993,-1.2583,-1.0533,1.689
0.533146,1.2976,-1.7777,-0.1013,2.203
0.549242,1.5666,-1.3411,0.3698,2.095
0.569663,0.7600,-1.0350,0.7787,1.502
0.590110,-0.2016,-1.3728,0.3782,1.438
0.610382,0.2035,-0.7759,-0.2819,0.850
0.633562,0.2282,-0.4130,-0.6428,0.797
0.650595,-0.1873,0.1626,-0.0389,0.251
0.672128,-0.9565,-0.0934,0.6586,1.165
0.692403,-1.4827,-0.7575,0.7151,1.812
0.712544,-1.9551,-0.8719,0.1199,2.144
0.742899,-0.6621,0.0823,0.3842,0.770
