time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003193,0.1751,-0.5006,0.0924,0.538
0.008668,0.1032,-0.3970,-0.2041,0.458
0.027490,-0.2155,0.0276,-0.4389,0.490
0.049465,-0.0600,0.3669,-0.2515,0.449
0.068128,0.3587,0.3568,0.0049,0.506
0.095404,0.2081,0.0861,0.2579,0.342
0.115195,0.3518,-0.1846,-0.1988,0.444
0.129341,0.4805,-0.4527,-0.8209,1.053
0.148609,0.4286,-0.5107,-1.1285,1.311
0.169028,-0.6697,-2.5594,-1.6598,3.123
0.195309,-1.0793,-0.7959,-1.0814,1.723
0.215330,0.0795,-1.1308,0.0644,1.135
0.230460,0.8206,-1.0041,2.7064,3.001
0.249751,0.1846,-0.8556,2.4897,2.639
0.289791,1.0607,-1.2635,-0.9344,1.896
0.309181,0.6300,-0.5761,-0.1976,0.876
0.314082,0.9496,-0.2079,0.4415,1.068
0.330544,1.5600,-0.0864,0.9709,1.839
0.350396,1.6072,0.4197,0.1724,1.670
0.381108,0.9034,0.2883,-0.8021,1.242
0.395065,0.2218,0.0893,-0.2058,0.315
0.411153,-0.3975,-0.8913,0.6577,1.177
0.431595,1.4355,-0.2353,-1.3888,2.011
0.451708,2.2191,-0.8627,-1.1959,2.664
0.479678,1.6971,-1.6003,-6.4100,6.821
0.491866,1.1570,-1.3591,-5.5673,5.846
0.512625,-1.1365,1.1691,-2.6647,3.124
0.532740,1.7914,-1.0388,-0.8824,2.251
0.552979,-0.0719,-2.0257,-0.5187,2.092
0.584889,0.4914,-0.9432,0.0421,1.064
0.603806,0.4645,-1.6142,-0.2538,1.699
0.613493,-0.0616,-1.2657,-0.4082,1.331
0.634313,0.6685,0.1726,0.6259,0.932
0.654211,0.5484,-0.1839,0.9633,1.124
0.681113,-0.1804,-0.6724,1.1069,1.308
0.701069,-0.0671,-0.4043,1.0014,1.082
0.714910,-0.0383,-0.1943,0.8224,0.846
0.735018,-0.1136,0.1932,0.2697,0.351
0.755304,-0.4265,-0.1216,0.5091,0.675
0.780533,-0.7071,0.4149,1.8045,1.982
0.796084,-0.3824,0.3978,2.3031,2.368
0.816449,-0.8417,0.2251,2.1419,2.312
