time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.015928,-0.2013,-0.9194,-0.9059,1.306
0.030290,0.3920,-1.0342,-0.3904,1.173
0.059141,0.7934,-1.1517,0.1168,1.403
0.078258,1.1213,-1.0724,0.4244,1.609
0.092000,1.8629,-1.0338,0.4790,2.184
0.111021,1.5765,-1.1519,-0.0741,1.954
0.132226,0.8194,-1.2589,-1.5301,2.144
0.156241,0.0838,-1.9838,-3.2441,3.804
0.171640,1.0648,-1.9315,-3.0940,3.800
0.192101,1.6830,-1.7487,-2.1342,3.232
0.212481,1.4651,-1.2036,-1.2220,2.256
0.232777,0.6675,-0.8972,-0.1231,1.125
0.266455,0.0197,-1.4887,1.2896,1.970
0.272833,-0.1440,-1.4723,1.4979,2.105
0.293299,-0.8019,-1.2768,1.7738,2.328
0.313270,-1.4133,-1.6875,1.6008,2.722
0.333746,-1.9099,-0.9515,1.4836,2.599
0.366664,-2.3586,-0.2784,1.4879,2.803
0.374098,-2.5188,-0.1321,1.5156,2.943
0.394354,-2.5529,0.2056,1.4058,2.922
0.414634,-1.9823,0.8586,0.7499,2.287
0.434694,-1.2192,1.8216,0.9398,2.385
0.461496,-0.0661,2.2975,1.4953,2.742
0.474957,-0.1774,2.7451,1.5564,3.161
0.495962,0.2372,2.6807,1.0990,2.907
0.516620,0.8104,2.5331,0.8948,2.806
0.536640,1.6069,2.3380,0.8020,2.948
0.556680,2.1359,2.0663,1.1285,3.179
0.586410,1.7519,1.8661,1.5216,2.978
0.599371,1.6921,1.8859,1.4351,2.912
0.618166,1.8129,1.9501,1.2607,2.946
0.637745,1.9456,1.2192,1.6827,2.847
0.657792,1.3272,0.6401,2.2167,2.662
0.686895,0.9967,0.1373,2.3972,2.600
0.699426,0.4174,0.0116,2.0865,2.128
0.718296,-0.2624,0.0018,1.3753,1.400
0.738474,-0.3819,-0.4891,0.7609,0.982
0.758727,-0.5328,-0.2938,0.0114,0.609
0.786355,0.2342,-0.0772,-0.6570,0.702
0.798886,0.0817,-0.1449,-0.8076,0.825
0.820029,-0.5239,-0.0507,-0.4745,0.709
0.839499,-0.1035,0.1221,-0.3085,0.348
0.859722,0.4317,0.6463,-0.5883,0.975
0.883310,1.2142,1.1599,-0.8559,1.885
0.900096,1.6423,1.4286,-0.9151,2.361
0.920749,1.8784,1.3490,-0.7166,2.421
0.940606,2.0088,1.0934,-0.9521,2.477
0.960821,1.6285,0.7991,-1.4966,2.352
0.986474,0.3343,0.5593,-2.6721,2.750
1.000890,-1.7652,-0.6910,0.2694,1.915
1.021217,-3.9270,-2.2796,1.6636,4.836
1.041787,1.1775,-1.7927,-0.1894,2.153
1.061657,1.3180,-2.9749,1.2737,3.494
1.094558,-1.1429,-0.3510,2.6577,2.914
1.106919,0.0391,0.1867,1.5484,1.560
1.122070,0.9439,0.6808,0.7672,1.394
1.142494,1.0175,1.2610,0.1432,1.627
1.162543,1.4277,1.2082,0.0212,1.870
1.182965,-0.5766,-1.0779,0.4126,1.290
1.203654,-2.4296,-2.0676,0.3499,3.209
1.222914,-1.2777,-1.1508,0.6085,1.824
1.243222,-0.0797,-0.7360,0.3669,0.826
1.263827,-0.0625,-0.6292,-0.0904,0.639
1.283646,-0.1461,-0.4866,-0.5271,0.732
1.306515,0.1526,-0.3460,-0.0110,0.378
1.324066,0.6192,-0.1555,0.2501,0.686
1.344753,-1.1861,-1.9325,-0.1788,2.275
1.364450,2.7157,1.1097,1.4664,3.280
1.384468,-0.3875,0.8421,-2.0419,2.242
1.406538,0.6075,1.0265,-1.3951,1.836
1.424876,0.8627,1.2475,-0.9018,1.765
1.445076,0.3097,0.1166,-0.8798,0.940
1.465425,-0.9887,-2.2799,-0.7913,2.608
1.486093,-0.9697,-2.7851,-1.4207,3.273
1.506559,0.6750,0.1011,-1.9473,2.063
1.526403,0.6617,-0.4470,-0.5797,0.987
1.546441,-0.7753,-0.7984,1.6174,1.963
1.566299,-1.0642,-1.0145,0.1342,1.476
1.587003,-0.8502,0.7282,-2.2493,2.512
1.606470,-1.9326,-0.5268,-1.9716,2.811
1.626941,-1.4966,-0.8078,0.1571,1.708
1.647192,-0.3929,-0.2442,1.8168,1.875
1.667261,-0.6028,-0.4609,2.1440,2.274
1.687589,0.6503,0.5048,1.1436,1.409
1.719390,2.1779,1.4367,-0.0874,2.611
1.731985,1.2913,-1.1262,0.1630,1.721
1.748451,0.4618,-0.7815,0.1313,0.917
1.768254,-0.8392,-2.0334,-1.2637,2.537
1.789504,-1.7304,0.3101,-0.3484,1.792
1.819090,0.0179,0.0345,-0.7843,0.785
1.830713,0.6500,-0.0067,-0.7733,1.010
1.849760,-0.4252,0.3305,-0.1764,0.567
1.869911,0.3100,-0.5099,-0.7224,0.937
1.890032,0.4002,-0.3465,-1.5748,1.661
1.910183,0.7651,0.4622,-2.0250,2.214
1.938546,-0.3228,0.4621,-0.7435,0.933
1.950611,-1.1354,0.3575,0.4049,1.257
1.970328,-1.0882,0.1647,-1.0760,1.539
1.990791,0.0839,0.1125,-1.2546,1.262
2.011007,-0.1056,-0.0509,-0.4712,0.486
2.038299,-0.9557,-1.0567,0.3114,1.458
2.050793,-0.6265,-1.8028,-0.2253,1.922
2.071519,-0.2025,-0.8051,-0.2629,0.871
2.091769,-0.8659,-1.1847,-0.4362,1.531
2.111442,-0.1396,-0.3167,0.2612,0.434
2.138774,0.4328,1.1655,0.9629,1.573
2.152617,0.9023,2.2756,1.1244,2.694
